% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.069456965e+03 +4.069456965e+03 +4.162396965e+03 +9.294000000e+01 -2.8082e+00 +4.3352e+00 +2.9096e-01 +2.7875e+00 -1.6036e+00 +2.3601e+00 -2.1536e+00 -4.8415e+00 -2.5625e+00 -1.8482e+00 +4.6135e+00 -1.3652e-01 +2.5727e+00 +2.5137e+00 -4.2475e+00 -1.9091e+00 -2.7878e+00 -1.9084e+00 -1.5309e-01 +1.7598e+00
400 +3.960770194e+02 +3.960770194e+02 +4.890170194e+02 +9.294000000e+01 +2.7579e+00 +9.8106e-01 +2.6168e+00 -3.7165e-01 -2.9290e+00 +3.8777e+00 -5.5677e-01 -3.3696e+00 +2.9128e+00 +1.4056e+00 +4.7667e+00 -4.6701e+00 -2.4570e+00 -4.0974e+00 +3.2912e+00 +3.3031e-01 +2.9239e+00 -4.1451e+00 +1.3772e+00 -1.9176e+00
998 +1.579082248e+02 +1.579082248e+02 +2.508482248e+02 +9.294000000e+01 +8.9075e-01 +2.9226e+00 -5.7010e-01 +1.7343e+00 -3.0275e+00 +3.8777e+00 +2.3098e+00 +7.0577e-01 +3.8902e+00 +1.4056e+00 +4.7667e+00 -4.6701e+00 -2.4570e+00 -4.0974e+00 +3.2912e+00 +3.3031e-01 +2.9239e+00 -4.1451e+00 +1.3772e+00 -8.8706e-01
1594 +9.190456171e+01 +9.190456171e+01 +1.848445617e+02 +9.294000000e+01 +2.2841e+00 +2.9226e+00 -5.7010e-01 +1.7343e+00 -1.0226e+00 +2.9842e+00 +2.3098e+00 +7.0577e-01 +3.8902e+00 +1.4056e+00 +4.7667e+00 -4.6701e+00 -2.4570e+00 -4.0974e+00 +3.2912e+00 +3.3031e-01 +2.9239e+00 -4.1451e+00 +4.0403e-01 -9.0271e-01
3987 +5.732236498e+01 +5.732236498e+01 +1.502623650e+02 +9.294000000e+01 +2.2841e+00 +2.8642e+00 -5.7010e-01 +1.7343e+00 -1.0226e+00 +3.0079e+00 +2.3149e+00 +9.7896e-02 +3.8902e+00 +1.4056e+00 +4.2257e+00 -4.6701e+00 -2.4570e+00 -3.1725e+00 +3.2912e+00 +3.3031e-01 +2.9239e+00 -4.1451e+00 +1.2255e-01 -2.7920e-01
8353 +3.877139706e+01 +3.877139706e+01 +1.317113971e+02 +9.294000000e+01 +2.2841e+00 +2.8642e+00 -5.7010e-01 +1.7343e+00 +1.8297e-01 +3.6858e+00 +2.4822e+00 +9.7896e-02 +3.8902e+00 +1.9893e+00 +4.2257e+00 -4.8650e+00 -2.4570e+00 -2.2046e+00 +3.2912e+00 +3.3031e-01 +2.9239e+00 -4.1451e+00 -1.9677e-01 +1.3286e-01
36688 +2.472055966e+01 +2.472055966e+01 +1.176605597e+02 +9.294000000e+01 -1.8393e+00 +2.2188e-01 -7.6936e-01 +2.9867e+00 +1.9749e+00 +4.5075e+00 +1.7685e+00 -6.5849e-01 +3.2723e+00 +2.0581e+00 -2.4344e+00 -2.4335e+00 -6.3468e-02 +1.1427e+00 +1.6892e+00 +1.1043e+00 +4.4453e+00 -1.8378e+00 +2.7209e+00 +5.0026e-01
76498 +1.466183575e+01 +1.466183575e+01 +1.076018358e+02 +9.294000000e+01 +9.5659e-01 +1.1786e+00 +3.4859e-01 +2.8043e+00 +2.3201e+00 +3.8691e+00 +7.7699e-01 -3.3762e+00 +2.7053e+00 +2.8399e+00 +3.4609e+00 -3.6277e+00 -3.3250e+00 +5.3111e-01 +1.4269e+00 +2.9182e+00 +4.5088e+00 -4.5605e+00 +1.8368e+00 -7.2753e-01
95849 +9.926527250e+00 +9.926527250e+00 +1.028665272e+02 +9.294000000e+01 -9.1190e-01 +7.1365e-01 +1.7875e-01 +2.7826e+00 +1.9327e+00 +4.3824e+00 +1.3058e+00 -7.6124e-01 +3.7803e+00 +2.2432e+00 -4.1507e-01 -2.8760e+00 -9.3255e-01 +9.4941e-01 +1.7101e+00 +1.6470e+00 +3.7948e+00 -2.6557e+00 +2.7857e+00 +5.9041e-01
144558 +5.884398547e+00 +5.884398547e+00 +9.882439855e+01 +9.294000000e+01 +6.2397e-01 +8.7040e-01 +2.3062e-01 +2.6464e+00 +1.7559e+00 +3.7937e+00 +8.6552e-01 -2.3753e+00 +3.2297e+00 +2.4027e+00 +2.8445e+00 -3.8127e+00 -2.9630e+00 +3.8635e-01 +1.1610e+00 +3.1609e+00 +4.4993e+00 -3.6081e+00 +1.9187e+00 -3.9980e-01
247063 +3.941021510e+00 +3.941021510e+00 +9.688102151e+01 +9.294000000e+01 +6.1770e-01 +1.1526e+00 +2.4172e-01 +2.8331e+00 +1.8334e+00 +3.8762e+00 +1.2917e+00 -2.0752e+00 +2.7910e+00 +2.5033e+00 +2.3845e+00 -3.8623e+00 -2.5191e+00 +3.5317e-01 +1.1279e+00 +2.9547e+00 +4.5132e+00 -3.4564e+00 +1.8759e+00 -3.3440e-01
665267 +2.352952935e+00 +2.352952935e+00 +9.529295293e+01 +9.294000000e+01 +4.6839e-01 +1.0204e+00 +2.2395e-01 +2.9830e+00 +1.9006e+00 +3.7368e+00 +1.3402e+00 -2.1287e+00 +3.5265e+00 +2.3262e+00 +2.2778e+00 -3.6952e+00 -2.3083e+00 +2.0567e-01 +1.1519e+00 +2.9378e+00 +4.0843e+00 -3.5584e+00 +1.9719e+00 +2.2863e-01
668199 +1.381953974e+00 +1.381953974e+00 +9.432195397e+01 +9.294000000e+01 +4.6839e-01 +1.0204e+00 +3.8041e-01 +2.7514e+00 +1.9006e+00 +3.7368e+00 +1.3402e+00 -2.1287e+00 +3.5265e+00 +2.3262e+00 +2.2778e+00 -3.6952e+00 -2.1034e+00 +2.0567e-01 +1.1519e+00 +2.9378e+00 +4.0448e+00 -3.5584e+00 +1.9719e+00 +2.2863e-01
% function evaluation | noise-free fitness - Fopt (3.535000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.583138041e+03 +8.583138041e+03 +8.618488041e+03 +3.535000000e+01 -4.9245e+00 +6.9315e-01 -2.4288e+00 +1.3991e+00 -3.2205e-01 -3.0315e+00 -9.0748e-01 +1.8643e+00 -9.6362e-01 -2.0192e+00 -2.6965e-01 +4.7205e+00 -3.5962e+00 -3.0150e+00 -2.9509e+00 +1.3706e+00 -3.6978e+00 -4.7403e+00 -3.8188e+00 -1.6320e+00
400 +4.539780551e+02 +4.539780551e+02 +4.893280551e+02 +3.535000000e+01 +2.5784e+00 +3.7206e+00 +3.9510e+00 +2.3119e+00 +3.7232e+00 -4.2147e+00 +2.8637e+00 -2.9414e+00 +2.9724e+00 -1.2057e+00 -3.8334e+00 -3.0870e+00 +1.0449e+00 +3.4515e+00 -3.5124e+00 +4.2920e+00 -1.2674e+00 +3.9948e+00 +3.9477e+00 -8.4843e-02
599 +2.359177206e+02 +2.359177206e+02 +2.712677206e+02 +3.535000000e+01 +1.4656e+00 +2.2366e+00 +4.0554e+00 +3.2923e+00 -1.8807e+00 +1.7211e+00 +2.3875e+00 -1.1716e+00 +2.7325e+00 -1.8806e+00 +1.9052e+00 -4.8477e+00 +2.1179e+00 +4.5653e+00 -2.7157e+00 +4.0520e+00 +1.4363e+00 -4.8914e-01 +1.2936e+00 -2.2317e+00
