% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.856101318e+07 +1.856101318e+07 +1.856095824e+07 +1.856095824e+07 -4.1559e-01 +2.8133e-01 -3.9564e+00 +4.0845e+00 -3.1617e+00 -4.0191e+00 +4.0126e+00 -3.0438e+00 -2.8960e+00 +4.0614e+00 +2.7919e+00 +4.5086e+00 -1.0027e+00 -2.3259e+00 -2.7932e+00 +2.0049e+00 +4.2527e+00 -2.8091e+00 +4.4853e+00 +4.0162e+00
2 +8.282569383e+06 +8.282569383e+06 +8.282514443e+06 +8.282514443e+06 +4.0485e+00 -3.7687e-01 +3.8985e-01 +3.6996e+00 -3.8945e-01 -2.9276e+00 -2.9509e+00 -1.5771e+00 -4.2074e-01 -1.4135e-01 -2.8617e+00 -4.8634e+00 -1.9213e+00 +1.9220e+00 -4.4881e+00 +2.6504e+00 -2.6029e-01 +2.2715e+00 -1.4762e+00 -1.6531e+00
9 +4.327545079e+06 +4.327545079e+06 +4.327490139e+06 +4.327490139e+06 -1.5321e+00 +3.4868e-01 -3.2490e-02 +5.2563e-01 +3.4997e+00 +6.8179e-01 +4.2537e+00 -2.8554e+00 +2.6624e+00 -4.7890e+00 +5.5527e-01 +1.8843e-01 +4.0372e+00 -4.7905e+00 -4.9690e+00 -3.9876e+00 -2.9785e+00 -1.3337e+00 +4.7640e+00 -4.0689e-01
27 +3.254452476e+06 +3.254452476e+06 +3.254397536e+06 +3.254397536e+06 -7.9762e-01 -4.0212e+00 +1.8295e+00 -1.9337e+00 +7.4884e-01 -1.3026e+00 -3.7016e+00 +1.0477e+00 -4.1614e+00 +3.9462e+00 -4.3007e-01 -6.6246e-01 +1.0868e-01 +1.7168e+00 -1.3934e+00 +4.8725e+00 +4.5923e+00 -5.0420e-01 +4.3477e+00 +4.7164e+00
229 +2.069759125e+06 +2.069759125e+06 +2.069704185e+06 +2.069704185e+06 -2.4607e+00 +3.8387e+00 -1.6556e+00 +1.0269e-01 +3.1863e+00 +1.1884e+00 +3.8488e+00 +7.9632e-02 -4.1631e+00 +2.3877e+00 -4.5285e+00 +4.8303e+00 +4.4933e+00 +3.5241e+00 +9.1392e-01 +5.0753e-01 +4.3052e+00 -1.7144e+00 -2.5622e+00 -8.4851e-01
907 +1.491356243e+06 +1.491356243e+06 +1.491301303e+06 +1.491301303e+06 +2.0047e+00 -1.5934e+00 -1.5540e+00 +2.7895e+00 +4.4545e+00 -1.5550e+00 -1.7839e+00 -9.7390e-01 -3.2968e+00 +4.5031e+00 -2.4656e+00 +1.9172e+00 -1.9879e+00 +2.1611e+00 -4.2139e+00 +3.4491e+00 +3.6803e+00 -1.0640e+00 +1.2047e+00 +1.6203e+00
1235 +9.184404630e+05 +9.184404630e+05 +9.183855230e+05 +9.183855230e+05 -4.5303e+00 +8.9635e-01 +3.7356e+00 +8.7070e-01 +9.5486e-01 +3.4470e+00 -4.5290e+00 -2.4627e+00 -4.3239e+00 +3.8926e+00 +1.9387e+00 -1.0231e+00 -2.9328e+00 -1.9186e+00 -3.7168e+00 -4.5069e+00 +3.2504e+00 -3.2542e+00 +3.8611e+00 -1.2272e-01
8548 +5.969409250e+05 +5.969409250e+05 +5.968859850e+05 +5.968859850e+05 -4.8601e+00 -1.2104e+00 -4.3561e+00 +3.4945e-01 +4.3085e+00 +2.4886e-01 +3.1380e+00 -3.0985e+00 +9.7982e-01 -4.6321e+00 +4.2171e+00 -8.7729e-01 +3.6667e+00 -4.8998e+00 -1.0377e+00 +4.5994e+00 +4.3997e+00 -5.0317e-01 +3.6634e+00 +2.9001e+00
21612 +3.638177448e+05 +3.638177448e+05 +3.637628048e+05 +3.637628048e+05 -2.1603e+00 -1.4409e+00 -2.6182e+00 +1.5474e+00 +4.1797e+00 +3.1605e-01 +4.7095e+00 -2.1065e+00 +1.6100e-01 -3.2390e+00 -1.4561e+00 +2.5269e+00 +1.8105e+00 +3.0069e+00 -1.5568e-01 +3.5905e+00 +3.4247e+00 +3.5628e+00 +2.6012e+00 +6.6001e-01
31228 +1.433619862e+05 +1.433619862e+05 +1.433070462e+05 +1.433070462e+05 -8.9065e-01 -1.9965e+00 -4.6938e+00 -9.2968e-01 +2.0931e+00 -4.6828e+00 -2.1396e+00 +3.0093e+00 +9.4120e-01 +4.5701e+00 -4.2091e+00 +2.3580e+00 +1.1615e+00 -2.2999e+00 -3.4179e+00 -1.0620e+00 +2.1173e+00 +1.0844e+00 +2.2388e+00 +2.1036e+00
