% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.323166539e+03 +1.323166539e+03 +8.610765394e+02 +8.610765394e+02 +3.2774e+00 -2.5390e-01 -1.3876e+00 +2.0858e+00 +2.4981e+00 -1.3405e+00 +1.6403e-01 +2.8255e+00 +7.7208e-01 -1.1571e+00 -4.9910e+00 +6.0183e-01 +5.9347e-01 +2.8534e+00 +4.3013e-01 -3.7669e-01 -2.6051e+00 -3.1032e+00 +1.5205e+00 +3.1533e+00
106 +9.254686942e+02 +9.254686942e+02 +4.633786942e+02 +4.633786942e+02 -3.6202e+00 +1.4491e+00 +1.9392e+00 +4.3819e+00 -5.1416e-01 -4.8737e+00 -5.4472e-01 +3.5382e+00 -6.3684e-01 +2.6006e+00 -2.3099e+00 -4.7710e+00 -4.7870e-01 -1.9544e+00 -1.7522e+00 +8.4134e-01 -2.4476e+00 +3.3617e+00 -2.0214e+00 +1.6623e+00
3711 +5.637766491e+02 +5.637766491e+02 +1.016866491e+02 +1.016866491e+02 +2.5903e-02 +4.7138e+00 -3.7598e+00 +2.8324e-01 -1.2724e+00 +1.9329e+00 -2.4866e+00 +6.9788e-01 -1.7695e+00 -2.8828e-01 +1.5369e+00 -2.4881e+00 -2.6679e+00 -1.1587e+00 +5.2479e-01 -2.9871e+00 -3.1395e+00 +3.0697e+00 +1.3719e+00 +1.1210e+00
21485 +3.949459012e+02 +3.949459012e+02 -6.714409882e+01 -6.714409882e+01 -2.1085e+00 +3.3088e+00 -2.4509e-01 -2.6584e+00 +1.0467e+00 -2.0436e+00 +1.8996e+00 +2.7809e+00 -4.8631e-01 +5.0025e-02 -6.1397e-01 -3.8520e+00 -1.3078e-02 -1.9349e+00 -8.3317e-01 -3.6483e+00 -2.0785e+00 +1.6076e+00 +2.4391e+00 +6.8007e-01
32757 +2.494994902e+02 +2.494994902e+02 -2.125905098e+02 -2.125905098e+02 -5.5284e-01 -8.8328e-01 +2.3103e+00 +2.6893e+00 -7.0334e-02 +2.1521e+00 +8.8199e-01 +7.8189e-01 +1.7798e-01 -1.0013e+00 +6.5277e-01 -3.0666e+00 -1.2211e+00 -2.5723e+00 +5.9594e-01 -4.8096e+00 -7.2216e-03 +1.8805e+00 +1.2658e+00 +2.0943e+00
50719 +1.471016357e+02 +1.471016357e+02 -3.149883643e+02 -3.149883643e+02 +2.5555e+00 +2.1800e+00 -4.1211e-01 +9.8182e-01 +4.0692e-04 +1.4780e+00 +2.4034e+00 +2.4706e+00 +9.9697e-01 +6.5654e-01 +2.3163e+00 -4.2623e+00 -4.9747e-01 -2.0119e+00 +4.5662e-01 -3.0007e+00 -4.7777e-02 +2.6752e+00 +2.1243e+00 +2.7660e+00
59836 +9.664169175e+01 +9.664169175e+01 -3.654483083e+02 -3.654483083e+02 +5.5319e-01 +1.3575e+00 +5.4795e-01 +1.7252e+00 +1.4150e+00 +2.1312e+00 +1.7809e+00 +1.4355e+00 +1.8752e+00 +6.5654e-01 +2.3163e+00 -4.2623e+00 -4.9747e-01 -3.8869e+00 +1.0214e+00 -3.1853e+00 -4.6164e-01 +3.3813e+00 +1.8371e+00 +1.1210e+00
84907 +6.155334402e+01 +6.155334402e+01 -4.005366560e+02 -4.005366560e+02 +3.9694e-01 +7.1227e-01 +5.4795e-01 +1.5689e+00 +1.4150e+00 +2.1312e+00 +1.7809e+00 +3.2411e+00 +1.7454e+00 +4.9949e-02 +2.2381e+00 -4.2623e+00 -3.4066e-01 -2.5255e+00 +4.4747e-01 -3.5111e+00 -4.6179e-01 +3.3811e+00 +1.8197e+00 +1.8081e+00
99357 +3.793733773e+01 +3.793733773e+01 -4.241526623e+02 -4.241526623e+02 +1.4338e+00 +1.2778e+00 +2.1435e+00 +1.7252e+00 +1.4150e+00 +2.1312e+00 +1.7809e+00 +3.2411e+00 +1.7454e+00 +4.9949e-02 +2.1126e+00 -4.2623e+00 -3.4066e-01 -2.5252e+00 +1.3687e+00 -3.5117e+00 -7.2216e-03 +3.3447e+00 +2.7972e+00 +1.8367e+00
118159 +2.478224693e+01 +2.478224693e+01 -4.373077531e+02 -4.373077531e+02 +2.2941e+00 +3.2911e+00 +1.2328e+00 +6.7177e-01 +1.4150e+00 +2.1312e+00 +1.7809e+00 +3.2216e+00 +1.7454e+00 +4.9949e-02 +2.7306e+00 -4.2623e+00 -3.4122e-01 -3.8727e+00 +1.3815e+00 -3.5111e+00 -6.0009e-03 +3.3030e+00 +2.8300e+00 +1.8368e+00
