% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
374 +4.258910097e+02 +4.258910097e+02 +4.395310097e+02 +1.364000000e+01 -3.6592e+00 +1.8853e-03 +3.5002e-01 +6.7138e-01 +3.0064e+00 -1.5469e+00 -1.6574e+00 -3.3651e+00 +1.1741e+00 -1.0930e+00 +2.2266e+00 -1.8619e+00 +1.7426e+00 -1.8105e+00 +3.3905e+00 -5.1016e-01 -2.0806e-01 -4.6531e+00 +1.4718e+00 +1.1938e+00
541 +3.220064793e+02 +3.220064793e+02 +3.356464793e+02 +1.364000000e+01 +3.0451e-01 +8.1630e-01 +2.5575e+00 -7.5246e-01 +7.3323e-01 -1.2894e+00 -3.0271e-01 -2.0687e+00 +6.5297e-01 -2.1602e+00 -2.8156e+00 +7.7108e-01 -2.5262e+00 -2.0029e+00 +3.1738e+00 -1.1451e+00 -7.3570e-01 -2.4599e+00 +7.6646e-01 -1.5739e+00
1050 +2.440762963e+02 +2.440762963e+02 +2.577162963e+02 +1.364000000e+01 +3.0451e-01 +8.1630e-01 +2.5575e+00 -7.5246e-01 +7.3323e-01 -1.2894e+00 -3.0271e-01 -2.0687e+00 +6.5297e-01 -2.1602e+00 -2.8156e+00 +2.0779e-01 +1.3705e+00 -1.8105e+00 +1.5828e+00 -1.1451e+00 -7.3570e-01 -2.4599e+00 +7.6646e-01 -1.5739e+00
21904 +1.558575984e+02 +1.558575984e+02 +1.694975984e+02 +1.364000000e+01 -7.3344e-01 +3.2083e+00 -2.8689e-01 +8.8933e-01 +1.5248e+00 -2.5991e+00 -1.1461e+00 +5.1443e-01 -2.8488e+00 -2.8714e+00 -3.9302e-01 +1.3735e+00 +2.4983e+00 -3.2448e-01 +5.6610e-01 -1.2243e+00 -1.7604e+00 -2.1059e+00 -1.7783e-01 +9.4985e-01
338221 +9.917458627e+01 +9.917458627e+01 +1.128145863e+02 +1.364000000e+01 -7.3481e-01 +3.2517e+00 -2.9472e-01 +8.8999e-01 +1.5099e+00 -2.5851e+00 -1.1255e+00 +5.3109e-01 -2.8262e+00 -2.8802e+00 -4.1293e-01 +1.3721e+00 +2.5517e+00 -2.8132e-01 +5.6586e-01 -1.2142e+00 -1.7760e+00 -2.1119e+00 -2.3372e-01 +9.7967e-01
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.395562072e+02 +9.395562072e+02 +1.134356207e+03 +1.948000000e+02 +2.8355e-02 +1.1048e+00 -1.4940e+00 +1.6304e+00 -3.6084e+00 -2.4728e+00 -4.3045e+00 +4.0175e-02 +3.3810e+00 -4.4017e+00 -3.0929e+00 -5.6835e-01 -4.3041e+00 +4.2389e+00 -1.4437e+00 -2.3046e+00 +4.2114e+00 -4.2439e+00 +1.2628e+00 +3.8661e+00
387 +4.026168176e+02 +4.026168176e+02 +5.974168176e+02 +1.948000000e+02 -9.2438e-01 +3.0236e+00 -6.5335e-01 +2.7119e+00 +1.6272e+00 -2.3655e+00 -1.7406e-01 -1.5532e+00 -8.6175e-01 -3.5057e+00 -2.9416e+00 +6.4706e-01 +9.5538e-01 +8.5164e-01 -1.3847e+00 +4.3262e+00 -3.1142e+00 +1.1723e+00 -2.1843e-01 +2.9879e+00
569 +3.247721943e+02 +3.247721943e+02 +5.195721943e+02 +1.948000000e+02 +2.3202e-01 +9.8985e-01 -4.3124e-01 -4.5034e-01 +3.0779e+00 -3.4043e+00 +1.1778e+00 -2.5681e-01 -1.7364e+00 -3.3618e+00 -4.8503e-01 +6.7403e-01 +3.6363e+00 -3.3297e-01 -2.5238e+00 +1.4573e+00 -1.4895e+00 -1.0334e+00 +2.0517e+00 +1.6478e-01
1128 +2.441274010e+02 +2.441274010e+02 +4.389274010e+02 +1.948000000e+02 +2.3202e-01 +9.8985e-01 -4.3124e-01 -4.5034e-01 +3.0779e+00 -3.4043e+00 +1.1778e+00 -2.5681e-01 -1.7364e+00 -3.3618e+00 -2.1851e+00 +1.9565e+00 +1.7198e+00 -2.6749e+00 -1.1454e+00 -1.8451e+00 -5.3259e-01 -1.0334e+00 +2.1581e+00 +1.6478e-01
7409 +1.580471894e+02 +1.580471894e+02 +3.528471894e+02 +1.948000000e+02 +2.3202e-01 +5.0358e-01 -7.8263e-01 -4.5034e-01 +1.6272e+00 -2.3655e+00 +1.1778e+00 -2.5681e-01 -1.7267e+00 -3.3491e+00 -5.0275e-01 +6.7403e-01 +3.6720e+00 +6.0760e-02 -2.5326e+00 +1.4631e+00 -1.4895e+00 -9.8072e-01 +2.0517e+00 +1.5899e-01
264348 +9.991503347e+01 +9.991503347e+01 +2.947150335e+02 +1.948000000e+02 -3.2834e+00 +2.0983e+00 +1.7847e+00 -3.0545e-01 +5.4690e-01 -6.5087e-01 +6.3376e-01 +2.0959e+00 -1.1398e+00 +2.4533e-01 -1.2878e+00 +1.3599e+00 +1.0165e+00 -6.5290e-01 -9.9705e-01 +3.3371e+00 -2.6414e+00 -2.1542e+00 +2.9517e+00 +7.5287e-01
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.408576168e+02 +8.408576168e+02 +7.072676168e+02 -1.335900000e+02 -2.1291e+00 +1.4932e+00 -2.9743e+00 -4.8254e+00 -1.9638e+00 +3.2659e+00 +3.6092e+00 +5.6117e-01 -1.6487e+00 -4.3208e+00 -1.6918e+00 -6.6148e-01 +9.8206e-01 -1.2707e+00 -4.2003e+00 -3.6072e+00 +1.2169e+00 -2.7430e+00 -1.4940e+00 -2.9177e+00
372 +3.817051601e+02 +3.817051601e+02 +2.481151601e+02 -1.335900000e+02 +4.6910e-01 -1.3104e-01 +3.5662e+00 +4.2236e+00 -1.0746e+00 -9.1671e-01 -1.4273e+00 +1.1855e+00 -3.9628e+00 -3.1616e+00 +1.3846e+00 +2.7035e+00 -1.5439e-01 -1.4709e+00 -2.2829e+00 +2.2900e+00 -3.0523e+00 -9.5247e-01 -2.5435e+00 -4.0150e-01
1428 +2.284417308e+02 +2.284417308e+02 +9.485173082e+01 -1.335900000e+02 -1.5408e+00 -1.7141e+00 +1.5070e+00 +1.9983e+00 -1.0746e+00 -9.1671e-01 -1.4273e+00 +1.1855e+00 -2.2870e+00 -3.1616e+00 +1.3846e+00 -3.2150e+00 -3.7631e-01 +3.6985e-01 -1.0145e-01 +1.8245e+00 -2.4599e+00 -1.5406e+00 +1.3907e-01 -1.6100e+00
5151 +1.505061816e+02 +1.505061816e+02 +1.691618162e+01 -1.335900000e+02 -1.5408e+00 -1.7141e+00 +1.5070e+00 +1.6567e+00 -7.6515e-01 -9.1671e-01 -1.4622e+00 +1.1855e+00 -2.2870e+00 -3.1616e+00 +1.3846e+00 -3.2000e+00 -4.2101e-01 +3.6985e-01 -1.0945e-01 +1.7761e+00 -2.4599e+00 -1.5406e+00 +1.3907e-01 -1.6100e+00
16241 +9.105713618e+01 +9.105713618e+01 -4.253286382e+01 -1.335900000e+02 -1.0008e+00 -1.3544e-01 -3.7466e-01 +2.5732e-01 +1.1726e+00 -1.2498e+00 +3.1125e-01 +1.6691e+00 -8.8274e-01 -2.5962e+00 +1.4510e+00 -1.0240e+00 +4.1844e-01 +6.4932e-01 -4.4081e-01 +1.1918e+00 -2.0639e+00 -5.3982e-01 -1.9307e+00 -7.6956e-01
438422 +6.309535812e+01 +6.309535812e+01 -7.049464188e+01 -1.335900000e+02 -9.8696e-01 -1.5241e-01 -3.5212e-01 +2.4106e-01 +1.1557e+00 -1.2255e+00 +3.2802e-01 +1.6556e+00 -8.7271e-01 -2.5758e+00 +1.4722e+00 -9.9930e-01 +4.2866e-01 +6.4708e-01 -4.7036e-01 +1.1933e+00 -2.0508e+00 -5.4099e-01 -1.9444e+00 -7.3836e-01
% function evaluation | noise-free fitness - Fopt (-8.468100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.753069953e+02 +9.753069953e+02 +1.284969953e+02 -8.468100000e+02 -1.6425e+00 +4.2162e+00 -3.4445e+00 +4.7428e+00 +1.4299e+00 -2.8298e+00 -4.4644e+00 -6.6216e-01 -3.4953e+00 +4.6980e+00 -3.6511e+00 +4.0929e+00 +1.2608e+00 -2.3474e+00 -1.2001e-01 +4.4780e+00 -1.1289e+00 -1.9875e+00 -1.8377e+00 -3.8147e-01
396 +4.325030334e+02 +4.325030334e+02 -4.143069666e+02 -8.468100000e+02 -6.8634e-02 -2.0942e+00 +4.2653e+00 -6.4086e-01 +1.5528e+00 +3.6401e+00 +1.8520e-01 -3.2928e+00 +3.4014e-01 +3.9159e+00 +3.4023e-01 -4.5303e+00 -3.2523e+00 +1.4084e+00 +1.0278e+00 -2.9194e+00 -1.1614e+00 +3.4498e-01 -1.4017e+00 -8.1500e-01
596 +3.763864240e+02 +3.763864240e+02 -4.704235760e+02 -8.468100000e+02 +4.4351e+00 -1.4102e+00 +5.0179e-01 -4.1298e+00 +1.4348e+00 +3.6401e+00 +6.2430e-01 -3.2928e+00 +3.4014e-01 +1.3980e+00 -3.3353e+00 -7.8290e-01 -3.2523e+00 +9.0627e-01 +6.9123e-01 +1.3200e+00 +1.2479e+00 +4.5733e+00 -3.4541e+00 +2.5116e+00
1587 +2.400537639e+02 +2.400537639e+02 -6.067562361e+02 -8.468100000e+02 -6.8634e-02 -2.0942e+00 +4.2653e+00 -6.4086e-01 -6.4350e-03 +6.2229e-01 +1.4877e+00 -1.7531e+00 -8.9432e-01 +1.3980e+00 -1.7003e+00 -7.8290e-01 -3.2523e+00 +9.0627e-01 -8.6555e-01 +1.3200e+00 -1.2694e+00 +3.4498e-01 -1.4017e+00 -8.1500e-01
10130 +1.552689532e+02 +1.552689532e+02 -6.915410468e+02 -8.468100000e+02 -6.8634e-02 -1.8113e+00 +2.7385e-01 -6.1782e-01 +1.3730e+00 +6.6065e-01 +1.4877e+00 -1.7606e+00 +3.4014e-01 +1.3980e+00 -1.7003e+00 -8.1343e-01 -3.3261e+00 +9.1172e-01 +6.9123e-01 +1.4089e+00 -1.2694e+00 +3.3569e-01 -1.3884e+00 -8.1500e-01
426148 +9.998922827e+01 +9.998922827e+01 -7.468207717e+02 -8.468100000e+02 -7.3642e-01 +1.1085e+00 -1.0040e+00 +2.0109e+00 -2.5118e+00 -7.2234e-01 -1.8515e+00 +1.2298e+00 -2.9160e+00 -6.1813e-01 +2.4441e+00 -6.8792e-02 +1.0449e+00 -9.0088e-01 +1.8390e+00 +2.4109e-02 +3.8504e+00 -1.6639e+00 +1.5623e-01 -1.9380e+00
% function evaluation | noise-free fitness - Fopt (1.363000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.469745812e+02 +6.469745812e+02 +6.606045812e+02 +1.363000000e+01 +4.6079e-01 -3.9885e+00 +1.9377e+00 +9.0771e-01 -7.2315e-01 +5.8301e-01 +6.5633e-02 -2.0289e+00 +2.4591e+00 -3.4030e+00 +7.1135e-01 -1.8418e+00 +1.5241e-01 -3.5866e+00 -1.2257e+00 -3.8334e+00 +1.1515e+00 -3.7098e+00 +4.3795e+00 -2.3772e+00
