% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.200503738e+06 +1.200503738e+06 +1.200539638e+06 +3.590000000e+01 +3.3213e+00 +4.7448e+00 +3.1530e+00 +4.0924e+00 -1.3858e+00 -5.2477e-01 +3.5470e-02 +4.0369e+00 -4.0606e+00 +4.9864e-01 -4.7282e+00 +1.8602e-01 -4.6148e+00 -3.2143e+00 -3.6121e+00 -1.7008e+00 +4.7113e+00 +3.6394e+00 +4.9092e+00 +2.7562e+00
389 +2.216987202e+05 +2.216987202e+05 +2.217346202e+05 +3.590000000e+01 +5.7979e-01 +9.3283e-02 +1.8802e+00 +3.5412e+00 -4.5798e+00 -3.0280e+00 -1.1853e+00 -2.0509e+00 -1.7182e+00 -2.0736e+00 -2.4555e+00 +3.2101e+00 -1.1409e+00 -9.6468e-01 +1.7298e+00 -2.6374e+00 +1.6818e+00 +2.7705e+00 -4.0235e+00 -1.6951e+00
761 +1.132511277e+05 +1.132511277e+05 +1.132870277e+05 +3.590000000e+01 +5.7979e-01 +9.3283e-02 +1.8802e+00 +3.5412e+00 -4.5798e+00 -3.0280e+00 -1.1853e+00 -2.0509e+00 -1.7182e+00 -2.1005e+00 -3.8271e+00 -4.4650e+00 +2.1658e-01 -1.0776e+00 +4.4538e+00 -2.6374e+00 +1.6818e+00 +2.7705e+00 -4.0235e+00 -1.6951e+00
943 +6.338160516e+04 +6.338160516e+04 +6.341750516e+04 +3.590000000e+01 +4.3037e+00 +1.1160e+00 +1.8802e+00 +3.5412e+00 -4.5798e+00 -3.0280e+00 -1.1853e+00 -2.0509e+00 -1.7182e+00 -4.8898e+00 -2.2308e+00 -4.4057e+00 +2.1658e-01 +1.7381e+00 +4.4538e+00 -2.8113e+00 -1.6726e-01 +4.9726e+00 -3.5923e+00 -4.4734e+00
1134 +3.866363242e+04 +3.866363242e+04 +3.869953242e+04 +3.590000000e+01 +4.3037e+00 +1.1160e+00 +1.8802e+00 +3.5412e+00 -4.5798e+00 -3.0280e+00 -1.1853e+00 -2.0509e+00 -1.5467e+00 -2.1005e+00 -3.8271e+00 -4.4650e+00 +2.1658e-01 -1.0776e+00 +4.4538e+00 -2.6374e+00 +1.6818e+00 +4.9726e+00 -3.5923e+00 -1.6951e+00
1878 +2.251312517e+04 +2.251312517e+04 +2.254902517e+04 +3.590000000e+01 +4.0681e+00 +1.0308e+00 +3.0620e+00 +1.8433e+00 -4.5798e+00 -3.7687e+00 -2.1887e+00 -2.0509e+00 -1.7182e+00 -2.9199e+00 -3.8271e+00 -3.9232e+00 +2.1658e-01 -1.0776e+00 +4.4538e+00 -2.6374e+00 +5.9032e-01 +4.9726e+00 -3.5923e+00 -4.2974e+00
2070 +1.420415670e+04 +1.420415670e+04 +1.424005670e+04 +3.590000000e+01 +4.0681e+00 +1.0308e+00 +3.0620e+00 +1.8966e+00 -4.5798e+00 -3.0280e+00 -1.1853e+00 -2.0509e+00 -1.5157e+00 -3.2958e+00 -3.8271e+00 -4.4650e+00 +2.1658e-01 -1.0776e+00 +4.4538e+00 -2.8113e+00 +2.2202e-01 +5.8882e+00 -3.5923e+00 -4.2974e+00
2428 +7.407600057e+03 +7.407600057e+03 +7.443500057e+03 +3.590000000e+01 +4.0681e+00 +1.1160e+00 +3.0620e+00 +2.4621e+00 -4.5798e+00 -3.1470e+00 -1.1853e+00 -2.0509e+00 -1.5157e+00 -3.7590e+00 -3.8271e+00 -3.9232e+00 +2.1658e-01 -1.0776e+00 +4.4538e+00 -2.8113e+00 +2.2202e-01 +5.8882e+00 -3.5923e+00 -4.2974e+00
2621 +6.114054300e+03 +6.114054300e+03 +6.149954300e+03 +3.590000000e+01 +4.0681e+00 +1.1444e+00 +3.0620e+00 +2.4621e+00 -4.5798e+00 -3.4494e+00 -1.1853e+00 -2.0509e+00 -1.5157e+00 -3.7590e+00 -3.8271e+00 -3.9232e+00 +2.1658e-01 -1.0776e+00 +4.4538e+00 -2.8113e+00 +2.2202e-01 +5.8882e+00 -3.5923e+00 -4.2974e+00
2808 +3.679695422e+03 +3.679695422e+03 +3.715595422e+03 +3.590000000e+01 +4.0681e+00 +1.6583e+00 +3.0620e+00 +2.4621e+00 -4.5798e+00 -3.7687e+00 -1.1853e+00 -2.0509e+00 -1.5157e+00 -3.7590e+00 -3.8271e+00 -3.9232e+00 +2.1658e-01 -1.0776e+00 +4.4538e+00 -2.8113e+00 +2.2202e-01 +5.8882e+00 -3.5923e+00 -4.2974e+00
