% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.326458303e+05 +3.326458303e+05 +3.320993303e+05 +3.320993303e+05 +4.6028e-01 +2.6847e+00 -4.4274e+00 +1.7254e+00 -1.5057e+00 +1.3671e+00 +2.7233e+00 +7.9186e-02 -2.2086e+00 +3.2853e+00 +3.0171e-01 +1.1289e+00 -4.6734e+00 +2.3714e+00 +1.7798e+00 -4.9741e+00 -3.0845e-01 -1.6488e+00 +3.1905e+00 -4.7243e+00
2 +2.180467615e+05 +2.180467615e+05 +2.175002615e+05 +2.175002615e+05 -2.6766e+00 -1.1543e+00 -2.3865e+00 -3.7693e+00 -2.0339e+00 -1.4257e+00 -3.5770e+00 -2.8914e+00 +2.1942e+00 -1.5483e+00 -4.4058e+00 -2.8875e+00 +4.1904e+00 +1.7759e+00 +1.0856e+00 -3.0129e+00 -4.4166e+00 +2.4515e+00 -4.0859e+00 +3.5183e+00
4 +1.560840688e+05 +1.560840688e+05 +1.555375688e+05 +1.555375688e+05 +1.2802e+00 -2.9752e+00 -2.1530e+00 -2.7228e+00 +4.9205e+00 -3.9153e+00 +3.3841e+00 +1.1059e+00 +1.6119e+00 -1.3626e+00 +1.9311e+00 -4.4909e+00 +1.4915e-01 -3.5203e+00 -1.9669e+00 +4.5740e+00 +2.8863e+00 +9.8427e-02 +1.6831e-01 +4.2985e+00
25 +7.677947872e+04 +7.677947872e+04 +7.623297872e+04 +7.623297872e+04 +3.2118e+00 -4.6425e+00 -4.3145e-01 -3.5877e+00 +8.3278e-01 +9.2346e-01 -1.0430e+00 +7.4324e-01 +7.2373e-01 +3.1372e-01 +2.4954e+00 +1.6662e+00 +9.8624e-01 -4.2224e+00 -3.2292e+00 -4.7860e+00 +4.2582e+00 +1.2420e+00 +9.5257e-01 +2.7962e+00
42 +5.671816548e+04 +5.671816548e+04 +5.617166548e+04 +5.617166548e+04 +4.9348e+00 +3.0003e+00 -3.9292e+00 -3.0179e+00 -4.4040e+00 -3.1212e+00 +1.2325e+00 -2.5124e+00 +3.4969e+00 -1.2277e+00 +2.7382e+00 +9.2009e-01 +2.2872e+00 -1.0041e+00 +1.9927e+00 -2.1732e+00 +2.2051e+00 +9.3396e-02 -4.1907e+00 -1.7101e+00
73 +2.430560998e+04 +2.430560998e+04 +2.375910998e+04 +2.375910998e+04 +1.6669e-01 -2.9947e-01 -1.1410e+00 +3.5386e+00 -3.1431e-01 -1.8413e+00 -7.3038e-02 +1.6238e+00 -2.5734e+00 +3.0252e+00 +4.0817e+00 +3.1127e-01 +1.6038e+00 -2.5921e+00 +2.8976e-01 +2.2230e-02 -1.0827e+00 -8.3347e-01 -3.0156e+00 -1.9442e-03
7650 +1.264038021e+04 +1.264038021e+04 +1.209388021e+04 +1.209388021e+04 -3.4696e+00 -3.8860e+00 +1.7120e+00 -1.4803e+00 -2.1830e+00 +4.0289e-01 -4.0353e+00 -2.4483e-01 +1.2667e+00 +6.5618e-01 +4.5217e+00 +3.2211e-02 +2.1351e+00 -2.3962e+00 +1.8300e+00 -6.7468e-02 +3.3534e+00 -2.3741e+00 +3.4954e-01 +2.6171e+00
11500 +9.037034362e+03 +9.037034362e+03 +8.490534362e+03 +8.490534362e+03 -2.0477e+00 +3.8120e+00 -3.6455e+00 -2.7696e+00 +2.5483e+00 -1.2166e+00 +9.9532e-01 -7.6554e-01 +9.3486e-02 +1.7286e-01 +3.7435e+00 +2.6745e+00 -1.3911e+00 -1.3156e+00 +2.5814e+00 -5.1858e-01 +1.1190e-01 -2.5706e-01 -1.3709e+00 +2.2386e+00
14377 +3.836498612e+03 +3.836498612e+03 +3.289998612e+03 +3.289998612e+03 -1.6408e+00 -1.4782e-01 +1.5209e+00 +1.9526e+00 +4.2286e+00 +1.9128e+00 +4.5098e-01 +1.5839e+00 -2.8089e+00 +3.0018e+00 -1.2923e-01 +3.6779e+00 +6.3094e-01 -2.3748e+00 +2.3370e+00 -5.7087e-02 +3.2392e+00 +7.8718e-02 -1.9249e+00 +3.9406e-01
22320 +1.998610640e+03 +1.998610640e+03 +1.452110640e+03 +1.452110640e+03 +3.9518e+00 +1.0079e+00 -2.4209e+00 -8.3112e-01 -1.7280e+00 -3.2765e+00 -1.7351e+00 +1.6238e+00 -2.5734e+00 +1.4325e+00 +1.0565e-01 +1.7415e+00 +1.9903e+00 -3.4412e-01 +2.5032e+00 -5.4434e-01 +2.2718e+00 -1.7289e+00 -1.7003e+00 +2.7455e+00
