% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.574895083e+00 +8.574895083e+00 +1.544489508e+01 +6.870000000e+00 +2.6651e+00 +4.9979e+00 -2.3731e+00 -2.6635e+00 +2.2641e+00 +3.4863e+00 -4.1484e+00 -3.3319e+00 -1.5955e+00 +4.1741e+00 +4.2812e+00 -1.2809e+00 +2.4099e+00 -3.8744e+00 -2.1534e+00 +1.9916e+00 -2.1143e+00 -4.2148e+00 +2.5009e+00 +5.2625e-01
386 +5.675237533e+00 +5.675237533e+00 +1.254523753e+01 +6.870000000e+00 +7.5383e-01 -3.8700e+00 +1.6185e+00 +2.7584e+00 -2.8147e+00 -1.4221e+00 +2.8401e+00 +3.8037e+00 -2.7553e+00 +2.2022e+00 -1.1599e+00 -2.1085e+00 +8.1142e-01 +4.4371e+00 +4.6088e+00 +7.6551e-01 +4.8974e+00 +4.7450e-01 -2.2613e+00 -2.4690e+00
1327 +3.593638952e+00 +3.593638952e+00 +1.046363895e+01 +6.870000000e+00 +7.5383e-01 -3.8700e+00 +1.6185e+00 +2.7584e+00 -2.8147e+00 -1.4221e+00 +2.8401e+00 +3.8037e+00 -2.7553e+00 +2.2022e+00 -1.1599e+00 -2.1814e+00 +8.1142e-01 +4.4371e+00 +4.6088e+00 +7.6551e-01 +4.8974e+00 +4.7450e-01 -2.2613e+00 -2.4590e+00
3373 +2.316959854e+00 +2.316959854e+00 +9.186959854e+00 +6.870000000e+00 +7.5383e-01 -3.8700e+00 +1.6181e+00 +2.7584e+00 -2.8147e+00 -1.4221e+00 +2.8401e+00 +3.8251e+00 -2.7553e+00 +2.2022e+00 -1.1599e+00 -2.1814e+00 +8.1142e-01 +4.4371e+00 +4.6088e+00 +7.6551e-01 +4.8997e+00 +4.7450e-01 -2.2613e+00 -2.4590e+00
27226 +1.514574626e+00 +1.514574626e+00 +8.384574626e+00 +6.870000000e+00 -1.0645e-01 +7.3226e-01 +9.1878e-01 +3.1431e+00 -2.0377e+00 -2.5157e+00 -1.6862e+00 -3.2059e+00 +3.1254e+00 +2.3629e+00 -3.9338e+00 -3.8368e+00 +1.0352e+00 +3.2406e+00 +4.4362e+00 +2.7249e+00 +1.2236e+00 -2.3720e+00 -2.8575e+00 -2.9570e+00
211028 +9.755231088e-01 +9.755231088e-01 +7.845523109e+00 +6.870000000e+00 -1.0645e-01 +7.3226e-01 +9.1878e-01 +3.1431e+00 -2.0377e+00 -2.5157e+00 -1.6874e+00 -3.2059e+00 +3.1254e+00 +2.3628e+00 -3.9374e+00 -3.8368e+00 +1.0301e+00 +3.2351e+00 +4.4362e+00 +2.7288e+00 +1.2231e+00 -2.3721e+00 -2.8575e+00 -2.9570e+00
442711 +6.272731745e-01 +6.272731745e-01 +7.497273174e+00 +6.870000000e+00 -1.2254e-01 +7.3225e-01 +9.1959e-01 +3.1431e+00 -2.0377e+00 -2.5165e+00 -1.6859e+00 -3.2088e+00 +3.1240e+00 +2.3649e+00 -3.9301e+00 -3.8268e+00 +1.0197e+00 +3.2403e+00 +4.4364e+00 +2.7286e+00 +1.2231e+00 -2.3725e+00 -2.8569e+00 -2.9570e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.540680624e+01 +1.540680624e+01 +1.541680624e+01 +1.000000000e-02 -3.1537e+00 +4.6202e+00 +3.7527e+00 +4.8678e+00 -4.3220e+00 -2.2241e+00 -4.9908e+00 +3.3966e+00 +3.6498e+00 -1.7879e+00 -3.8413e+00 -3.7783e+00 +1.0951e+00 +5.1240e-01 -1.0461e+00 +4.2540e+00 -3.2506e+00 +3.0821e-01 -2.3861e+00 -4.8912e+00
390 +4.985452594e+00 +4.985452594e+00 +4.995452594e+00 +1.000000000e-02 -4.1792e+00 +2.7803e+00 +1.2247e+00 +6.4107e-01 +2.2214e+00 -4.0324e+00 -3.5619e+00 -4.9572e+00 -4.7566e+00 -3.5029e+00 +1.1742e+00 -3.3555e+00 +3.4095e+00 -2.0489e+00 -2.3178e+00 -4.3884e+00 -2.0564e-01 -4.1934e+00 +3.4544e+00 +4.0234e+00
