% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.499366734e+02 +1.499366734e+02 +2.294166734e+02 +7.948000000e+01 -2.0279e+00 +4.5663e+00 +4.6016e+00 +1.6139e+00 -3.5560e+00 +1.8649e+00 +3.6293e+00 -1.0432e+00 -1.7752e+00 -1.8410e+00 -4.8287e+00 +4.0035e+00 +4.9434e+00 -3.9400e+00 +1.5799e+00 +1.2085e+00 -1.6414e+00 -3.5196e+00 -1.0690e+00 +4.1547e+00
388 +8.089196566e+01 +8.089196566e+01 +1.603719657e+02 +7.948000000e+01 -7.7566e-01 -4.6927e+00 -6.4827e-01 -1.0763e+00 -5.7667e-01 +2.2831e+00 +2.2104e+00 +4.6763e-02 -1.5369e+00 +5.7530e-01 -4.1479e+00 +3.5574e+00 +3.3643e+00 -1.2498e+00 +4.0742e+00 -6.4969e-01 +2.6694e+00 -4.0277e+00 +3.8152e+00 +1.7062e+00
574 +5.439308061e+01 +5.439308061e+01 +1.338730806e+02 +7.948000000e+01 -7.7566e-01 -4.6927e+00 -6.4827e-01 -1.1430e+00 -5.7667e-01 +2.2831e+00 +6.3953e-01 -2.4891e+00 +5.1889e-01 -2.1591e+00 -4.1479e+00 +1.9284e+00 +1.7833e+00 -1.4242e+00 +3.6889e+00 +4.9716e+00 +8.2311e-01 -3.3525e+00 +6.9652e-01 +1.7062e+00
768 +3.973638877e+01 +3.973638877e+01 +1.192163888e+02 +7.948000000e+01 -7.7566e-01 +1.7127e+00 +1.1540e-01 +3.3933e+00 -4.7495e+00 +4.8791e-01 +6.3953e-01 -2.4891e+00 +5.1889e-01 -2.1591e+00 -4.1479e+00 +1.9284e+00 +1.5488e+00 -1.4242e+00 +3.6889e+00 +4.9716e+00 +8.2311e-01 -3.3525e+00 +6.9652e-01 +1.7062e+00
1138 +1.973619980e+01 +1.973619980e+01 +9.921619980e+01 +7.948000000e+01 -2.4432e-01 -8.6034e-01 -6.4827e-01 +3.3933e+00 -4.7495e+00 +4.8791e-01 -5.7573e-01 +4.6763e-02 -1.5369e+00 -2.1591e+00 -4.1960e+00 +1.9284e+00 +1.7833e+00 -1.4242e+00 +3.6889e+00 +4.9716e+00 +8.2311e-01 -2.7081e+00 +6.9652e-01 +1.7062e+00
1522 +1.329287201e+01 +1.329287201e+01 +9.277287201e+01 +7.948000000e+01 -2.4432e-01 -8.6034e-01 +1.1540e-01 +3.3933e+00 -4.7495e+00 +4.8791e-01 +6.3953e-01 +4.6763e-02 -1.5369e+00 -2.1591e+00 -4.1479e+00 +1.6607e+00 +1.7833e+00 +3.4420e-01 +4.1723e+00 +1.3690e+00 -9.6142e-01 -4.1258e+00 +2.5759e+00 +1.7062e+00
2082 +9.914371612e+00 +9.914371612e+00 +8.939437161e+01 +7.948000000e+01 -2.4432e-01 -8.6034e-01 -6.4827e-01 +1.4620e+00 -4.7495e+00 +4.8791e-01 +2.2326e-01 +4.6763e-02 -1.9255e+00 -2.1591e+00 -4.1960e+00 +1.9284e+00 +1.5488e+00 +3.4420e-01 +4.1723e+00 +1.3690e+00 -9.6142e-01 -4.1258e+00 +2.5759e+00 +1.7062e+00
3031 +5.389523255e+00 +5.389523255e+00 +8.486952326e+01 +7.948000000e+01 -2.4432e-01 -8.6034e-01 -6.4827e-01 +1.4620e+00 -4.1051e+00 +4.8791e-01 +2.2326e-01 +4.6763e-02 -1.5369e+00 -2.5777e+00 -4.1479e+00 +1.6607e+00 +1.2624e+00 -2.8870e-01 +3.6889e+00 +1.5710e+00 -5.3089e-01 -4.1258e+00 +2.5759e+00 +1.7062e+00
3598 +3.589234972e+00 +3.589234972e+00 +8.306923497e+01 +7.948000000e+01 -2.4432e-01 -8.6034e-01 -6.4827e-01 +1.4620e+00 -3.6521e+00 +4.8791e-01 -5.7573e-01 +4.6763e-02 -1.9255e+00 -3.0850e+00 -4.1479e+00 +1.9284e+00 +1.5488e+00 +3.5996e-01 +3.6889e+00 +1.9562e+00 -5.3089e-01 -4.1258e+00 +2.5759e+00 +1.7062e+00
4524 +2.293936522e+00 +2.293936522e+00 +8.177393652e+01 +7.948000000e+01 -2.4432e-01 -8.6034e-01 -6.4827e-01 +1.4620e+00 -3.2523e+00 +4.8791e-01 -1.7023e-01 +4.6763e-02 -1.5369e+00 -3.0850e+00 -3.9849e+00 +2.1582e+00 +1.2624e+00 -2.8870e-01 +3.6889e+00 +1.9562e+00 -5.3089e-01 -4.1258e+00 +2.5759e+00 +1.7062e+00
