% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.539904072e+01 +7.539904072e+01 +1.745690407e+02 +9.917000000e+01 +6.3932e-01 -1.2808e+00 +3.8101e+00 -2.7305e+00 +3.1761e+00 +4.1185e+00 -9.1226e-01 -4.0505e+00 +1.7552e+00 +3.2150e+00
383 +1.898099099e+01 +1.898099099e+01 +1.181509910e+02 +9.917000000e+01 +1.8307e+00 -1.5891e+00 -2.3824e+00 -4.2880e+00 -9.9514e-01 +1.7470e+00 -5.7971e-01 -3.5134e+00 -1.1487e+00 -3.2934e+00
575 +1.524838577e+01 +1.524838577e+01 +1.144183858e+02 +9.917000000e+01 -3.3644e+00 +4.7701e-01 -1.5555e+00 +2.1451e+00 +1.2487e+00 +9.6980e-02 +1.9086e+00 +8.5740e-01 -2.6296e+00 -1.7430e+00
2064 +9.363893658e+00 +9.363893658e+00 +1.085338937e+02 +9.917000000e+01 +1.8307e+00 -1.5891e+00 -2.1738e+00 -4.5925e+00 -6.7985e-01 +1.7470e+00 -5.7971e-01 -3.5134e+00 -1.1487e+00 -2.9024e+00
2827 +5.943655733e+00 +5.943655733e+00 +1.051136557e+02 +9.917000000e+01 +1.8307e+00 -1.7627e+00 -2.1738e+00 -4.5411e+00 -6.7985e-01 +1.5882e+00 -5.7971e-01 -3.5134e+00 -1.1487e+00 -2.9024e+00
15968 +3.934784088e+00 +3.934784088e+00 +1.031047841e+02 +9.917000000e+01 -2.8541e+00 -2.9594e+00 -2.2751e+00 +2.3040e+00 +2.9451e-02 -2.4166e+00 -1.3678e+00 +5.0000e+00 -5.0003e+00 +4.3570e+00
17568 +2.343539257e+00 +2.343539257e+00 +1.015135393e+02 +9.917000000e+01 -2.6943e+00 -2.9183e+00 -2.2624e+00 +2.2977e+00 +1.0471e-01 -2.3008e+00 -1.3029e+00 +5.0000e+00 -5.0002e+00 +4.3626e+00
17968 +1.262311802e+00 +1.262311802e+00 +1.004323118e+02 +9.917000000e+01 -2.8328e+00 -2.7859e+00 -2.2217e+00 +2.2618e+00 +4.9736e-01 -2.0318e+00 -1.3999e+00 +5.0005e+00 -5.0031e+00 +4.3617e+00
40156 +8.212383764e-01 +8.212383764e-01 +9.999123838e+01 +9.917000000e+01 -2.8425e+00 -2.9818e+00 -2.2096e+00 +2.0841e+00 +3.1927e-01 -2.0058e+00 -1.3109e+00 +5.0000e+00 -5.0000e+00 +4.3598e+00
44956 +3.545160829e-01 +3.545160829e-01 +9.952451608e+01 +9.917000000e+01 -2.6852e+00 -2.8013e+00 -2.2127e+00 +2.1740e+00 +2.9144e-01 -2.1503e+00 -1.3665e+00 +5.0000e+00 -5.0000e+00 +4.2974e+00
48956 +2.430529540e-01 +2.430529540e-01 +9.941305295e+01 +9.917000000e+01 -2.6887e+00 -2.8346e+00 -2.2312e+00 +2.2058e+00 +3.4351e-01 -2.1769e+00 -1.3747e+00 +5.0000e+00 -5.0000e+00 +4.3764e+00
49756 +1.393675950e-01 +1.393675950e-01 +9.930936760e+01 +9.917000000e+01 -2.7120e+00 -2.8302e+00 -2.2259e+00 +2.2072e+00 +3.4142e-01 -2.1876e+00 -1.3784e+00 +5.0000e+00 -5.0000e+00 +4.3754e+00
136612 +9.932526916e-02 +9.932526916e-02 +9.926932527e+01 +9.917000000e+01 -2.6913e+00 -2.8246e+00 -2.2241e+00 +2.2051e+00 +3.4146e-01 -2.1813e+00 -1.3764e+00 +5.0000e+00 -5.0000e+00 +4.3688e+00
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.381099526e+01 +6.381099526e+01 -4.540990047e+02 -5.179100000e+02 +2.9089e+00 -2.1288e+00 +4.7387e+00 +3.8712e+00 +1.4236e+00 +1.2824e+00 -4.8466e+00 -4.9518e+00 +3.9094e+00 +2.1215e+00
200 +2.432288356e+01 +2.432288356e+01 -4.935871164e+02 -5.179100000e+02 -9.0478e-01 -6.9826e-01 +3.5526e+00 +1.3771e+00 -4.6380e+00 -4.2858e+00 +2.7565e+00 -4.2771e+00 -1.6836e+00 -4.6750e+00
1800 +1.282060185e+01 +1.282060185e+01 -5.050893981e+02 -5.179100000e+02 -5.3195e+00 -5.0596e+00 +5.3446e-01 +1.6342e+00 -5.0184e+00 -5.3581e+00 +6.6959e-01 +5.3248e+00 -2.9009e+00 -5.0298e+00
7800 +8.640978571e+00 +8.640978571e+00 -5.092690214e+02 -5.179100000e+02 +2.7293e+00 -5.0000e+00 +1.2818e+00 -3.4440e+00 -5.0000e+00 -4.2735e+00 -1.0214e-01 +6.0472e-01 -1.2681e+00 -4.6041e+00
9200 +4.808383700e+00 +4.808383700e+00 -5.131016163e+02 -5.179100000e+02 -1.5369e+00 -5.0020e+00 -3.6569e-01 -3.8897e+00 -5.0000e+00 -3.7940e+00 +5.0047e+00 +1.5347e+00 +1.1712e-01 -4.7521e+00
51281 +3.676261262e+00 +3.676261262e+00 -5.142337387e+02 -5.179100000e+02 -9.6889e-01 +3.3841e+00 -1.2596e+00 -1.3021e+00 +1.4325e+00 +2.9061e+00 +1.5656e+00 -4.7966e+00 -3.3612e+00 +2.3185e+00
232646 +2.511007350e+00 +2.511007350e+00 -5.153989927e+02 -5.179100000e+02 -9.5916e-01 +3.3814e+00 -1.2783e+00 -1.3148e+00 +1.4271e+00 +2.9193e+00 +1.5653e+00 -4.7957e+00 -3.3663e+00 +2.3030e+00
% function evaluation | noise-free fitness - Fopt (-5.721000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.523966198e+01 +6.523966198e+01 +8.029661977e+00 -5.721000000e+01 -3.6594e-01 -1.9067e+00 +1.1210e-01 -3.1020e+00 +3.4865e+00 +3.3768e+00 -2.2734e+00 +1.7411e+00 +4.2533e-01 +2.2453e+00
383 +2.537103809e+01 +2.537103809e+01 -3.183896191e+01 -5.721000000e+01 -1.2547e-01 +6.6087e-01 -2.4704e+00 -6.2029e-01 -2.9727e+00 +3.7346e-01 -4.4967e+00 -4.9775e+00 -2.1957e-01 -2.0291e+00
568 +1.954091946e+01 +1.954091946e+01 -3.766908054e+01 -5.721000000e+01 -1.5636e+00 -2.3706e-01 +3.9507e+00 -2.8295e+00 +2.3901e+00 +7.9154e-01 +3.1542e+00 -3.1252e+00 -4.7374e+00 +4.9984e+00
2548 +1.555011842e+01 +1.555011842e+01 -4.165988158e+01 -5.721000000e+01 -1.5636e+00 -2.7229e-01 +3.9507e+00 -2.8295e+00 +2.3901e+00 +9.1754e-01 +3.2544e+00 -3.1252e+00 -4.7374e+00 +4.9984e+00
17525 +9.364407944e+00 +9.364407944e+00 -4.784559206e+01 -5.721000000e+01 -4.9999e+00 +5.0001e+00 +3.4002e+00 -5.0000e+00 -2.0358e+00 +5.0000e+00 +2.1755e+00 -1.4939e-01 -1.0192e+00 -3.6442e+00
39702 +6.225597964e+00 +6.225597964e+00 -5.098440204e+01 -5.721000000e+01 -5.0000e+00 +5.0000e+00 +3.2987e+00 -5.0000e+00 -2.0355e+00 +5.0000e+00 +2.3335e+00 -1.5450e-01 -9.1077e-01 -3.6444e+00
92570 +3.956352635e+00 +3.956352635e+00 -5.325364737e+01 -5.721000000e+01 -2.7674e+00 -5.0000e+00 -2.6267e+00 +5.0000e+00 -5.0000e+00 +3.5249e+00 +5.0000e+00 +4.8485e+00 +4.3187e+00 -3.6229e+00
% function evaluation | noise-free fitness - Fopt (6.770000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.417170486e+02 +1.417170486e+02 +1.484870486e+02 +6.770000000e+00 -1.0601e+00 -4.5547e+00 +1.8119e+00 -4.1300e+00 -3.3350e+00 +4.8054e+00 +1.4226e+00 -1.9432e+00 -2.2099e+00 +3.7737e+00
400 +2.185297406e+01 +2.185297406e+01 +2.862297406e+01 +6.770000000e+00 +4.8184e+00 +1.2127e-01 -4.7030e+00 -4.1910e+00 -4.4834e-01 +4.9232e+00 -7.5856e-01 +4.7366e+00 +3.5422e+00 +3.9643e+00
1382 +1.545717492e+01 +1.545717492e+01 +2.222717492e+01 +6.770000000e+00 -3.3331e+00 +1.2127e-01 -4.7030e+00 -4.1910e+00 +1.7587e-01 +4.9232e+00 +1.9583e+00 +4.1988e+00 -2.0462e+00 -6.3833e-01
15674 +9.954418446e+00 +9.954418446e+00 +1.672441845e+01 +6.770000000e+00 +5.0000e+00 -1.2036e+00 +1.6184e+00 +2.3030e+00 -1.2212e+00 -5.0000e+00 -2.4233e+00 -3.4326e+00 -4.7441e+00 +5.8323e-01
21014 +4.772800142e+00 +4.772800142e+00 +1.154280014e+01 +6.770000000e+00 +6.7977e-01 -6.8656e-01 -8.8501e-01 -3.2021e+00 +2.3917e+00 -3.3590e+00 -4.4751e+00 +3.4617e+00 -3.9606e+00 +1.3923e+00
21386 +3.329698771e+00 +3.329698771e+00 +1.009969877e+01 +6.770000000e+00 +6.7977e-01 -6.8656e-01 -8.8501e-01 -3.3850e+00 +2.3917e+00 -3.4104e+00 -4.4751e+00 +3.4617e+00 -4.1392e+00 +1.3923e+00
21568 +1.400200195e+00 +1.400200195e+00 +8.170200195e+00 +6.770000000e+00 +6.7977e-01 -6.8656e-01 -8.8501e-01 -3.2021e+00 +2.2091e+00 -3.4104e+00 -4.4751e+00 +3.4617e+00 -4.1392e+00 +1.3923e+00
23068 +9.365625364e-01 +9.365625364e-01 +7.706562536e+00 +6.770000000e+00 +6.5035e-01 -7.2434e-01 -8.8501e-01 -3.2021e+00 +2.2304e+00 -3.4104e+00 -4.4751e+00 +3.4617e+00 -4.1473e+00 +1.3923e+00
26625 +6.296248200e-01 +6.296248200e-01 +7.399624820e+00 +6.770000000e+00 +6.5035e-01 -7.2434e-01 -8.8763e-01 -3.2063e+00 +2.2304e+00 -3.4104e+00 -4.4751e+00 +3.4617e+00 -4.1572e+00 +1.4398e+00
112474 +3.827591370e-01 +3.827591370e-01 +7.152759137e+00 +6.770000000e+00 +6.4766e-01 -6.7911e-01 -8.9043e-01 -3.2064e+00 +2.1441e+00 -3.4098e+00 -4.5732e+00 +3.4753e+00 -4.2595e+00 +1.4407e+00
147273 +2.325731211e-01 +2.325731211e-01 +7.002573121e+00 +6.770000000e+00 +6.5680e-01 -6.7863e-01 -8.7637e-01 -3.2087e+00 +2.1483e+00 -3.4214e+00 -4.5647e+00 +3.4731e+00 -4.2560e+00 +1.4457e+00
% function evaluation | noise-free fitness - Fopt (-1.078000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.812904240e+01 +7.812904240e+01 +6.734904240e+01 -1.078000000e+01 +9.1519e-01 +4.4891e+00 +3.8255e+00 -3.1928e+00 -6.9341e-01 -4.9976e+00 -3.5994e+00 -3.3443e+00 -4.6081e+00 -3.9385e-01
198 +2.120441407e+01 +2.120441407e+01 +1.042441407e+01 -1.078000000e+01 +4.3248e+00 +8.7292e-01 -3.4713e+00 -4.8345e+00 +6.5296e-01 -4.6862e+00 -6.9881e-01 -4.2725e+00 +1.6100e+00 -4.9251e+00
996 +1.546447197e+01 +1.546447197e+01 +4.684471974e+00 -1.078000000e+01 +4.3248e+00 +8.7292e-01 -3.4713e+00 -4.8345e+00 +6.5296e-01 -3.5195e+00 -6.9881e-01 -4.2725e+00 +1.3716e+00 -4.9251e+00
