% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.925855840e+01 +9.925855840e+01 +1.706085584e+02 +7.135000000e+01 +2.2003e+00 +1.6258e+00 +1.3313e+00 -3.4294e+00 +3.9765e+00 -1.7191e+00 -3.6486e-01 +4.2272e-01 -3.4666e+00 -1.9432e+00 -6.3619e-01 +3.6691e+00 -9.3202e-01 -3.8843e+00 +4.3263e+00 +9.6039e-01 -1.1890e+00 +1.6876e+00 -2.5006e+00 +4.4022e+00
178 +3.078768386e+01 +3.078768386e+01 +1.021376839e+02 +7.135000000e+01 +1.3616e+00 -4.7445e+00 +4.3650e+00 +2.7672e+00 +3.5562e+00 -1.3685e+00 -1.4321e-01 +3.9522e+00 -4.0564e+00 -5.9791e-01 +4.1301e+00 -4.8231e-01 +8.9330e-01 +3.7188e+00 -1.4774e+00 -2.6569e+00 +1.1538e+00 -4.7408e-01 -4.2873e+00 -1.6180e+00
1489 +2.142951886e+01 +2.142951886e+01 +9.277951886e+01 +7.135000000e+01 +1.0412e+00 +6.0944e-01 -2.7065e+00 +6.6038e-02 +1.8701e+00 +4.7445e+00 +4.4633e+00 -2.0790e+00 +3.5715e-01 +3.0660e+00 +4.4969e+00 +3.5997e+00 -3.9311e-01 +8.4393e-01 -4.7010e-01 +4.3066e+00 -2.5523e+00 +3.6070e+00 +5.3853e+00 -3.9089e-01
2609 +1.500639730e+01 +1.500639730e+01 +8.635639730e+01 +7.135000000e+01 +1.3799e+00 +6.0944e-01 -2.7065e+00 +6.6038e-02 +1.0698e+00 +5.0867e+00 +4.4633e+00 -1.9193e+00 +1.1038e+00 +3.0660e+00 +4.1562e+00 +3.5997e+00 -3.9311e-01 +8.0579e-01 -4.7010e-01 +4.3066e+00 -2.5523e+00 +3.6070e+00 +5.6934e+00 -3.9089e-01
33978 +9.444837274e+00 +9.444837274e+00 +8.079483727e+01 +7.135000000e+01 +2.7582e+00 -2.2851e+00 -1.9356e+00 +3.7002e+00 +7.4065e-01 -5.4131e-01 +4.3406e+00 -3.9862e+00 -1.9479e+00 +4.1807e+00 +2.9811e+00 +3.8913e+00 -2.3610e+00 +1.0525e+00 -2.7674e+00 +1.0264e+00 -5.9354e-01 -3.1908e+00 -1.6145e+00 +1.4048e-01
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.603419392e+01 +5.603419392e+01 -2.991858061e+02 -3.552200000e+02 +1.7298e+00 +2.5236e+00 +1.8327e+00 +2.1222e+00 -1.5086e+00 -1.8693e+00 +1.4164e+00 +1.7682e+00 +3.5362e+00 -9.0877e-01 -3.3715e+00 -3.4395e+00 -2.0131e+00 +4.1956e+00 -6.8670e-01 -1.9672e+00 -4.5128e+00 +3.7410e+00 -2.3383e+00 -2.1698e+00
398 +3.473834095e+01 +3.473834095e+01 -3.204816591e+02 -3.552200000e+02 +4.3625e-02 -4.7590e+00 +9.8875e-01 +4.4314e+00 -6.9874e-01 +6.7836e-01 +3.0946e+00 -7.6292e-01 +5.1654e-01 +4.4201e+00 -3.7457e+00 +2.9160e+00 +1.2662e+00 -1.7524e+00 +1.8151e+00 -3.9423e+00 -4.9375e+00 -2.4715e+00 +1.1813e+00 +2.6184e+00
1386 +2.383789033e+01 +2.383789033e+01 -3.313821097e+02 -3.552200000e+02 -4.6421e+00 -4.4227e+00 +3.5219e+00 +4.3483e+00 -2.2840e+00 -5.6306e-01 -3.6026e+00 +3.6258e+00 -2.6529e+00 -7.2441e-01 -4.7545e+00 +3.0514e+00 -4.0261e+00 +1.8574e+00 +3.9670e+00 +1.0787e+00 +2.6768e+00 +3.6750e+00 -3.9475e+00 +1.1717e-01
4756 +1.519817492e+01 +1.519817492e+01 -3.400218251e+02 -3.552200000e+02 -4.6421e+00 -4.8403e+00 +3.5219e+00 +4.3483e+00 -2.1597e+00 -5.6306e-01 -3.6026e+00 +3.5229e+00 -2.6529e+00 -7.2441e-01 -4.7545e+00 +3.0514e+00 -3.6548e+00 +1.9805e+00 +3.9670e+00 +1.0787e+00 +2.5337e+00 +3.6750e+00 -3.7135e+00 +1.1717e-01
18983 +9.913486918e+00 +9.913486918e+00 -3.453065131e+02 -3.552200000e+02 +2.2342e+00 -3.7809e+00 +2.2453e+00 +3.3350e+00 +1.1799e+00 +1.4838e+00 -1.9396e+00 -1.5338e+00 -1.7869e+00 -9.5812e-01 -3.3009e+00 +1.8115e+00 -1.6327e+00 -4.1680e+00 +2.9402e+00 +2.9234e+00 -1.0663e+00 -2.7768e+00 +4.4719e-02 -2.7304e+00
57360 +6.215501396e+00 +6.215501396e+00 -3.490044986e+02 -3.552200000e+02 +4.2026e+00 +3.6487e+00 +5.3222e-01 +2.1421e+00 +3.7702e+00 -9.0237e-01 +2.1507e+00 +4.1514e-01 -5.3936e-01 -5.5065e-01 +1.3610e-01 -1.7035e+00 +2.5270e+00 +8.4556e-01 -1.7806e+00 +5.9917e+00 +2.8185e+00 -2.0943e+00 -3.1180e+00 +3.7246e+00
151930 +3.937481726e+00 +3.937481726e+00 -3.512825183e+02 -3.552200000e+02 +4.2026e+00 +3.6487e+00 +3.2685e-01 +2.1421e+00 +3.7359e+00 -8.6132e-01 +2.1507e+00 +4.1514e-01 -6.3401e-01 -5.5065e-01 +1.3610e-01 -1.6978e+00 +2.5270e+00 +8.4556e-01 -1.7806e+00 +5.9917e+00 +2.8185e+00 -2.0943e+00 -3.1015e+00 +3.7246e+00
% function evaluation | noise-free fitness - Fopt (9.917000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.513088274e+01 +6.513088274e+01 +1.643008827e+02 +9.917000000e+01 -2.0899e+00 +3.2928e+00 +4.7459e+00 +1.8323e+00 +4.8180e+00 +1.1620e+00 -3.5407e+00 -3.6721e+00 +1.6271e+00 -2.1521e+00 -4.2237e+00 -2.5199e+00 -4.1509e+00 +4.8812e-01 +3.0383e+00 -7.2369e-01 -1.7486e+00 +9.5963e-01 +4.8584e+00 -3.8697e+00
194 +3.325813784e+01 +3.325813784e+01 +1.324281378e+02 +9.917000000e+01 -1.5878e+00 -8.4144e-01 -3.9609e+00 +1.8569e+00 -2.0522e-01 +2.4663e+00 +2.6168e+00 -3.1895e+00 +5.9901e-01 -8.2183e-01 +5.8611e-01 +1.3824e+00 +1.6016e+00 -1.1194e+00 +4.5754e+00 -1.3180e+00 -4.0478e+00 +3.6972e+00 +2.6296e-01 -3.7253e+00
1722 +2.139545858e+01 +2.139545858e+01 +1.205654586e+02 +9.917000000e+01 -1.5878e+00 -8.4144e-01 -3.9609e+00 +1.2823e+00 -2.0522e-01 +2.4663e+00 +3.1228e+00 -3.1895e+00 +5.9901e-01 -8.2183e-01 +5.8611e-01 +1.3824e+00 +1.6016e+00 -9.2080e-01 +4.5754e+00 -1.3180e+00 -4.0478e+00 +3.6972e+00 +2.6296e-01 -3.7253e+00
2847 +1.498786586e+01 +1.498786586e+01 +1.141578659e+02 +9.917000000e+01 -1.5878e+00 -8.4144e-01 -3.9609e+00 +1.2823e+00 -2.0522e-01 +2.4663e+00 +2.7723e+00 -3.1895e+00 +5.9901e-01 -8.2183e-01 +5.8611e-01 +1.3824e+00 +1.6016e+00 -1.1194e+00 +3.7163e+00 -1.4455e+00 -4.0478e+00 +3.7152e+00 +2.6296e-01 -3.2690e+00
6959 +9.801018610e+00 +9.801018610e+00 +1.089710186e+02 +9.917000000e+01 -1.5878e+00 -8.4144e-01 -3.9609e+00 +1.3081e+00 -4.2526e-01 +2.4663e+00 +2.7723e+00 -3.1895e+00 +5.9901e-01 -9.9418e-01 +3.8689e-01 +1.3824e+00 +1.6016e+00 -1.1194e+00 +3.6444e+00 -1.4755e+00 -4.0478e+00 +3.7152e+00 +2.6296e-01 -3.2690e+00
194073 +6.103615302e+00 +6.103615302e+00 +1.052736153e+02 +9.917000000e+01 -3.9243e+00 -1.6940e+00 +2.7601e+00 +1.3521e+00 -4.0964e+00 +1.1186e+00 +8.8770e-01 +3.4224e+00 +7.7294e-01 -2.0379e+00 -2.4841e+00 +4.4327e+00 -3.4172e+00 -2.0971e+00 -2.6926e+00 -7.7575e-01 +2.0105e+00 -3.5846e+00 +4.9120e+00 +2.8647e+00
324557 +3.771324030e+00 +3.771324030e+00 +1.029413240e+02 +9.917000000e+01 -4.9767e+00 -1.6993e+00 +2.7726e+00 +1.3543e+00 -4.0736e+00 +1.5217e+00 +9.5173e-01 +3.5139e+00 +8.0178e-01 -2.0995e+00 -2.4953e+00 +5.0001e+00 -3.3545e+00 -2.0739e+00 -2.6971e+00 -6.6118e-01 +1.9037e+00 -3.5677e+00 +4.8199e+00 +3.0205e+00
329557 +2.283111007e+00 +2.283111007e+00 +1.014531110e+02 +9.917000000e+01 -4.9615e+00 -1.7002e+00 +2.7658e+00 +1.3532e+00 -3.9621e+00 +1.5378e+00 +9.3757e-01 +3.5090e+00 +8.1556e-01 -2.1142e+00 -2.4950e+00 +5.0000e+00 -3.4217e+00 -2.0357e+00 -2.7176e+00 -7.6242e-01 +1.8347e+00 -3.5633e+00 +4.6924e+00 +3.1243e+00
395392 +1.387164646e+00 +1.387164646e+00 +1.005571646e+02 +9.917000000e+01 -5.0000e+00 -1.7969e+00 +2.9571e+00 +1.3309e+00 -3.9243e+00 +1.5215e+00 +9.6720e-01 +3.6208e+00 +8.3130e-01 -2.0870e+00 -2.4953e+00 +5.0000e+00 -3.3976e+00 -1.9027e+00 -2.7838e+00 -6.4220e-01 +1.8299e+00 -3.5084e+00 +4.6373e+00 +3.1404e+00
568803 +9.974471256e-01 +9.974471256e-01 +1.001674471e+02 +9.917000000e+01 -4.9882e+00 -1.7979e+00 +2.9523e+00 +1.3271e+00 -3.9172e+00 +1.5290e+00 +9.6647e-01 +3.6495e+00 +8.2436e-01 -2.0861e+00 -2.5017e+00 +5.0000e+00 -3.3952e+00 -1.8985e+00 -2.7884e+00 -6.4621e-01 +1.8191e+00 -3.5075e+00 +4.6384e+00 +3.1397e+00
% function evaluation | noise-free fitness - Fopt (-5.179100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.128862141e+02 +1.128862141e+02 -4.050237859e+02 -5.179100000e+02 -2.9239e+00 -3.1194e+00 -2.3171e+00 +1.4043e+00 -4.7442e+00 -1.1026e+00 -5.8543e-01 -1.1682e-01 -9.4438e-01 -3.5766e+00 -9.5207e-01 +1.0268e+00 -4.7194e+00 +1.8364e+00 +2.2426e-01 +1.9640e+00 -2.0521e+00 +2.9177e-01 -3.3201e+00 -4.1296e+00
376 +2.844472135e+01 +2.844472135e+01 -4.894652787e+02 -5.179100000e+02 +1.8156e+00 +3.7462e+00 -4.0941e+00 +1.9457e+00 +1.8163e+00 -1.4799e+00 -2.4559e+00 -3.1093e+00 -9.3946e-01 +9.7592e-01 -2.8246e+00 +3.1897e+00 -2.6820e+00 +2.4394e+00 +1.9877e+00 +4.0716e+00 +6.3596e-01 -3.0543e+00 +3.7330e+00 -1.5231e+00
