% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.377224528e+08 +8.377224528e+08 +8.377218317e+08 +8.377218317e+08 +1.9114e+00 +9.8972e-01 -6.8749e-02 -3.4149e+00 -2.3295e+00 -1.1308e+00 +4.4905e+00 +6.0163e-01 -1.3336e+00 +3.8863e+00 -2.1784e+00 +6.3504e-01 -1.4006e-01 +6.8678e-01 +3.2646e+00 +4.8301e+00 -2.7954e+00 +3.1089e+00 -6.0164e-01 +3.1457e+00
2 +5.468072341e+08 +5.468072341e+08 +5.468066130e+08 +5.468066130e+08 -2.5446e+00 +3.0229e+00 -1.1751e+00 -4.9371e+00 +4.2983e+00 +2.8335e+00 -4.3171e-01 +3.8361e+00 +2.3100e+00 -3.1807e+00 +2.4248e+00 +1.5784e+00 +2.6629e+00 +4.2921e+00 -4.6496e+00 -1.0494e+00 +7.9363e-01 +4.1130e+00 -3.0036e+00 -3.3934e-01
17 +1.148208984e+08 +1.148208984e+08 +1.148202773e+08 +1.148202773e+08 +2.0489e+00 +1.7257e+00 -2.5345e-01 -2.9076e+00 -2.1928e+00 -1.1680e+00 +2.2526e+00 +4.7012e+00 -9.3923e-01 +8.6457e-01 -4.1062e+00 +1.0262e+00 +4.2700e+00 -1.3341e+00 +2.7873e+00 -4.7696e+00 +1.7599e+00 +2.3371e+00 +2.9508e+00 +3.0596e+00
3430 +9.857096079e+07 +9.857096079e+07 +9.857033968e+07 +9.857033968e+07 -4.6214e+00 +4.1088e+00 -9.9495e-01 -2.2329e+00 -2.2291e+00 -2.1892e+00 +2.7140e+00 +1.7652e-01 -5.8193e-01 +3.2653e+00 +1.5780e-01 -1.7307e-01 +4.0482e+00 +2.9782e+00 +2.8455e+00 -1.0325e+00 +3.8299e+00 +2.8088e-01 -3.5008e+00 +1.0383e+00
9841 +4.327808623e+07 +4.327808623e+07 +4.327746512e+07 +4.327746512e+07 +2.3783e-01 +4.1088e+00 -9.9495e-01 -2.2329e+00 -2.2291e+00 -2.1892e+00 +2.7140e+00 +1.7652e-01 -5.8193e-01 +7.6528e-01 +1.5780e-01 -1.7307e-01 +4.0482e+00 +2.9782e+00 +2.8455e+00 -1.0325e+00 +3.8299e+00 +3.2256e+00 -4.9288e-01 -4.8122e-01
14225 +3.747289239e+07 +3.747289239e+07 +3.747227128e+07 +3.747227128e+07 -3.9167e-01 +3.6569e+00 +1.2148e+00 -8.6939e-01 +4.7732e-02 -2.9761e+00 +2.3963e+00 +1.0472e+00 +3.6330e+00 +3.2991e-01 -1.1103e+00 +3.6938e+00 +1.9705e+00 +1.2765e+00 +2.6761e+00 -3.6569e+00 +3.4169e+00 +3.2196e+00 +1.5890e+00 +6.3126e-01
28526 +2.498183696e+07 +2.498183696e+07 +2.498121585e+07 +2.498121585e+07 -1.6474e+00 +3.1590e+00 +1.4326e-01 -2.9368e+00 +1.2952e-01 -1.4913e+00 -5.7833e-01 +1.1112e+00 +1.6995e+00 +1.3452e-01 +9.2023e-01 +3.2589e+00 +4.3727e+00 +2.7255e+00 +4.8298e+00 -2.9604e+00 +1.9623e+00 +4.1699e+00 +1.5021e+00 -4.0685e-02
35484 +1.402921124e+07 +1.402921124e+07 +1.402859013e+07 +1.402859013e+07 +7.5935e-02 +4.4448e+00 +4.5087e-01 -2.9362e+00 -2.0022e+00 -2.4457e+00 +4.1050e+00 +1.7835e-01 +1.6214e+00 -7.8988e-01 +4.8289e-01 +3.1520e+00 +2.4301e+00 +1.5234e+00 +2.9562e-01 -4.6047e+00 +1.1818e+00 +3.2052e+00 +3.2073e+00 -4.8153e-01
43212 +9.599766886e+06 +9.599766886e+06 +9.599145776e+06 +9.599145776e+06 +3.1131e-01 +3.8616e+00 -2.3391e-01 -2.8558e+00 -2.4703e+00 -1.2379e+00 +2.1945e+00 -1.1204e+00 +1.6995e+00 +1.3452e-01 +9.2023e-01 +3.2589e+00 +4.0602e+00 +8.3160e-01 +3.1791e+00 -2.2834e+00 +5.8629e-01 +2.4454e+00 +2.8527e+00 -5.0374e-02
50274 +4.923332323e+06 +4.923332323e+06 +4.922711213e+06 +4.922711213e+06 -1.4819e+00 +4.4448e+00 +4.5087e-01 -2.9368e+00 +1.2952e-01 -1.2379e+00 +2.1945e+00 -1.1204e+00 +1.5979e+00 -7.8866e-01 +4.8289e-01 +2.7573e+00 +4.3468e+00 +9.6287e-01 +2.3229e+00 -2.5535e+00 +1.2190e+00 +2.3363e+00 +8.6045e-01 -1.0116e+00
63600 +3.810901634e+06 +3.810901634e+06 +3.810280524e+06 +3.810280524e+06 +2.3783e-01 +4.1870e+00 +6.2407e-01 -2.3727e+00 -2.4105e+00 -1.7989e+00 +2.7140e+00 +1.7652e-01 +9.8350e-01 +1.3445e-01 +9.2023e-01 +3.2589e+00 +3.1227e+00 +2.0111e+00 +1.4189e+00 -1.4681e+00 -3.0102e-01 +2.9524e+00 +1.8317e+00 -6.0980e-01
73189 +2.464684108e+06 +2.464684108e+06 +2.464062998e+06 +2.464062998e+06 +7.5935e-02 +4.4448e+00 +4.5087e-01 -2.1166e+00 -1.1467e+00 -2.1892e+00 +2.1939e+00 -1.1204e+00 +8.8130e-01 -1.2816e-02 +4.8289e-01 +3.2589e+00 +3.1227e+00 +2.0111e+00 +2.3229e+00 -2.6316e+00 +9.9683e-01 +2.4692e+00 +1.0453e+00 -4.8153e-01
79300 +1.539374986e+06 +1.539374986e+06 +1.538753876e+06 +1.538753876e+06 +7.5935e-02 +4.4448e+00 +4.5332e-01 -2.1160e+00 -1.1467e+00 -2.1892e+00 +2.1939e+00 -1.1204e+00 +8.8130e-01 -1.2816e-02 +9.2023e-01 +3.1822e+00 +3.6522e+00 +2.0111e+00 +1.9908e+00 -2.4526e+00 +9.9685e-01 +2.5676e+00 +1.9805e+00 -4.8153e-01
93888 +9.818691589e+05 +9.818691589e+05 +9.812480489e+05 +9.812480489e+05 +2.3783e-01 +4.1085e+00 +4.5103e-01 -2.9368e+00 -1.1467e+00 -2.1893e+00 +2.1939e+00 -1.1204e+00 +8.8130e-01 -1.2816e-02 +9.2023e-01 +3.1822e+00 +3.8568e+00 +1.5840e+00 +2.1926e+00 -2.2834e+00 +5.8873e-01 +2.5854e+00 +1.5890e+00 -4.0685e-02
