% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.496425836e+02 +5.496425836e+02 +5.327025836e+02 +5.327025836e+02 +2.0285e-01 +1.1739e+00 +4.4422e-01 +3.2187e+00 -3.2451e+00 +2.8226e+00 -4.4268e+00 -5.1503e-01 +2.7841e+00 +7.2182e-01 -3.2345e+00 -1.3057e+00 +9.9351e-01 +4.2085e+00 +3.5542e+00 +3.0774e+00 +4.7584e+00 -2.1268e+00 +5.5463e-01 -1.9013e+00
3 +1.184700698e+02 +1.184700698e+02 +1.015300698e+02 +1.015300698e+02 -3.0424e+00 -2.9098e-01 +1.3478e+00 +2.5830e+00 +1.3009e+00 +4.4991e+00 -1.0323e+00 +2.1902e+00 +2.9717e+00 -4.7968e+00 +4.8472e+00 -2.7457e+00 -3.8488e+00 +3.4882e-02 +4.4113e+00 +4.4279e+00 -4.9661e-01 -1.1673e+00 +2.6661e+00 +9.2874e-01
6 +7.786697066e+01 +7.786697066e+01 +6.092697066e+01 +6.092697066e+01 +4.9201e+00 -2.8975e+00 +4.2422e+00 -2.8655e-01 +3.8132e+00 -3.0765e+00 +9.3697e-01 -7.1385e-02 -2.8422e+00 -4.2717e+00 +4.5986e+00 +3.3154e+00 -2.8827e-01 +1.3201e+00 +2.8076e+00 -2.3240e+00 +4.8071e+00 -4.7615e+00 +1.6918e-01 +1.8332e+00
669 +6.215361820e+01 +6.215361820e+01 +4.521361820e+01 +4.521361820e+01 -2.6311e+00 -3.3243e+00 -2.6941e+00 +2.1120e+00 +3.0099e+00 -3.7365e+00 +4.8573e+00 -3.3042e+00 -4.1451e+00 -2.3744e+00 +4.0532e-01 -1.3913e+00 +4.8773e-01 -1.1559e+00 -6.5387e-01 -1.9870e+00 +2.7140e+00 +3.2571e+00 -1.3556e-01 +4.8084e+00
2560 +3.975558647e+01 +3.975558647e+01 +2.281558647e+01 +2.281558647e+01 +2.0030e+00 +3.5982e+00 -2.4900e+00 +4.2560e+00 +3.5119e+00 +1.6499e+00 +2.5705e+00 -2.7790e+00 -4.8229e-01 -3.8670e+00 +3.8322e+00 +1.2083e+00 -9.8805e-01 -2.0082e+00 +3.9740e+00 +4.7497e+00 +2.3242e+00 -3.1178e+00 +3.6792e+00 +8.6461e-01
14808 +2.302660224e+01 +2.302660224e+01 +6.086602236e+00 +6.086602236e+00 +3.7762e+00 +7.7451e-01 +1.0675e+00 +7.0638e-01 +2.3155e+00 -2.4854e+00 +1.7766e-01 -2.7790e+00 -4.8229e-01 -3.8670e+00 +3.8322e+00 +1.2083e+00 -9.8805e-01 -2.0082e+00 -1.8219e-01 +3.1880e+00 +4.6982e+00 +8.1753e-01 -3.5212e+00 +1.1848e+00
21565 +1.572552431e+01 +1.572552431e+01 -1.214475688e+00 -1.214475688e+00 +2.7151e+00 +3.6642e+00 -2.8985e+00 +1.0057e+00 +3.5083e+00 -1.7326e+00 +3.2826e+00 -1.9500e+00 -7.4840e-01 -2.3820e+00 +4.7915e+00 +1.2785e+00 -2.4233e+00 -3.0376e-01 +3.0821e+00 +3.5168e+00 +2.9385e+00 +6.0541e-01 +1.0324e-01 -1.4742e-01
39622 +9.835491826e+00 +9.835491826e+00 -7.104508174e+00 -7.104508174e+00 +2.0030e+00 +4.4941e+00 -2.4545e+00 +2.2211e+00 +4.0195e+00 -9.4457e-01 +1.2601e+00 -1.8112e+00 -8.8556e-01 -1.0648e+00 +3.5381e+00 +3.2163e-01 -2.4236e+00 -3.0376e-01 +3.0723e+00 +3.5656e+00 +4.1460e+00 -5.5888e-01 -2.0960e+00 +9.9314e-01
64245 +6.182330420e+00 +6.182330420e+00 -1.075766958e+01 -1.075766958e+01 +2.7151e+00 +3.6642e+00 -2.8985e+00 +2.8207e+00 +3.5119e+00 -1.1162e+00 +2.1142e+00 -3.4397e-01 -1.5419e-02 -3.5283e+00 +3.8370e+00 +8.8603e-01 -9.8805e-01 -1.0707e+00 +3.9740e+00 +3.5625e+00 +4.3133e+00 -9.7751e-01 -6.4092e-01 +1.9698e+00
93283 +3.798070993e+00 +3.798070993e+00 -1.314192901e+01 -1.314192901e+01 +1.9944e+00 +3.5982e+00 -2.7777e+00 +2.4173e+00 +2.4226e+00 -1.6711e+00 +2.5754e+00 -2.7790e+00 -1.2309e+00 -1.0648e+00 +3.8371e+00 +5.5425e-01 -3.5470e+00 -1.0454e+00 +3.0822e+00 +2.7581e+00 +4.1356e+00 -4.4159e-01 -5.6404e-01 +8.6522e-01
127756 +2.482914606e+00 +2.482914606e+00 -1.445708539e+01 -1.445708539e+01 +3.7768e+00 +2.5831e+00 -8.9008e-01 +1.1673e+00 +1.7435e+00 -2.0720e+00 +3.3541e+00 -2.3303e+00 -4.6243e-01 -1.7711e+00 +3.8322e+00 +3.2224e-01 -2.7372e+00 -1.3162e+00 +2.6866e+00 +3.5625e+00 +4.2036e+00 -4.4154e-01 +1.0263e-01 +1.8819e+00
164794 +1.571411271e+00 +1.571411271e+00 -1.536858873e+01 -1.536858873e+01 +3.7768e+00 +2.5836e+00 -8.9008e-01 +9.6540e-01 +1.7881e+00 -2.0720e+00 +3.3541e+00 -2.3303e+00 -4.4779e-01 -1.7711e+00 +3.8713e+00 +3.3141e-01 -3.0497e+00 -1.3050e+00 +2.9258e+00 +3.7217e+00 +4.1282e+00 -4.4089e-01 -2.2185e-03 +2.0557e+00
221176 +9.424867083e-01 +9.424867083e-01 -1.599751329e+01 -1.599751329e+01 +3.7719e+00 +2.5830e+00 -8.9008e-01 +1.0156e+00 +1.7436e+00 -2.1501e+00 +3.4001e+00 -1.9451e+00 -1.0675e-01 -2.1915e+00 +3.8321e+00 +2.8472e-02 -2.7762e+00 -1.3162e+00 +2.9260e+00 +3.5259e+00 +4.0545e+00 -5.5892e-01 -8.3220e-03 +1.9308e+00
306443 +6.289712406e-01 +6.289712406e-01 -1.631102876e+01 -1.631102876e+01 +3.7743e+00 +2.5841e+00 -9.3410e-01 +1.0057e+00 +1.7435e+00 -2.1501e+00 +3.4322e+00 -1.9499e+00 -1.0660e-01 -2.2287e+00 +3.8714e+00 +2.8491e-02 -2.7764e+00 -1.3137e+00 +2.9260e+00 +3.5461e+00 +4.1076e+00 -5.9722e-01 -8.3209e-03 +1.9308e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.124869069e+01 +9.124869069e+01 +1.100586907e+02 +1.100586907e+02 -1.2638e+00 -3.3497e+00 -1.5661e+00 -3.1388e+00 +1.0338e+00 -3.0519e+00 +3.8868e+00 +2.3716e-01 -3.5568e+00 +3.3053e+00 -1.9774e+00 -1.1343e+00 +1.1687e+00 +3.5448e+00 -1.9211e+00 +2.9028e+00 +2.6907e+00 -2.0878e+00 +2.1567e+00 -1.2895e+00
9 +6.020738505e+01 +6.020738505e+01 +7.901738505e+01 +7.901738505e+01 -4.7455e+00 -4.7037e+00 -1.5943e+00 -4.8714e+00 +4.2710e-01 +2.3934e+00 +3.2035e+00 -1.9225e+00 -6.4348e-01 +1.6742e+00 -4.6175e+00 -3.2407e-01 +4.6151e+00 +3.1037e+00 -3.7215e+00 +1.3928e+00 +6.2811e-01 +2.9900e-02 -5.5669e-01 +2.0061e+00
1261 +3.425400672e+01 +3.425400672e+01 +5.306400672e+01 +5.306400672e+01 +1.6349e+00 +1.6117e+00 +1.6823e+00 -2.9493e+00 +3.1018e+00 -3.7585e+00 -2.0457e+00 +1.8682e+00 -4.6013e+00 -5.1812e-01 -3.1662e+00 +1.9321e+00 +2.2393e+00 +1.6068e+00 +1.0744e+00 -2.5924e+00 -4.9498e+00 +3.9894e+00 -3.1424e+00 +1.5457e-01
12599 +2.362680885e+01 +2.362680885e+01 +4.243680885e+01 +4.243680885e+01 +1.4652e+00 -1.5802e+00 +8.9363e-02 -3.5730e+00 -1.2990e+00 -4.7872e+00 +2.0940e+00 +1.6526e+00 +4.3223e+00 +3.9949e+00 -2.9980e+00 -2.8823e+00 +4.9790e+00 -2.8521e+00 +3.1235e-02 -1.6787e+00 -3.5988e+00 +1.5125e+00 -2.3236e+00 +4.8313e+00
29190 +1.247879009e+01 +1.247879009e+01 +3.128879009e+01 +3.128879009e+01 +1.9215e-01 -1.8653e-01 -3.4283e-01 -1.7160e+00 +2.2930e+00 -2.3217e+00 +2.7684e-01 +5.5613e-01 +2.0444e-01 +2.4511e+00 -2.2680e+00 +4.8474e+00 +4.9954e+00 -1.9677e+00 -2.9013e+00 -2.9727e+00 -3.5367e+00 +2.2635e+00 -3.8717e-01 +1.7976e+00
38663 +9.845209602e+00 +9.845209602e+00 +2.865520960e+01 +2.865520960e+01 +1.9215e-01 -1.8897e-01 -5.0030e-01 -1.7160e+00 +2.2930e+00 -4.2577e+00 -8.2669e-01 -1.7185e+00 +1.6538e-01 +2.4902e+00 -2.2677e+00 +2.9574e+00 +3.6284e+00 -1.0339e+00 -3.0938e-01 -1.4303e+00 -3.5367e+00 +2.2647e+00 -3.8717e-01 +1.7195e+00
67379 +6.302407184e+00 +6.302407184e+00 +2.511240718e+01 +2.511240718e+01 +1.5122e+00 +1.7039e+00 -1.6290e+00 -8.0051e-01 +8.6671e-01 -3.8312e+00 +7.7920e-01 +9.2077e-01 +1.1336e+00 +1.7214e+00 -4.0509e+00 +2.6776e+00 +4.0827e+00 -4.6343e-01 -3.3445e+00 -2.5720e+00 -2.1735e+00 +1.9788e+00 +3.1509e-01 +2.7696e+00
98329 +3.902333102e+00 +3.902333102e+00 +2.271233310e+01 +2.271233310e+01 +1.9211e-01 +1.7039e+00 -1.5742e+00 -1.2550e+00 +9.3721e-01 -2.9400e+00 +7.7920e-01 +7.4497e-01 +1.6689e+00 +2.3668e+00 -3.7301e+00 +3.5103e+00 +4.0876e+00 -4.6343e-01 -2.7962e+00 -2.7489e+00 -2.1735e+00 +2.7685e+00 +3.1509e-01 +2.1212e+00
