% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.084315959e+02 +1.084315959e+02 +9.149159595e+01 +9.149159595e+01 +1.5801e+00 +1.5572e-01 +8.3316e-01 +6.0002e-01 -8.9127e-01 -3.0673e-01 +2.6233e+00 +4.6208e+00 -1.8665e+00 +3.7817e+00 -3.1642e+00 +3.4900e+00 +1.9817e+00 -7.9463e-01 -3.0931e+00 +2.5484e+00 +1.9766e+00 -3.2783e-01 +6.6864e-01 -2.5599e+00
3 +3.538443063e+01 +3.538443063e+01 +1.844443063e+01 +1.844443063e+01 +1.5768e+00 +4.8444e+00 +3.1975e-01 -2.6463e+00 +1.6062e+00 +2.1788e+00 +1.1972e+00 +2.5318e+00 +3.0468e+00 -4.0901e-01 +7.0580e-01 +1.4385e+00 +4.0055e+00 -2.7278e+00 -3.4081e+00 +3.7194e+00 +4.7068e+00 -4.7219e+00 +2.1652e+00 +2.6597e+00
7 +2.471568176e+01 +2.471568176e+01 +7.775681762e+00 +7.775681762e+00 -4.1883e+00 -1.3068e+00 -3.9358e+00 +1.3995e+00 +1.4351e+00 +3.9061e+00 +3.2838e+00 +3.9776e+00 -5.2676e-01 -3.4283e+00 +2.9946e-01 +1.4565e+00 +4.9184e+00 +1.6484e+00 +9.4855e-01 +1.9376e+00 +2.5711e+00 +3.0602e+00 -1.0830e+00 -9.8563e-01
77 +1.402329219e+01 +1.402329219e+01 -2.916707813e+00 -2.916707813e+00 +3.2793e-01 +1.6066e+00 -3.6872e+00 +2.2417e+00 +1.0041e-01 -1.1460e+00 +3.8321e+00 -3.6630e+00 +1.7917e+00 +8.8680e-01 +2.3605e-02 +3.5628e+00 -4.4387e+00 -1.9131e+00 +2.3558e-01 +5.9857e-01 +6.3796e-01 +1.3322e+00 +2.1211e+00 +1.9099e+00
4338 +9.550936236e+00 +9.550936236e+00 -7.389063764e+00 -7.389063764e+00 +1.7081e+00 +1.6965e+00 -3.5663e+00 -3.4335e+00 +2.6611e+00 +9.5780e-02 +3.8286e+00 -1.0386e+00 -3.1083e+00 -3.2252e+00 +3.2583e+00 -1.0646e+00 -4.4385e+00 -2.7594e+00 +2.3661e+00 +5.2418e-01 +2.0218e+00 -3.4287e-01 -2.8394e+00 +4.1724e+00
17912 +6.197712610e+00 +6.197712610e+00 -1.074228739e+01 -1.074228739e+01 +2.4390e+00 +9.0061e-01 -1.4850e+00 +1.2058e-01 +1.6076e+00 +1.5496e+00 +1.5843e+00 -4.8793e+00 -5.8888e-01 -4.7426e+00 +2.2155e+00 +7.6465e-01 -3.8840e+00 -2.8520e+00 +1.2788e-01 +2.8465e+00 +3.9082e+00 -8.8204e-01 +1.4198e+00 +1.8700e+00
36066 +3.857603533e+00 +3.857603533e+00 -1.308239647e+01 -1.308239647e+01 +1.5813e+00 +2.7719e+00 -3.0953e-01 +1.9502e+00 +2.1280e+00 +3.1475e-01 +2.0258e+00 -3.0341e+00 +2.4983e-01 -5.3331e-01 +4.9487e+00 -8.2040e-01 -3.4420e+00 -3.6888e+00 +1.3423e+00 +3.3149e+00 +4.7737e+00 +1.2189e+00 +1.3411e+00 +1.2845e-01
52894 +2.243163602e+00 +2.243163602e+00 -1.469683640e+01 -1.469683640e+01 +4.1915e+00 +2.7719e+00 -1.3073e+00 +1.4171e+00 +2.0644e+00 -1.6946e+00 +2.5365e+00 -9.9131e-01 -1.5273e+00 -1.3311e+00 +3.6558e+00 +1.3942e+00 -2.5822e+00 -1.4055e+00 +2.0872e+00 +2.4642e+00 +4.3444e+00 -1.4655e+00 +7.1750e-01 +2.6280e+00
71031 +1.497957252e+00 +1.497957252e+00 -1.544204275e+01 -1.544204275e+01 +4.0816e+00 +2.4905e+00 -1.3073e+00 +1.4171e+00 +2.0644e+00 -1.6946e+00 +4.2106e+00 -1.7983e+00 -2.1645e-01 -2.0368e+00 +4.1997e+00 -7.4391e-01 -2.7011e+00 -2.0424e+00 +2.8355e+00 +2.3604e+00 +4.6018e+00 -9.9739e-01 +1.9064e-01 +3.0605e+00
89674 +9.932746759e-01 +9.932746759e-01 -1.594672532e+01 -1.594672532e+01 +3.0245e+00 +1.9489e+00 -4.6048e-01 +1.3304e+00 +1.3105e+00 -2.2371e+00 +3.6758e+00 -2.2646e+00 -8.0548e-01 -1.8869e+00 +4.1997e+00 -1.0174e+00 -3.8866e+00 -1.4055e+00 +2.8355e+00 +2.3799e+00 +3.9137e+00 +2.5566e-01 +5.5976e-01 +1.2329e+00
113707 +6.291347229e-01 +6.291347229e-01 -1.631086528e+01 -1.631086528e+01 +3.5807e+00 +2.4905e+00 -1.6198e+00 +1.4171e+00 +1.4394e+00 -1.6946e+00 +3.6856e+00 -2.3818e+00 -2.4225e-02 -1.9260e+00 +4.1997e+00 -1.1993e-01 -2.5822e+00 -1.4055e+00 +2.7622e+00 +2.5991e+00 +3.6595e+00 -3.4287e-01 +2.4726e-01 +2.0809e+00
142708 +3.668961900e-01 +3.668961900e-01 -1.657310381e+01 -1.657310381e+01 +3.5807e+00 +2.4905e+00 -1.6198e+00 +1.4171e+00 +1.4394e+00 -1.6946e+00 +3.6856e+00 -2.3818e+00 -1.8048e-01 -1.9260e+00 +3.8873e+00 -1.1993e-01 -2.6603e+00 -1.4055e+00 +2.8355e+00 +2.9273e+00 +3.9136e+00 -6.5817e-01 +2.6870e-01 +2.0696e+00
164347 +2.282082795e-01 +2.282082795e-01 -1.671179172e+01 -1.671179172e+01 +3.7691e+00 +2.4905e+00 -1.3073e+00 +1.4171e+00 +1.4394e+00 -1.7141e+00 +3.6856e+00 -2.3818e+00 -2.1639e-01 -1.9260e+00 +3.8872e+00 -1.1993e-01 -2.5871e+00 -1.4052e+00 +2.7622e+00 +3.0836e+00 +3.9143e+00 -3.4287e-01 +2.5909e-01 +2.1657e+00
272405 +1.581597486e-01 +1.581597486e-01 -1.678184025e+01 -1.678184025e+01 +3.7691e+00 +2.4966e+00 -1.3062e+00 +1.4171e+00 +1.4394e+00 -1.6970e+00 +3.6758e+00 -2.3818e+00 -1.8048e-01 -1.9455e+00 +3.8966e+00 -1.1993e-01 -2.6213e+00 -1.4006e+00 +2.7427e+00 +3.0836e+00 +3.9143e+00 -3.4531e-01 +2.4725e-01 +2.1853e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.325481715e+01 +7.325481715e+01 +9.206481715e+01 +9.206481715e+01 -4.7393e+00 +1.9638e+00 -6.5433e-01 +3.7924e+00 -1.8191e+00 -2.4836e+00 +1.1481e+00 -3.6807e+00 +2.5725e+00 -2.2386e+00 -3.5469e+00 +4.3005e+00 -4.1369e+00 +2.9591e-01 +4.8936e+00 -8.8358e-01 -2.0236e+00 +3.0636e+00 +2.5156e+00 -2.9491e+00
2 +5.823112838e+01 +5.823112838e+01 +7.704112838e+01 +7.704112838e+01 -5.2575e-02 +4.9741e-01 -3.7833e+00 +1.9872e+00 -2.9017e+00 -2.0646e+00 -3.4086e+00 +2.0602e+00 +3.9484e+00 +2.4475e+00 -1.4582e+00 -4.5984e+00 +2.1149e-02 -4.9911e-01 +2.9419e+00 +1.2401e+00 +2.9640e+00 -4.7771e+00 -1.4597e-01 +3.9639e+00
5 +2.474194862e+01 +2.474194862e+01 +4.355194862e+01 +4.355194862e+01 -2.2893e+00 +3.4396e+00 +3.4991e+00 -3.4955e+00 +2.1570e+00 -6.1279e-01 +5.9557e-02 +4.0297e+00 +1.9418e+00 +3.5841e+00 +4.9050e+00 -2.3786e+00 -3.3887e+00 -5.1021e-01 +3.5957e-01 -2.5325e+00 -2.4372e+00 -2.9622e+00 +2.4342e+00 +4.6414e+00
9 +1.552007070e+01 +1.552007070e+01 +3.433007070e+01 +3.433007070e+01 -3.5239e-01 -4.6530e-01 +4.7003e+00 +1.4778e+00 -2.5467e+00 -6.0703e-01 +3.2033e+00 -2.6701e+00 +2.6977e+00 +2.3309e+00 -1.1513e+00 +3.7521e+00 +2.8501e-01 -2.1986e+00 -3.7408e+00 -2.1077e+00 +3.9733e+00 -2.2625e+00 -9.0488e-01 +2.3691e+00
2097 +9.703327347e+00 +9.703327347e+00 +2.851332735e+01 +2.851332735e+01 -2.2868e+00 -4.8990e+00 +1.7696e+00 -1.5679e+00 +4.6269e+00 +3.5653e+00 +2.5309e+00 +2.2712e+00 +1.8508e+00 +2.1102e+00 -3.1811e+00 +7.0078e-01 +4.2912e+00 +2.4147e-01 -1.1025e+00 -5.4872e-01 -4.6845e+00 +2.0721e+00 -3.1306e+00 +1.5458e+00
14767 +6.305812296e+00 +6.305812296e+00 +2.511581230e+01 +2.511581230e+01 -1.1508e+00 -1.0662e+00 -4.9044e-01 -2.8892e+00 +1.6592e+00 -1.7143e+00 +2.4859e+00 -2.0028e+00 +2.0489e+00 +2.5566e+00 -2.2239e+00 +1.2993e+00 +4.2912e+00 +2.4147e-01 -1.1025e+00 -5.4872e-01 -4.6845e+00 +2.0721e+00 -3.1306e+00 +1.5464e+00
32473 +3.965851245e+00 +3.965851245e+00 +2.277585124e+01 +2.277585124e+01 -1.0548e+00 +3.1061e+00 -1.1938e+00 +2.3286e+00 +1.4291e+00 -4.0260e+00 +1.0798e+00 +2.5660e+00 +1.2474e+00 +2.9570e+00 -3.3716e+00 +4.4188e+00 +3.0609e+00 +6.9480e-01 -3.2905e+00 -1.9454e+00 -1.8809e+00 +4.2016e+00 +5.6159e-01 +2.3230e-01
50949 +2.220096109e+00 +2.220096109e+00 +2.103009611e+01 +2.103009611e+01 -2.3199e+00 +2.3674e+00 +4.1469e-02 -1.6850e+00 +7.8484e-01 -2.8325e+00 +2.3594e-01 -7.5744e-01 +8.3540e-01 +2.1102e+00 -3.1811e+00 +3.5833e+00 +4.1154e+00 +2.4147e-01 -1.1025e+00 -5.4872e-01 -1.6298e+00 +4.0720e+00 -6.2610e-01 +1.2784e+00
79565 +1.485516765e+00 +1.485516765e+00 +2.029551676e+01 +2.029551676e+01 +2.9768e-01 +2.3674e+00 -1.0224e+00 -8.8125e-01 +1.8656e+00 -3.3091e+00 +9.8345e-01 +1.5802e+00 +9.1050e-01 +2.2014e+00 -3.4726e+00 +3.5930e+00 +3.1516e+00 -8.9687e-01 -1.5499e+00 -2.6009e+00 -2.1790e+00 +3.4007e+00 +7.9264e-02 +8.9474e-01
99129 +9.946766500e-01 +9.946766500e-01 +1.980467665e+01 +1.980467665e+01 +1.7015e-01 +1.8687e+00 -9.4430e-01 -7.2500e-01 +1.8656e+00 -3.3873e+00 +2.2754e-01 +1.0383e+00 +7.5463e-01 +3.0924e+00 -3.4726e+00 +3.5833e+00 +3.6223e+00 -7.1043e-01 -2.4058e+00 -3.1161e+00 -2.1790e+00 +3.4007e+00 +7.0426e-01 +8.9474e-01
128027 +6.017623517e-01 +6.017623517e-01 +1.941176235e+01 +1.941176235e+01 +2.4827e-01 +1.8540e+00 -1.0322e+00 -1.8717e-01 +1.0973e+00 -3.2752e+00 +6.7853e-01 +4.5240e-01 +1.1791e+00 +2.2405e+00 -3.4726e+00 +3.5470e+00 +3.2317e+00 -4.7020e-01 -2.7521e+00 -3.0511e+00 -2.5031e+00 +3.0657e+00 +7.9245e-02 +1.6573e+00
169922 +3.830789216e-01 +3.830789216e-01 +1.919307892e+01 +1.919307892e+01 +1.3108e-01 +1.8687e+00 -1.0224e+00 -5.6875e-01 +1.3143e+00 -3.2361e+00 +6.8341e-01 +7.2584e-01 +1.1779e+00 +2.4601e+00 -3.4750e+00 +3.5833e+00 +3.4659e+00 -1.7204e-01 -2.7472e+00 -3.0022e+00 -2.2609e+00 +3.0608e+00 +7.9111e-02 +1.2346e+00
210360 +2.299356682e-01 +2.299356682e-01 +1.903993567e+01 +1.903993567e+01 +1.1302e-02 +1.8712e+00 -1.0224e+00 -4.9061e-01 +1.3118e+00 -3.2362e+00 +6.5142e-01 +7.0920e-01 +1.0216e+00 +2.4601e+00 -3.4750e+00 +3.5930e+00 +3.4659e+00 -1.7204e-01 -2.7472e+00 -3.0019e+00 -2.2917e+00 +3.0853e+00 +7.9111e-02 +1.3436e+00
311725 +1.573905422e-01 +1.573905422e-01 +1.896739054e+01 +1.896739054e+01 +1.1302e-02 +1.8712e+00 -1.0249e+00 -4.9061e-01 +1.3558e+00 -3.2337e+00 +6.5142e-01 +7.1042e-01 +1.0607e+00 +2.4600e+00 -3.4737e+00 +3.5906e+00 +3.4659e+00 -1.6838e-01 -2.7528e+00 -2.9925e+00 -2.2914e+00 +3.1455e+00 +7.8506e-02 +1.3436e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
