% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.196905894e+03 +1.196905894e+03 +2.196905894e+03 +1.000000000e+03 +3.5286e+00 -2.3380e+00 -2.1194e+00 +8.8411e-01 +2.9827e+00 +1.9190e+00 -7.9666e-02 +3.0380e+00 +5.3438e-01 +1.0057e+00 -2.6003e+00 +1.5918e+00 +1.0112e+00 -2.2743e+00 +1.7560e+00 -4.0245e+00 -2.2193e+00 -1.8101e+00 +4.3201e+00 -2.8111e+00
398 +5.569019936e+02 +5.569019936e+02 +1.556901994e+03 +1.000000000e+03 -1.4573e+00 +4.9815e+00 -1.0129e+00 +1.1335e+00 -3.8001e-01 -3.6668e+00 -3.1467e+00 +2.7556e+00 -2.5882e+00 -7.8314e-01 -1.8398e+00 -4.6522e+00 -7.7963e-01 +1.2710e-01 -5.2771e-01 +2.0034e+00 +2.6737e+00 +8.9136e-01 -3.0851e+00 +1.9841e+00
798 +3.389015115e+02 +3.389015115e+02 +1.338901511e+03 +1.000000000e+03 -1.4573e+00 +2.2473e+00 +3.0162e+00 +3.8525e+00 -4.7894e-01 -2.4849e+00 -3.1467e+00 +2.7556e+00 -2.5882e+00 -7.8314e-01 -1.8398e+00 +1.1700e+00 -1.2614e+00 -2.0270e-01 +1.3136e+00 +2.0034e+00 +2.6737e+00 +8.9136e-01 -3.0851e+00 +1.9841e+00
1592 +2.030430662e+02 +2.030430662e+02 +1.203043066e+03 +1.000000000e+03 -1.4573e+00 +3.0017e+00 +1.8993e+00 +1.1335e+00 +3.2280e+00 -3.6668e+00 -3.1467e+00 +2.7556e+00 -2.5882e+00 -4.4309e-01 -3.4632e+00 -9.4919e-01 -1.2614e+00 -2.0270e-01 +1.3195e+00 +2.0034e+00 +2.6737e+00 +8.9136e-01 -3.0851e+00 +1.9841e+00
5164 +1.577788833e+02 +1.577788833e+02 +1.157778883e+03 +1.000000000e+03 -1.4573e+00 +2.9165e+00 +1.8993e+00 +1.1335e+00 +3.2280e+00 -3.6668e+00 -3.1724e+00 +2.7556e+00 -2.5882e+00 -4.1743e-01 -3.4632e+00 -9.4919e-01 -1.2614e+00 -2.0270e-01 +1.5271e+00 +2.0374e+00 +2.6737e+00 +9.6119e-01 -2.8829e+00 +2.2783e+00
44668 +9.900462456e+01 +9.900462456e+01 +1.099004625e+03 +1.000000000e+03 -2.9532e+00 +3.1992e+00 +2.9570e+00 +4.5713e+00 +2.0133e+00 -3.0237e+00 -3.2421e+00 +1.9254e+00 -4.1778e+00 -4.3741e-01 -3.6135e+00 -1.0528e+00 -2.6116e+00 -1.1409e+00 +1.4941e+00 +1.4915e+00 +4.8509e+00 +8.1409e-01 -3.2393e+00 -1.1050e+00
270329 +6.262008524e+01 +6.262008524e+01 +1.062620085e+03 +1.000000000e+03 -2.8158e+00 +3.1351e+00 +2.9374e+00 +4.6180e+00 +2.2782e+00 -3.1301e+00 -3.2582e+00 +1.9110e+00 -4.2642e+00 -4.1605e-01 -3.4921e+00 -1.0236e+00 -2.5557e+00 -1.3427e+00 +1.6769e+00 +1.3812e+00 +4.7946e+00 +6.9756e-01 -3.2234e+00 -1.1045e+00
% function evaluation | noise-free fitness - Fopt (7.003000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.406251610e+03 +3.406251610e+03 +3.476281610e+03 +7.003000000e+01 +7.8413e-01 -3.9243e+00 +4.6485e+00 +3.7014e+00 +3.5695e+00 -4.2103e-01 -3.6210e+00 -1.8163e-01 -2.3303e+00 -4.3562e+00 -2.1892e-01 +4.6113e+00 +3.1354e+00 -2.1291e+00 +3.3310e+00 -7.0426e-01 -5.9455e-01 +3.8116e+00 +2.0222e+00 -6.9098e-01
389 +5.849802459e+02 +5.849802459e+02 +6.550102459e+02 +7.003000000e+01 -1.7913e+00 -3.9007e+00 -4.1743e+00 +4.5208e+00 +2.2279e+00 -3.0491e+00 -1.5138e+00 +5.8620e-01 -4.2616e+00 -1.6941e+00 +4.2274e+00 -6.8437e-01 +2.0018e+00 -3.7452e+00 -7.4208e-01 -1.2734e-01 +4.3075e+00 +3.5110e+00 +7.2097e-01 +8.0734e-02
949 +3.370251549e+02 +3.370251549e+02 +4.070551549e+02 +7.003000000e+01 -2.3559e+00 -5.3451e-02 -4.4491e+00 +1.1163e+00 -3.6798e-01 -3.9735e+00 +1.5249e-01 -7.4520e-01 -4.6917e+00 +1.6027e+00 -6.2098e-01 -1.0966e+00 +2.4378e+00 -3.4816e+00 -1.5570e+00 -2.2492e+00 +1.8397e+00 +5.6858e-01 -1.5419e+00 -1.3838e+00
1142 +2.432819832e+02 +2.432819832e+02 +3.133119832e+02 +7.003000000e+01 +5.6482e-01 -2.6511e+00 -4.4491e+00 +1.1163e+00 -3.6798e-01 -3.9735e+00 +1.5249e-01 -7.4520e-01 -4.6917e+00 +1.6931e+00 -6.2098e-01 -9.1281e-01 +2.4378e+00 -3.4816e+00 -7.4208e-01 -3.0520e+00 +1.8397e+00 +4.0087e+00 +3.1396e-01 +1.6061e+00
2264 +1.364104214e+02 +1.364104214e+02 +2.064404214e+02 +7.003000000e+01 +5.6482e-01 -3.9007e+00 -4.1743e+00 +1.1163e+00 -3.6798e-01 -4.0669e+00 +1.5249e-01 +5.8620e-01 -4.2616e+00 +1.6931e+00 -6.2098e-01 -9.1281e-01 +2.4378e+00 -3.4816e+00 -7.4208e-01 -2.7969e+00 +1.8755e+00 +4.0087e+00 +1.3813e-01 +1.6061e+00
7009 +9.953896503e+01 +9.953896503e+01 +1.695689650e+02 +7.003000000e+01 +5.6482e-01 -4.0259e+00 -4.1743e+00 +1.1163e+00 -4.3289e-01 -4.1403e+00 +9.7829e-02 +5.8620e-01 -4.2616e+00 +1.6140e+00 -4.5628e-01 -9.1281e-01 +2.2518e+00 -3.4403e+00 -7.7467e-01 -2.7969e+00 +1.8755e+00 +3.9628e+00 +1.3813e-01 +1.5411e+00
28833 +6.230171406e+01 +6.230171406e+01 +1.323317141e+02 +7.003000000e+01 -1.7337e+00 -1.5099e+00 -2.9363e+00 +8.2160e-01 -1.5237e+00 -4.4593e+00 +1.6992e-01 +2.5645e+00 -2.1375e+00 -2.5642e-01 -1.0280e+00 -1.3529e+00 +2.7147e+00 -3.0694e+00 -1.2907e+00 -3.2830e+00 +9.4686e-01 +3.5873e+00 -3.1516e+00 +6.5776e-01
% function evaluation | noise-free fitness - Fopt (-4.822000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.006053214e+03 +4.006053214e+03 +3.957833214e+03 -4.822000000e+01 +2.7265e+00 -2.8190e+00 -5.0964e-01 +9.0252e-01 +2.7354e+00 -4.3879e+00 +3.4194e+00 +2.9836e-01 +4.1500e+00 +3.5371e-01 +2.3922e+00 +1.0044e+00 -3.0677e+00 -2.0328e+00 -3.7992e+00 -3.7226e+00 +2.0259e+00 -1.8089e+00 +3.6286e+00 -3.9987e+00
