% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.036215505e+03 +3.036215505e+03 +3.066185505e+03 +2.997000000e+01 +1.9193e+00 -3.6097e+00 -3.7190e+00 -4.3196e+00 +1.9705e+00 +1.9352e+00 -2.7348e+00 +3.9234e+00 -2.1887e+00 +9.9343e-01 +1.4789e+00 +2.3532e+00 +8.3043e-02 +4.1800e+00 -4.8642e+00 +8.8269e-01 -3.2874e+00 +4.6532e+00 +3.0787e+00 +3.6695e+00
381 +1.881575315e+03 +1.881575315e+03 +1.911545315e+03 +2.997000000e+01 +1.9522e-01 -2.2564e+00 +1.9816e+00 +1.4358e+00 -8.2928e-01 -5.5777e-01 -1.7782e+00 -1.8750e+00 +1.6171e+00 +2.7391e+00 -8.2506e-01 +9.3101e-01 +4.3001e+00 -4.9152e-02 -2.8272e-02 +3.0330e+00 -3.2518e+00 -2.4286e+00 +2.9050e+00 -4.1407e+00
568 +1.400436016e+03 +1.400436016e+03 +1.430406016e+03 +2.997000000e+01 +1.8012e+00 -4.3098e+00 -2.8537e+00 -2.2976e+00 -8.2928e-01 -5.5777e-01 -1.7782e+00 -1.8750e+00 +1.6171e+00 +3.7307e-01 +8.1724e-02 -9.1934e-01 +4.9140e+00 +4.5106e+00 -2.9456e+00 +2.9580e+00 +1.2833e+00 -6.9892e-01 +2.6876e-01 -6.1560e-01
939 +9.662901714e+02 +9.662901714e+02 +9.962601714e+02 +2.997000000e+01 +1.8012e+00 -4.3098e+00 -2.8537e+00 -2.2976e+00 +3.2053e+00 +1.6358e+00 -3.2022e+00 -1.8750e+00 +1.6171e+00 +3.7307e-01 +8.1724e-02 +9.3101e-01 +4.3001e+00 -4.9152e-02 -2.8272e-02 +3.0330e+00 -3.2518e+00 -2.4286e+00 +2.9050e+00 -6.1560e-01
2614 +6.280324516e+02 +6.280324516e+02 +6.580024516e+02 +2.997000000e+01 +1.8012e+00 -2.3719e+00 -3.1946e+00 -2.2976e+00 +3.4399e+00 +2.2930e+00 -3.2972e+00 -1.9639e+00 +1.6171e+00 -1.6355e+00 +1.5555e+00 -1.1047e+00 +4.3001e+00 +4.7114e-01 -2.8272e-02 +3.0330e+00 -3.2518e+00 -2.0831e+00 +1.7729e+00 -1.3527e+00
4081 +3.545068422e+02 +3.545068422e+02 +3.844768422e+02 +2.997000000e+01 +1.0964e+00 -2.3719e+00 -3.1946e+00 -2.2976e+00 +3.2507e+00 +2.7061e+00 -3.2972e+00 -2.0738e+00 +1.6059e+00 -1.6355e+00 +1.5555e+00 -1.1047e+00 +4.1968e+00 +1.9047e+00 -6.4247e-01 +2.4260e+00 -2.6275e+00 -1.4817e+00 +1.7729e+00 -2.4438e+00
5527 +2.412359023e+02 +2.412359023e+02 +2.712059023e+02 +2.997000000e+01 +1.0964e+00 -1.9585e+00 -3.4687e+00 -1.9279e+00 +3.2507e+00 +2.7061e+00 -3.6758e+00 -2.7729e+00 +1.1372e+00 -1.6355e+00 +1.5555e+00 -1.1047e+00 +4.1968e+00 +2.5448e+00 -9.7305e-01 +2.7127e+00 -2.6275e+00 -8.6145e-01 +1.7729e+00 -2.4438e+00
6438 +1.410914113e+02 +1.410914113e+02 +1.710614113e+02 +2.997000000e+01 +7.6738e-01 -1.9585e+00 -3.3096e+00 -1.9279e+00 +3.2053e+00 +3.1022e+00 -3.7826e+00 -2.9293e+00 +1.1372e+00 -1.7669e+00 +1.5555e+00 -1.4549e+00 +4.3001e+00 +2.5448e+00 -1.2644e+00 +2.7127e+00 -2.6275e+00 -8.6145e-01 +1.7729e+00 -2.9593e+00
7730 +8.927733044e+01 +8.927733044e+01 +1.192473304e+02 +2.997000000e+01 +7.6738e-01 -1.9585e+00 -3.6901e+00 -1.9279e+00 +3.2053e+00 +3.2876e+00 -3.7826e+00 -2.7729e+00 +1.1372e+00 -1.8902e+00 +1.5555e+00 -1.6577e+00 +4.3001e+00 +2.5448e+00 -1.4260e+00 +2.7127e+00 -2.6275e+00 -8.6145e-01 +1.4803e+00 -3.1674e+00
9024 +5.944870722e+01 +5.944870722e+01 +8.941870722e+01 +2.997000000e+01 +7.6738e-01 -1.8607e+00 -3.6901e+00 -1.9279e+00 +3.0529e+00 +3.3832e+00 -3.7826e+00 -2.7729e+00 +1.1372e+00 -1.7669e+00 +1.3826e+00 -1.7218e+00 +4.2339e+00 +2.5448e+00 -1.4260e+00 +2.7127e+00 -2.6275e+00 -1.1073e+00 +1.4803e+00 -3.1674e+00
