% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.522590632e+07 +3.522590632e+07 +3.522569644e+07 +3.522569644e+07 -2.8356e+00 -4.1475e+00 -3.9001e-01 +2.9688e+00 -4.7718e+00 -3.6085e+00 -4.3197e+00 +2.0523e+00 -4.6474e+00 +1.5140e+00 +3.7626e+00 -2.2377e+00 +4.1941e+00 -2.4697e+00 -9.7696e-01 -3.1443e+00 +3.2662e+00 +4.6377e+00 -4.0887e+00 -3.6132e+00
2 +1.991110880e+07 +1.991110880e+07 +1.991089892e+07 +1.991089892e+07 -2.7783e+00 +4.2118e+00 -3.5237e+00 +5.3874e-01 -1.3989e+00 -4.5765e+00 -4.5743e+00 -1.3248e+00 +1.8424e+00 +3.7286e+00 -1.1363e+00 -3.4927e+00 +4.6461e+00 +3.8202e+00 -1.9619e+00 -1.5338e+00 +1.4454e+00 +1.0195e+00 +2.3733e+00 -3.9617e-01
8 +6.188399406e+06 +6.188399406e+06 +6.188189526e+06 +6.188189526e+06 +3.6870e+00 +8.7065e-01 -9.5612e-01 -3.6425e+00 -1.1151e+00 -7.8666e-01 -4.7901e+00 +1.7535e+00 +4.3480e+00 +4.9658e-01 -3.9406e+00 -4.8060e+00 -1.8852e+00 -6.7305e-01 +1.2135e+00 -1.2506e+00 -5.5854e-01 +2.9765e+00 +7.2722e-01 +1.8176e+00
248 +2.512766230e+06 +2.512766230e+06 +2.512556350e+06 +2.512556350e+06 +1.6761e+00 -8.0234e-01 -1.3752e+00 -4.5201e+00 +2.9409e+00 -3.6585e+00 -2.6188e+00 +4.3653e+00 -1.4134e+00 -2.3631e+00 -2.1564e+00 +3.4169e+00 -2.3802e+00 -7.7483e-01 -2.1467e+00 -9.8769e-01 -3.9371e+00 +1.7478e+00 -3.5616e+00 +2.5722e+00
254 +1.935999710e+06 +1.935999710e+06 +1.935789830e+06 +1.935789830e+06 +1.3899e+00 -1.5432e+00 -1.0691e+00 -1.6944e+00 -1.0611e+00 +1.1952e+00 -3.6187e+00 -1.5530e+00 -5.4574e-01 +1.6023e+00 +8.8293e-01 +1.6784e+00 +2.6732e+00 +4.1977e-01 -1.8732e+00 -4.4795e+00 -2.0193e+00 +2.4878e+00 -2.4437e+00 +7.1899e-01
291 +1.484425164e+06 +1.484425164e+06 +1.484215284e+06 +1.484215284e+06 -1.7185e+00 -1.6757e+00 -2.7444e+00 +6.3139e-01 +1.0203e-02 -7.4273e-01 +1.5392e+00 -2.0600e-01 -2.1561e+00 +1.0816e+00 -6.4546e-01 +2.5008e-01 +3.3133e+00 +1.4611e+00 +3.5732e+00 -2.7549e+00 -4.6704e+00 +3.7787e+00 -2.6356e+00 +2.3292e+00
3530 +8.029790529e+05 +8.029790529e+05 +8.027691729e+05 +8.027691729e+05 -4.9890e+00 +1.3473e+00 +3.2173e+00 -1.1021e+00 +2.9852e-01 +1.9900e+00 -1.6424e+00 -3.3930e+00 +4.5312e-01 +1.4771e+00 +5.2931e-02 +1.0263e+00 -9.9799e-01 +1.4188e+00 -3.1284e-01 -1.5355e+00 -2.9187e+00 +2.7605e+00 -2.9401e+00 +2.1051e+00
8386 +6.250523218e+05 +6.250523218e+05 +6.248424418e+05 +6.248424418e+05 -4.8733e+00 +4.4174e+00 +1.5015e-01 -3.3797e+00 -6.9857e-01 -3.0110e+00 +7.5526e-01 -4.7660e+00 +4.8343e+00 +5.4921e-01 +1.2024e+00 +2.3336e-01 +2.9742e+00 -3.1524e+00 -1.4041e+00 -1.7976e+00 -3.0728e+00 +3.2371e+00 -1.5454e+00 +2.1624e+00
10920 +3.356489160e+05 +3.356489160e+05 +3.354390360e+05 +3.354390360e+05 -1.8759e+00 -7.1929e-01 -3.7880e+00 -3.3797e+00 -3.1986e+00 -3.0110e+00 +1.3026e-01 -4.7660e+00 +4.8245e+00 -4.2581e+00 +1.2024e+00 +2.3336e-01 +2.9742e+00 -3.1524e+00 -1.5603e+00 -1.7976e+00 -3.0728e+00 +3.2371e+00 -2.4346e+00 +1.7875e+00
21455 +2.313497677e+05 +2.313497677e+05 +2.311398877e+05 +2.311398877e+05 -1.8759e+00 -7.1929e-01 -3.7880e+00 -3.3797e+00 -3.1986e+00 -3.0110e+00 +7.5526e-01 -4.7660e+00 +4.8245e+00 -4.2581e+00 +1.2024e+00 +2.3336e-01 +3.2372e+00 +1.8263e+00 -2.0511e+00 -4.3271e+00 -3.0728e+00 +3.2371e+00 -2.3564e+00 +1.7887e+00
