% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.040779862e+05 +1.040779862e+05 +1.041542562e+05 +7.627000000e+01 -1.3643e-01 -4.9677e+00 -3.0655e+00 +4.3615e+00 -1.7267e+00 -2.5574e-01 -2.2679e-01 +1.0325e+00 -1.1072e+00 -4.3437e+00 -2.9032e+00 +4.2799e-01 -1.7549e-01 -1.3207e+00 -4.3783e+00 -3.0090e+00 +6.5393e-01 +3.9752e+00 -3.5263e+00 -3.7702e-01
196 +3.367986694e+02 +3.367986694e+02 +4.130686694e+02 +7.627000000e+01 +4.4444e+00 +1.2506e+00 -4.7858e+00 -6.5737e-01 +2.4152e-01 -2.1064e+00 -4.7987e-02 +4.9041e+00 +6.1482e-01 +4.7264e+00 -1.8048e+00 -2.7907e-01 -4.8274e+00 +7.3741e-01 -3.6694e+00 -1.1804e+00 -3.0031e+00 +1.4523e+00 +9.6462e-01 -3.0209e+00
795 +1.971551997e+02 +1.971551997e+02 +2.734251997e+02 +7.627000000e+01 +1.3188e+00 -2.9476e-01 +1.2847e+00 +2.3079e+00 -4.4471e-01 -6.4989e-01 -1.5244e+00 +4.5816e+00 -3.1451e+00 -8.8922e-01 +1.6092e+00 -5.4852e-01 +4.1291e-01 +3.1973e+00 -7.1393e-01 +3.0893e+00 -3.4304e+00 -4.5532e+00 +4.1300e+00 +4.4398e+00
8911 +1.580159318e+02 +1.580159318e+02 +2.342859318e+02 +7.627000000e+01 +4.4109e+00 +9.6115e-01 -4.7858e+00 -6.5737e-01 +1.5901e-01 -2.1827e+00 +2.1784e+00 +4.9738e+00 +6.1482e-01 +4.7264e+00 -1.8048e+00 -6.4398e-01 -4.8274e+00 +1.3140e+00 -2.9304e+00 -1.1633e+00 -2.7279e+00 +1.4523e+00 +9.6462e-01 -3.0209e+00
76076 +8.668865997e+01 +8.668865997e+01 +1.629586600e+02 +7.627000000e+01 -3.5310e-01 -4.4361e+00 +1.6561e+00 -1.0501e+00 -2.2930e+00 -5.0000e+00 -1.8557e+00 +3.1681e+00 -1.4037e+00 +6.1107e-01 +5.0000e+00 -3.9412e-01 -8.4730e-01 +2.8943e-01 -2.1787e+00 -2.4755e+00 -1.3937e+00 -5.0000e+00 +4.3291e+00 -2.9722e+00
165450 +5.495793262e+01 +5.495793262e+01 +1.312279326e+02 +7.627000000e+01 -2.4286e+00 -5.0004e+00 +6.2662e-01 -8.0380e-01 -3.1724e+00 -2.5180e+00 -2.8252e+00 +2.6661e+00 -6.7856e-01 +5.0097e+00 +2.7107e-01 -1.7037e+00 -2.3671e+00 +2.7331e+00 -4.7974e+00 -2.8975e+00 +2.8726e+00 -3.9634e+00 +3.4480e+00 -4.3909e+00
302089 +3.886736588e+01 +3.886736588e+01 +1.151373659e+02 +7.627000000e+01 -1.5991e+00 -4.7232e+00 -1.9103e+00 -8.8967e-01 -1.0164e+00 -9.7058e-01 -2.3220e+00 -6.3165e-01 -1.3195e+00 +3.1394e+00 +2.5271e+00 -2.7050e+00 -3.3542e+00 +3.4571e+00 +6.9381e-01 -2.5260e+00 -7.6531e-02 -4.9971e+00 -1.1562e+00 -4.2495e+00
952378 +2.511614863e+01 +2.511614863e+01 +1.013861486e+02 +7.627000000e+01 -1.0635e+00 -3.9994e+00 +1.5665e+00 +2.5696e+00 -1.4323e+00 -3.2813e+00 -1.3356e+00 +1.2378e+00 -1.9598e+00 +3.6905e+00 +4.0834e+00 -2.9763e-01 -1.8957e+00 +4.3356e+00 -2.1392e+00 -1.3543e+00 +1.4917e+00 -3.1997e+00 +1.4523e+00 -1.4019e+00
1401610 +1.547173631e+01 +1.547173631e+01 +9.174173631e+01 +7.627000000e+01 -1.1774e+00 -3.2485e+00 +1.0271e+00 +1.3172e+00 -1.2752e+00 -1.8440e+00 -1.4236e+00 +6.0212e-01 -1.9543e+00 +2.3242e+00 +2.4121e+00 -4.9078e-01 -1.9102e+00 +4.1555e+00 -2.7212e+00 -1.6601e+00 +1.3573e+00 -3.1553e+00 +8.4342e-01 -1.8697e+00
% function evaluation | noise-free fitness - Fopt (-2.255000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.769056962e+06 +6.769056962e+06 +6.769034412e+06 -2.255000000e+01 +1.1295e-01 -8.0878e-02 +4.1806e+00 -3.6633e+00 +3.4116e+00 +3.5674e+00 +3.8450e+00 -1.9840e-01 -3.7502e+00 +3.9654e+00 -1.3532e+00 -3.1930e-01 -3.4856e+00 +2.1333e+00 +4.1632e+00 +2.4314e-01 -4.7490e+00 -1.7506e+00 +3.5952e+00 -1.1302e-01
