% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.505290151e+01 +8.505290151e+01 -3.770370985e+02 -4.620900000e+02 +6.9953e-01 -6.7588e-01 +1.1593e+00 -9.6223e-01 +1.4247e+00
188 +4.418017759e+01 +4.418017759e+01 -4.179098224e+02 -4.620900000e+02 -1.9819e+00 +1.5775e+00 +7.1585e-01 +7.1002e-01 +2.4063e+00
280 +3.386898891e+01 +3.386898891e+01 -4.282210111e+02 -4.620900000e+02 -3.3743e+00 +1.5775e+00 +7.1585e-01 -4.1444e-01 +1.5712e+00
370 +2.135364151e+01 +2.135364151e+01 -4.407363585e+02 -4.620900000e+02 -3.3743e+00 +1.4970e+00 +1.5171e+00 +7.1002e-01 +2.4063e+00
458 +1.303719573e+01 +1.303719573e+01 -4.490528043e+02 -4.620900000e+02 -2.3898e+00 +1.4970e+00 +1.5171e+00 +7.1002e-01 +1.5712e+00
1345 +8.162425005e+00 +8.162425005e+00 -4.539275750e+02 -4.620900000e+02 -2.3898e+00 +1.4970e+00 +2.2840e+00 +7.1002e-01 +1.6023e+00
2695 +6.302430895e+00 +6.302430895e+00 -4.557875691e+02 -4.620900000e+02 -2.3392e+00 +1.4970e+00 +2.7635e+00 +7.1508e-01 +1.6023e+00
3854 +3.888825840e+00 +3.888825840e+00 -4.582011742e+02 -4.620900000e+02 -2.3392e+00 +1.4970e+00 +2.7635e+00 +7.1508e-01 +1.9728e+00
5727 +2.138681731e+00 +2.138681731e+00 -4.599513183e+02 -4.620900000e+02 -2.3897e+00 +3.1344e+00 +2.2128e+00 +7.3944e-01 +2.2834e+00
7578 +1.073093215e+00 +1.073093215e+00 -4.610169068e+02 -4.620900000e+02 -2.3897e+00 +2.2909e+00 +2.2128e+00 +7.3416e-01 +2.2834e+00
8159 +6.073613835e-01 +6.073613835e-01 -4.614826386e+02 -4.620900000e+02 -2.3219e+00 +2.2909e+00 +2.2128e+00 +7.3416e-01 +2.3175e+00
8736 +2.739679188e-01 +2.739679188e-01 -4.618160321e+02 -4.620900000e+02 -2.3219e+00 +2.2909e+00 +2.2128e+00 +7.3416e-01 +2.3086e+00
24424 +2.125826609e-01 +2.125826609e-01 -4.618774173e+02 -4.620900000e+02 -2.3225e+00 +2.2918e+00 +2.2128e+00 +7.3416e-01 +1.4036e+00
24624 +1.063581640e-01 +1.063581640e-01 -4.619836418e+02 -4.620900000e+02 -2.3246e+00 +2.2918e+00 +2.2128e+00 +7.3416e-01 +2.2919e+00
24824 +9.239457487e-02 +9.239457487e-02 -4.619976054e+02 -4.620900000e+02 -2.3293e+00 +2.2918e+00 +2.2128e+00 +7.3416e-01 +2.2928e+00
25024 +6.167405059e-02 +6.167405059e-02 -4.620283259e+02 -4.620900000e+02 -2.3390e+00 +2.2918e+00 +2.2128e+00 +7.3416e-01 +2.3029e+00
28024 +2.776343821e-02 +2.776343821e-02 -4.620622366e+02 -4.620900000e+02 -2.3357e+00 +2.3027e+00 +2.2126e+00 +7.3049e-01 +2.3010e+00
28324 +1.273370158e-02 +1.273370158e-02 -4.620772663e+02 -4.620900000e+02 -2.3351e+00 +2.2975e+00 +2.2125e+00 +7.2967e-01 +2.2981e+00
28524 +4.276603363e-03 +4.276603363e-03 -4.620857234e+02 -4.620900000e+02 -2.3273e+00 +2.2969e+00 +2.2131e+00 +7.2762e-01 +2.3000e+00
28824 +7.701557547e-04 +7.701557547e-04 -4.620892298e+02 -4.620900000e+02 -2.3397e+00 +2.3001e+00 +2.2136e+00 +7.2760e-01 +2.2991e+00
29024 +5.337161413e-04 +5.337161413e-04 -4.620894663e+02 -4.620900000e+02 -2.3400e+00 +2.2994e+00 +2.2136e+00 +7.2757e-01 +2.2991e+00
39416 +3.606185285e-04 +3.606185285e-04 -4.620896394e+02 -4.620900000e+02 -2.3402e+00 +2.2996e+00 +2.2134e+00 +7.2812e-01 +2.2995e+00
