% function evaluation | noise-free fitness - Fopt (7.948000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6761 +4.624367023e-008 +4.624367023e-008 +7.948000005e+001 +7.948000005e+001 +2.5290e-001 -1.1567e+000 -7.2397e-001 +1.9265e+000 -2.6809e+000
7081 +2.233501561e-008 +2.233501561e-008 +7.948000002e+001 +7.948000002e+001 +2.5283e-001 -1.1568e+000 -7.2393e-001 +1.9265e+000 -2.6807e+000
7531 +1.550058926e-008 +1.550058926e-008 +7.948000002e+001 +7.948000002e+001 +2.5280e-001 -1.1568e+000 -7.2406e-001 +1.9265e+000 -2.6808e+000
7863 +8.681809049e-009 +8.681809049e-009 +7.948000001e+001 +7.948000001e+001 +2.5283e-001 -1.1568e+000 -7.2400e-001 +1.9265e+000 -2.6808e+000
% function evaluation | noise-free fitness - Fopt (3.944800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.397851167e+001 +7.397851167e+001 +4.684585117e+002 +4.684585117e+002 -8.8892e-001 -3.3207e+000 +2.5533e+000 +1.1854e+000 -3.2568e+000
2 +5.745239112e+001 +5.745239112e+001 +4.519323911e+002 +4.519323911e+002 -1.0248e+000 +2.2463e-001 -4.6217e+000 +1.1888e+000 -4.7479e+000
13 +6.119499476e+000 +6.119499476e+000 +4.005994995e+002 +4.005994995e+002 -3.9924e+000 -4.1891e+000 -4.7951e+000 +2.0798e+000 +1.1830e+000
101 +2.783850793e+000 +2.783850793e+000 +3.972638508e+002 +3.972638508e+002 -3.3286e+000 -3.9762e+000 -4.0187e+000 +4.2126e+000 +1.9265e+000
153 +2.196531224e-001 +2.196531224e-001 +3.946996531e+002 +3.946996531e+002 -3.8387e+000 -2.8881e+000 -4.1787e+000 +4.1538e+000 +7.4565e-001
403 +8.485268895e-002 +8.485268895e-002 +3.945648527e+002 +3.945648527e+002 -3.8692e+000 -3.0081e+000 -3.6262e+000 +3.8109e+000 +6.8564e-001
820 +4.844913768e-002 +4.844913768e-002 +3.945284491e+002 +3.945284491e+002 -3.8849e+000 -2.9628e+000 -3.6175e+000 +3.9766e+000 +7.9766e-001
960 +3.128533393e-002 +3.128533393e-002 +3.945112853e+002 +3.945112853e+002 -3.9202e+000 -2.9094e+000 -3.6980e+000 +4.0323e+000 +9.1834e-001
1102 +9.832067123e-003 +9.832067123e-003 +3.944898321e+002 +3.944898321e+002 -3.9491e+000 -2.8716e+000 -3.8084e+000 +3.9633e+000 +9.1876e-001
1467 +6.119942186e-003 +6.119942186e-003 +3.944861199e+002 +3.944861199e+002 -3.9061e+000 -2.8345e+000 -3.7983e+000 +3.8664e+000 +8.2204e-001
1820 +2.436470873e-003 +2.436470873e-003 +3.944824365e+002 +3.944824365e+002 -3.9038e+000 -2.8688e+000 -3.7645e+000 +3.8910e+000 +8.7628e-001
1955 +6.887906264e-004 +6.887906264e-004 +3.944806888e+002 +3.944806888e+002 -3.8984e+000 -2.8923e+000 -3.8025e+000 +3.9264e+000 +8.7504e-001
2075 +3.680070861e-004 +3.680070861e-004 +3.944803680e+002 +3.944803680e+002 -3.8976e+000 -2.8910e+000 -3.8161e+000 +3.9151e+000 +8.6858e-001
2235 +1.247548554e-004 +1.247548554e-004 +3.944801248e+002 +3.944801248e+002 -3.8983e+000 -2.8967e+000 -3.8076e+000 +3.9123e+000 +8.6281e-001
2315 +8.836624852e-005 +8.836624852e-005 +3.944800884e+002 +3.944800884e+002 -3.8985e+000 -2.8938e+000 -3.8105e+000 +3.9077e+000 +8.6171e-001
2955 +5.203864742e-005 +5.203864742e-005 +3.944800520e+002 +3.944800520e+002 -3.8974e+000 -2.8950e+000 -3.8015e+000 +3.9101e+000 +8.6222e-001
2956 +2.355600742e-005 +2.355600742e-005 +3.944800236e+002 +3.944800236e+002 -3.8974e+000 -2.8887e+000 -3.8000e+000 +3.9077e+000 +8.6226e-001
3747 +1.257605373e-005 +1.257605373e-005 +3.944800126e+002 +3.944800126e+002 -3.8973e+000 -2.8898e+000 -3.8020e+000 +3.9061e+000 +8.6245e-001
4008 +2.849491977e-006 +2.849491977e-006 +3.944800028e+002 +3.944800028e+002 -3.8977e+000 -2.8892e+000 -3.8015e+000 +3.9060e+000 +8.5887e-001
4301 +2.296327636e-006 +2.296327636e-006 +3.944800023e+002 +3.944800023e+002 -3.8977e+000 -2.8904e+000 -3.8014e+000 +3.9065e+000 +8.5945e-001
