% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.565323023e+05 +7.565323023e+05 +7.566814523e+05 +1.491500000e+02 +3.7760e+00 -4.2225e+00 +3.9771e+00 +4.3284e+00 -9.0131e-01 +4.1322e+00 -2.7434e+00 +4.9812e+00 -3.7680e+00 +1.5150e-01 +3.1947e+00 +4.6145e+00 +5.6011e-01 +2.5788e+00 -1.1385e+00 -3.0580e+00 -1.6262e-01 +1.5495e+00 +9.6553e-02 +4.3136e+00
388 +5.134564936e+04 +5.134564936e+04 +5.149479936e+04 +1.491500000e+02 -1.0079e+00 +2.1569e-02 -2.1587e+00 +2.6941e+00 -1.3470e+00 -1.1608e+00 -3.8814e+00 -2.7370e+00 +9.0417e-02 -1.0674e+00 -3.2497e+00 +3.9614e+00 +4.2311e+00 -2.2145e-01 -3.5694e+00 -3.3465e+00 -5.6610e-01 +1.0405e+00 +4.6217e-01 -4.1381e+00
579 +2.752837893e+04 +2.752837893e+04 +2.767752893e+04 +1.491500000e+02 +3.8711e-01 +2.1569e-02 -2.1587e+00 +2.6941e+00 -1.3470e+00 -1.1608e+00 -3.8814e+00 +1.0455e-01 -3.3429e+00 -2.3761e+00 -5.1446e-01 -1.0407e+00 +3.3909e+00 -1.5126e+00 -4.2479e+00 -2.0592e+00 -2.8039e+00 -1.9886e-02 -2.9963e+00 -4.1826e+00
769 +1.438891198e+04 +1.438891198e+04 +1.453806198e+04 +1.491500000e+02 +3.8711e-01 +2.1569e-02 -2.1587e+00 +2.6941e+00 -1.3470e+00 -1.1608e+00 -3.7101e+00 +1.0455e-01 +9.0417e-02 -1.0674e+00 -3.2497e+00 -1.0407e+00 +3.3909e+00 -1.5126e+00 -4.2479e+00 -2.0592e+00 -2.8039e+00 +2.6165e-01 -2.5106e+00 -4.1826e+00
956 +8.872910569e+03 +8.872910569e+03 +9.022060569e+03 +1.491500000e+02 +3.8711e-01 +2.1569e-02 -2.1587e+00 +2.6941e+00 -1.3470e+00 -1.1608e+00 -3.7101e+00 +1.0455e-01 +9.0417e-02 -1.0674e+00 -3.2497e+00 -1.0407e+00 +3.3909e+00 -1.3712e+00 -2.0985e+00 -2.2232e+00 +1.1511e+00 -1.4153e-01 -3.2963e+00 -2.9519e+00
1531 +5.908921731e+03 +5.908921731e+03 +6.058071731e+03 +1.491500000e+02 +1.0044e+00 +2.1569e-02 -2.1587e+00 +1.5934e+00 -4.2629e+00 -6.5915e-01 +2.0060e-01 -2.7370e+00 -4.2742e-01 -1.3179e+00 -3.9750e+00 -7.5896e-03 +9.8862e-01 -2.2145e-01 -2.0985e+00 -1.3569e+00 -5.4029e-02 -1.4153e-01 -3.2963e+00 -4.6561e+00
1716 +3.904872679e+03 +3.904872679e+03 +4.054022679e+03 +1.491500000e+02 +3.8711e-01 +2.1569e-02 -1.3024e+00 +2.5012e+00 -1.6920e+00 -1.1608e+00 -7.2270e-01 -2.2948e+00 -4.2742e-01 -1.0674e+00 -3.2497e+00 -1.0407e+00 +3.3909e+00 -6.1785e-01 -2.0985e+00 -1.3569e+00 +7.9784e-01 -1.4153e-01 -3.2963e+00 -2.9519e+00
2101 +1.745503357e+03 +1.745503357e+03 +1.894653357e+03 +1.491500000e+02 -2.7083e-01 +2.1569e-02 +6.1140e-01 +1.5934e+00 -4.2629e+00 -1.1608e+00 -7.2270e-01 -2.2948e+00 -4.2742e-01 -1.3179e+00 -3.2497e+00 -7.5896e-03 +1.2816e+00 -2.2145e-01 -1.9657e+00 -1.3569e+00 -5.4029e-02 -1.4153e-01 -2.9963e+00 -3.5655e+00
2294 +1.564793011e+03 +1.564793011e+03 +1.713943011e+03 +1.491500000e+02 +1.9461e-01 +2.1569e-02 +6.1140e-01 +1.5934e+00 -4.2629e+00 -1.1608e+00 -7.2270e-01 -2.2948e+00 -4.2742e-01 -1.0674e+00 -3.2497e+00 -1.2215e+00 +2.9251e+00 -1.3712e+00 -2.0985e+00 -2.1921e+00 +3.1220e-01 -1.4153e-01 -3.2963e+00 -2.9519e+00
2677 +9.505884852e+02 +9.505884852e+02 +1.099738485e+03 +1.491500000e+02 +3.8711e-01 +2.1569e-02 +4.0277e-01 +1.5934e+00 -4.2629e+00 -1.1608e+00 -7.2270e-01 -2.2948e+00 -4.2742e-01 -1.0674e+00 -3.2497e+00 -5.7409e-02 +9.8862e-01 -1.3712e+00 -1.9657e+00 -1.3569e+00 -5.4029e-02 -1.4153e-01 -2.9963e+00 -3.5655e+00
