% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.635358291e+01 +8.635358291e+01 -9.136464171e+02 -9.136464171e+02 -4.1559e-01 +2.8133e-01 -3.9564e+00 +4.0845e+00 -3.1617e+00 -4.0191e+00 +4.0126e+00 -3.0438e+00 -2.8960e+00 +4.0614e+00 +2.7919e+00 +4.5086e+00 -1.0027e+00 -2.3259e+00 -2.7932e+00 +2.0049e+00 +4.2527e+00 -2.8091e+00 +4.4853e+00 +4.0162e+00
14245 +5.103049791e+01 +5.103049791e+01 -9.489695021e+02 -9.489695021e+02 -4.1729e+00 -4.8203e-01 +1.7754e+00 -2.9606e+00 +2.1482e+00 -2.1180e+00 -2.1192e+00 -2.1340e+00 +2.1924e+00 +2.7767e+00 +2.3110e+00 +5.6238e-01 +2.5018e+00 -2.1314e+00 -4.1526e-01 -3.1476e+00 +1.5039e+00 -3.5562e-01 +3.5666e+00 -2.1781e+00
24352 +3.835249656e+01 +3.835249656e+01 -9.616475034e+02 -9.616475034e+02 -1.2826e+00 -4.2615e+00 +9.1141e-01 -2.8184e+00 +9.4517e-01 -3.3329e+00 -2.1626e+00 -4.9725e+00 +3.9274e+00 +1.9042e+00 +3.8345e+00 -1.5525e+00 +2.1742e+00 +1.0248e+00 -6.6999e-02 -4.5830e+00 +1.0552e+00 -1.1639e+00 +2.7112e+00 -3.7974e+00
29728 +2.339064274e+01 +2.339064274e+01 -9.766093573e+02 -9.766093573e+02 -3.2731e+00 -1.2036e+00 +1.6758e+00 -4.0017e+00 -8.5870e-01 -3.2908e+00 -9.7783e-01 -3.8355e+00 +3.4721e+00 +4.1426e+00 +3.7716e+00 -2.2205e+00 +2.5018e+00 -2.1314e+00 -4.1526e-01 -3.1476e+00 +1.4279e+00 -1.3532e+00 +1.2973e+00 -1.4925e+00
39788 +1.543899945e+01 +1.543899945e+01 -9.845610006e+02 -9.845610006e+02 -3.5982e+00 -2.8660e+00 +3.2140e+00 -4.2269e+00 +1.0695e+00 -2.6635e+00 -7.1349e-01 -4.2909e+00 +9.3254e-01 +3.6610e+00 +2.9145e+00 -1.5525e+00 +2.1742e+00 -9.2012e-01 -1.5140e+00 -4.4572e+00 +1.0771e+00 -4.1248e-01 -1.1544e+00 -2.1110e+00
49771 +9.977894654e+00 +9.977894654e+00 -9.900221053e+02 -9.900221053e+02 -4.0251e+00 -1.2036e+00 +1.6758e+00 -4.0017e+00 +1.4326e+00 -4.5483e+00 -1.9495e+00 -4.2530e+00 +1.6976e+00 +2.4222e+00 +3.2409e+00 -3.2085e+00 +2.1673e+00 -9.2012e-01 -1.5140e+00 -3.2072e+00 +1.0771e+00 -4.1248e-01 +5.0573e-01 -1.8916e+00
61051 +6.246107364e+00 +6.246107364e+00 -9.937538926e+02 -9.937538926e+02 -4.3010e+00 -3.0498e+00 +2.3251e+00 -4.8308e+00 +1.0695e+00 -4.6546e+00 -1.1535e+00 -4.2530e+00 +1.6976e+00 +2.4222e+00 +3.2409e+00 -2.0929e+00 +9.8672e-01 -7.4042e-01 -1.8108e+00 -4.5930e+00 +2.6467e+00 -1.0213e-01 +3.3179e-01 -2.5685e+00
64044 +3.241867648e+00 +3.241867648e+00 -9.967581324e+02 -9.967581324e+02 -3.2731e+00 -2.1078e+00 +1.6770e+00 -4.0017e+00 +1.0695e+00 -3.4703e+00 -6.1615e-01 -4.4580e+00 +1.9880e+00 +2.2793e+00 +4.2489e+00 -8.4293e-01 +9.8665e-01 -7.4042e-01 -1.8108e+00 -4.2415e+00 +2.2051e+00 -9.2635e-01 +5.0697e-01 -2.1575e+00
77844 +2.437880324e+00 +2.437880324e+00 -9.975621197e+02 -9.975621197e+02 -3.7341e+00 -2.4086e+00 +1.6482e+00 -4.8063e+00 +1.0695e+00 -3.4703e+00 -9.3876e-01 -4.9725e+00 +2.4275e+00 +2.0604e+00 +3.8345e+00 -1.4743e+00 +2.1742e+00 -4.0370e-01 -1.3593e+00 -3.3616e+00 +2.3172e+00 +1.9377e-02 +5.0814e-01 -1.8050e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
