% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.694000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
837257 0 +1.621808685e+01 +3.502808685e+01 +3.502808685e+01
1578696 0 +1.584848467e+01 +3.465848467e+01 +3.465848467e+01
2521348 0 +1.548815529e+01 +3.429815529e+01 +3.429815529e+01
% f evaluations | g evaluations | best noise-free fitness - Fopt (2.731500000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.431805876e+02 +5.163305876e+02 +5.163305876e+02
3 0 +1.417238157e+02 +4.148738157e+02 +4.148738157e+02
8 0 +9.079439713e+01 +3.639443971e+02 +3.639443971e+02
32 0 +8.883410255e+01 +3.619841025e+02 +3.619841025e+02
48 0 +7.914687046e+01 +3.522968705e+02 +3.522968705e+02
139 0 +6.626462870e+01 +3.394146287e+02 +3.394146287e+02
477 0 +6.321963612e+01 +3.363696361e+02 +3.363696361e+02
517 0 +5.455035476e+01 +3.277003548e+02 +3.277003548e+02
536 0 +5.088750176e+01 +3.240375018e+02 +3.240375018e+02
550 0 +4.436636624e+01 +3.175163662e+02 +3.175163662e+02
593 0 +4.013086756e+01 +3.132808676e+02 +3.132808676e+02
654 0 +3.904976279e+01 +3.121997628e+02 +3.121997628e+02
660 0 +3.758801382e+01 +3.107380138e+02 +3.107380138e+02
678 0 +3.582167066e+01 +3.089716707e+02 +3.089716707e+02
693 0 +3.397265077e+01 +3.071226508e+02 +3.071226508e+02
713 0 +3.170668348e+01 +3.048566835e+02 +3.048566835e+02
760 0 +3.136033081e+01 +3.045103308e+02 +3.045103308e+02
792 0 +3.089385020e+01 +3.040438502e+02 +3.040438502e+02
864 0 +2.946964195e+01 +3.026196420e+02 +3.026196420e+02
876 0 +2.651163135e+01 +2.996616314e+02 +2.996616314e+02
911 0 +2.608238324e+01 +2.992323832e+02 +2.992323832e+02
966 0 +2.561546063e+01 +2.987654606e+02 +2.987654606e+02
5310 0 +2.509034929e+01 +2.982403493e+02 +2.982403493e+02
5517 0 +2.416822198e+01 +2.973182220e+02 +2.973182220e+02
6742 0 +2.398204071e+01 +2.971320407e+02 +2.971320407e+02
7406 0 +2.343886991e+01 +2.965888699e+02 +2.965888699e+02
8935 0 +2.289344704e+01 +2.960434470e+02 +2.960434470e+02
20441 0 +2.238159668e+01 +2.955315967e+02 +2.955315967e+02
28106 0 +2.186420243e+01 +2.950142024e+02 +2.950142024e+02
37410 0 +2.137905498e+01 +2.945290550e+02 +2.945290550e+02
48211 0 +2.087845647e+01 +2.940284565e+02 +2.940284565e+02
62489 0 +2.038343700e+01 +2.935334370e+02 +2.935334370e+02
67456 0 +1.995099716e+01 +2.931009972e+02 +2.931009972e+02
80559 0 +1.947111177e+01 +2.926211118e+02 +2.926211118e+02
98321 0 +1.905406963e+01 +2.922040696e+02 +2.922040696e+02
126304 0 +1.862066734e+01 +2.917706673e+02 +2.917706673e+02
176977 0 +1.819668516e+01 +2.913466852e+02 +2.913466852e+02
250744 0 +1.778272241e+01 +2.909327224e+02 +2.909327224e+02
1335340 0 +1.737800806e+01 +2.905280081e+02 +2.905280081e+02
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.718000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +9.339659088e+01 +1.305765909e+02 +1.305765909e+02
22 0 +8.730706577e+01 +1.244870658e+02 +1.244870658e+02
60 0 +8.215861677e+01 +1.193386168e+02 +1.193386168e+02
127 0 +6.444300313e+01 +1.016230031e+02 +1.016230031e+02
501 0 +5.886013620e+01 +9.604013620e+01 +9.604013620e+01
543 0 +4.954874300e+01 +8.672874300e+01 +8.672874300e+01
561 0 +4.784379364e+01 +8.502379364e+01 +8.502379364e+01
607 0 +4.049128180e+01 +7.767128180e+01 +7.767128180e+01
612 0 +3.924033779e+01 +7.642033779e+01 +7.642033779e+01
627 0 +3.422956513e+01 +7.140956513e+01 +7.140956513e+01
644 0 +3.127672286e+01 +6.845672286e+01 +6.845672286e+01
661 0 +2.915477504e+01 +6.633477504e+01 +6.633477504e+01
670 0 +2.824960243e+01 +6.542960243e+01 +6.542960243e+01
767 0 +2.815427521e+01 +6.533427521e+01 +6.533427521e+01
790 0 +2.736432177e+01 +6.454432177e+01 +6.454432177e+01
1737 0 +2.672121746e+01 +6.390121746e+01 +6.390121746e+01
1750 0 +2.605666554e+01 +6.323666554e+01 +6.323666554e+01
1786 0 +2.507629324e+01 +6.225629324e+01 +6.225629324e+01
1904 0 +2.399091922e+01 +6.117091922e+01 +6.117091922e+01
2000 0 +2.394448888e+01 +6.112448888e+01 +6.112448888e+01
2301 0 +2.340527483e+01 +6.058527483e+01 +6.058527483e+01
2326 0 +2.193315090e+01 +5.911315090e+01 +5.911315090e+01
2871 0 +2.106824677e+01 +5.824824677e+01 +5.824824677e+01
2992 0 +2.034403141e+01 +5.752403141e+01 +5.752403141e+01
3345 0 +1.976858773e+01 +5.694858773e+01 +5.694858773e+01
4249 0 +1.948851839e+01 +5.666851839e+01 +5.666851839e+01
4742 0 +1.904662869e+01 +5.622662869e+01 +5.622662869e+01
5151 0 +1.861684123e+01 +5.579684123e+01 +5.579684123e+01
6893 0 +1.816282159e+01 +5.534282159e+01 +5.534282159e+01
9123 0 +1.777155867e+01 +5.495155867e+01 +5.495155867e+01
17478 0 +1.736508579e+01 +5.454508579e+01 +5.454508579e+01
22315 0 +1.698168281e+01 +5.416168281e+01 +5.416168281e+01
32756 0 +1.655241905e+01 +5.373241905e+01 +5.373241905e+01
39891 0 +1.621757234e+01 +5.339757234e+01 +5.339757234e+01
44884 0 +1.584823567e+01 +5.302823567e+01 +5.302823567e+01
52646 0 +1.547899969e+01 +5.265899969e+01 +5.265899969e+01
60730 0 +1.513267280e+01 +5.231267280e+01 +5.231267280e+01
80022 0 +1.478930769e+01 +5.196930769e+01 +5.196930769e+01
98972 0 +1.445434031e+01 +5.163434031e+01 +5.163434031e+01
142318 0 +1.412527944e+01 +5.130527944e+01 +5.130527944e+01
206560 0 +1.380242462e+01 +5.098242462e+01 +5.098242462e+01
278467 0 +1.348779432e+01 +5.066779432e+01 +5.066779432e+01
415475 0 +1.318230796e+01 +5.036230796e+01 +5.036230796e+01
653239 0 +1.288249321e+01 +5.006249321e+01 +5.006249321e+01
1273619 0 +1.258924965e+01 +4.976924965e+01 +4.976924965e+01
3406597 0 +1.230268390e+01 +4.948268390e+01 +4.948268390e+01
% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.479000000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.531713581e+02 +5.271358071e+00 +5.271358071e+00
4 0 +1.270795278e+02 -2.082047225e+01 -2.082047225e+01
6 0 +9.555985633e+01 -5.234014367e+01 -5.234014367e+01
16 0 +9.510466964e+01 -5.279533036e+01 -5.279533036e+01
26 0 +7.911203955e+01 -6.878796045e+01 -6.878796045e+01
69 0 +7.351597854e+01 -7.438402146e+01 -7.438402146e+01
194 0 +5.988562410e+01 -8.801437590e+01 -8.801437590e+01
535 0 +4.760004558e+01 -1.002999544e+02 -1.002999544e+02
553 0 +4.471768719e+01 -1.031823128e+02 -1.031823128e+02
593 0 +4.394564571e+01 -1.039543543e+02 -1.039543543e+02
621 0 +4.337471870e+01 -1.045252813e+02 -1.045252813e+02
630 0 +3.938111100e+01 -1.085188890e+02 -1.085188890e+02
665 0 +3.850692008e+01 -1.093930799e+02 -1.093930799e+02
