% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.120322189e+02 +5.120322189e+02 +4.596822189e+02 +4.596822189e+02 -2.8356e+00 -4.1475e+00 -3.9001e-01 +2.9688e+00 -4.7718e+00 -3.6085e+00 -4.3197e+00 +2.0523e+00 -4.6474e+00 +1.5140e+00 +3.7626e+00 -2.2377e+00 +4.1941e+00 -2.4697e+00 -9.7696e-01 -3.1443e+00 +3.2662e+00 +4.6377e+00 -4.0887e+00 -3.6132e+00
2 +3.866040772e+02 +3.866040772e+02 +3.342540772e+02 +3.342540772e+02 -2.7783e+00 +4.2118e+00 -3.5237e+00 +5.3874e-01 -1.3989e+00 -4.5765e+00 -4.5743e+00 -1.3248e+00 +1.8424e+00 +3.7286e+00 -1.1363e+00 -3.4927e+00 +4.6461e+00 +3.8202e+00 -1.9619e+00 -1.5338e+00 +1.4454e+00 +1.0195e+00 +2.3733e+00 -3.9617e-01
4 +1.672504843e+02 +1.672504843e+02 +1.149004843e+02 +1.149004843e+02 -4.3845e+00 -4.5757e+00 +2.6954e+00 +3.1854e+00 -4.1086e+00 -6.7222e-01 +1.5003e+00 -4.8893e+00 +3.1339e+00 +4.1746e+00 +3.5929e+00 -2.0768e+00 -2.2185e+00 -6.2370e-02 +8.2387e-01 -3.5492e+00 +4.6784e+00 +3.1692e-01 +2.2507e+00 +4.1671e+00
8 +1.180470918e+02 +1.180470918e+02 +6.569709182e+01 +6.569709182e+01 +3.6870e+00 +8.7065e-01 -9.5612e-01 -3.6425e+00 -1.1151e+00 -7.8666e-01 -4.7901e+00 +1.7535e+00 +4.3480e+00 +4.9658e-01 -3.9406e+00 -4.8060e+00 -1.8852e+00 -6.7305e-01 +1.2135e+00 -1.2506e+00 -5.5854e-01 +2.9765e+00 +7.2722e-01 +1.8176e+00
9 +6.844790342e+01 +6.844790342e+01 +1.609790342e+01 +1.609790342e+01 +2.2151e+00 -1.9113e+00 +4.2900e+00 -4.1198e+00 +1.7770e+00 +4.4776e+00 +2.2401e-01 +1.8448e+00 +4.7780e+00 +3.8640e+00 +3.5857e+00 +1.5125e+00 -2.8852e+00 -1.3228e+00 +4.4158e+00 -3.0408e+00 +2.5169e+00 -1.3376e+00 +4.5884e+00 -2.7531e+00
39 +6.254222264e+01 +6.254222264e+01 +1.019222264e+01 +1.019222264e+01 -2.5408e+00 -2.9333e+00 +1.6578e+00 +5.2647e-01 -4.1033e+00 +1.0221e+00 -2.6446e+00 -3.5737e+00 +3.4943e+00 +2.8073e+00 -4.4254e-01 -1.0224e+00 -2.2059e+00 -2.7476e-02 +2.0045e+00 -8.4467e-01 -1.4495e+00 +3.2314e+00 -4.7562e-01 -3.7527e+00
206 +3.850811494e+01 +3.850811494e+01 -1.384188506e+01 -1.384188506e+01 -4.6965e+00 -1.0564e+00 +8.5577e-01 -6.9132e-01 -4.7287e+00 +3.7430e+00 -1.6976e+00 -1.3367e+00 -1.6247e+00 -2.1873e+00 -4.4725e-01 +1.3735e+00 -1.3180e+00 +3.3908e+00 +1.4645e+00 -2.6321e+00 -2.7966e+00 -3.1320e+00 -1.6277e+00 -1.8103e+00
4976 +2.323304177e+01 +2.323304177e+01 -2.911695823e+01 -2.911695823e+01 +1.0900e+00 -3.3200e+00 -6.3737e-01 -4.9367e+00 -3.1890e+00 +1.1465e+00 -4.8855e+00 -2.4038e+00 +1.9877e+00 -1.3775e+00 +4.5110e+00 -2.3924e+00 +4.7524e+00 +3.9461e+00 +2.3690e+00 +4.9436e-01 -4.3997e+00 +3.2030e+00 +4.4156e+00 -2.5085e+00
14565 +1.430044439e+01 +1.430044439e+01 -3.804955561e+01 -3.804955561e+01 -4.6798e-01 -2.7785e+00 -2.0427e-01 -3.2063e-01 -4.5413e+00 +2.4461e+00 -3.4814e+00 -2.8260e-01 +2.5630e+00 -2.0623e+00 +4.0753e+00 -1.8556e+00 -1.5099e+00 -2.4995e+00 +1.6499e+00 -1.4929e+00 +1.4273e+00 +8.8792e-01 +3.9015e+00 -2.8814e+00
26185 +9.232617947e+00 +9.232617947e+00 -4.311738205e+01 -4.311738205e+01 -2.7247e+00 -7.5893e-01 +2.8924e+00 -2.9018e+00 -1.3991e+00 +3.1166e+00 -2.2661e+00 -1.2235e+00 +1.2153e+00 -4.3735e+00 +9.8949e-01 +2.2647e-01 +4.3866e+00 -2.8261e+00 -1.7107e+00 -7.7071e-01 -1.1784e+00 +3.8371e-01 +7.6212e-01 -3.9838e+00
