% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.357207005e+02 +1.357207005e+02 +3.317070046e+01 +3.317070046e+01 -2.1442e+00 -4.4419e+00 -3.7420e+00 -1.0244e+00 +1.9898e+00 -3.4502e+00 +4.5653e+00 -4.4227e+00 -3.1427e+00 +1.7835e+00 -9.6202e-01 +3.3843e+00 +6.7211e-02 -4.3911e+00 -3.6851e+00 -3.0985e+00 -1.3880e+00 -4.6317e+00 -4.5058e+00 +2.2387e+00
2 +4.741023677e+01 +4.741023677e+01 -5.513976323e+01 -5.513976323e+01 +1.3263e+00 -2.5162e+00 +2.4568e+00 +3.3749e+00 -2.8177e+00 +1.3513e+00 +3.9399e+00 -2.7188e-01 -2.7417e+00 +1.4117e+00 -5.3886e-01 +2.8855e+00 -3.8460e+00 +6.6042e-01 -1.7642e+00 -2.9875e-01 +2.5160e+00 +1.4710e+00 +9.0469e-01 -4.9943e+00
6 +3.332419955e+01 +3.332419955e+01 -6.922580045e+01 -6.922580045e+01 +3.6280e+00 -2.4070e+00 -1.9355e+00 +1.6330e+00 +1.9233e+00 +4.6287e-01 +3.1980e+00 -2.0243e+00 +2.1450e+00 +2.2646e+00 +4.0860e-01 +2.0945e+00 +2.6146e+00 -2.4125e+00 -8.2189e-01 -3.5073e+00 +6.7710e-01 +1.7401e+00 -1.9052e+00 +3.3148e+00
189 +2.415571182e+01 +2.415571182e+01 -7.839428818e+01 -7.839428818e+01 -1.9622e-01 -2.6530e+00 -7.2667e-02 +2.8060e-01 +2.7888e+00 -1.3088e+00 -9.9594e-01 -2.9589e+00 +1.4191e+00 -9.5249e-01 +2.4967e+00 +4.8620e+00 +5.7447e-01 -1.6582e+00 +1.1370e+00 +3.6026e+00 -2.8813e+00 +2.4883e+00 -2.2265e+00 -7.3754e-01
3970 +1.470288920e+01 +1.470288920e+01 -8.784711080e+01 -8.784711080e+01 +3.3168e+00 +1.0722e+00 -6.2615e-01 +2.4920e+00 -1.1330e+00 -7.9896e-01 -1.4736e+00 -9.0532e-01 -4.0720e+00 -3.0923e+00 -3.8481e+00 -1.4312e+00 +2.3612e+00 +3.5700e+00 +2.7234e+00 -2.0333e+00 -2.2720e+00 +1.8358e+00 -2.1031e+00 +4.0469e+00
14991 +8.887922768e+00 +8.887922768e+00 -9.366207723e+01 -9.366207723e+01 +8.9089e-01 -1.5520e+00 -3.3361e+00 -8.7376e-01 +1.3651e+00 -2.3176e+00 +4.4554e-01 -8.6963e-01 +9.1407e-01 +2.0917e+00 -4.3471e-01 -7.5031e-01 +5.8960e-01 -1.1265e+00 +2.4006e+00 -1.1702e-01 +4.5292e-01 +1.3592e+00 -1.3681e-01 +1.1971e+00
42589 +6.224473685e+00 +6.224473685e+00 -9.632552631e+01 -9.632552631e+01 +2.4088e+00 -3.0464e-01 +1.5523e+00 +1.4481e+00 +1.0655e+00 +7.1955e-01 +3.1507e-01 -9.1874e-01 +2.9014e-01 -1.0248e+00 +8.5012e-01 +2.4283e-01 +1.0795e+00 +1.3954e+00 -9.0039e-01 -4.7082e-01 +1.2361e+00 -4.9139e-01 +4.5490e-01 -1.0189e+00
163104 +3.193648985e+00 +3.193648985e+00 -9.935635102e+01 -9.935635102e+01 +1.0289e+00 +2.5116e-01 -3.5281e-01 +1.0739e+00 +1.4009e+00 +4.6439e-01 -7.3080e-01 -1.0307e+00 -7.5867e-01 -1.0719e+00 +2.7974e-01 +1.2316e+00 +1.2208e+00 -8.2021e-01 +2.4296e-01 -1.3330e-01 +6.4798e-01 +4.2817e-01 -5.8686e-02 -1.0189e+00
511108 +1.964895495e+00 +1.964895495e+00 -1.005851045e+02 -1.005851045e+02 -3.2931e-01 +1.9978e-01 +2.2286e-01 -1.1841e-01 +2.2868e-01 +1.7220e-01 -1.9399e-01 +1.2946e-01 -2.4721e-01 +4.6529e-01 -9.6729e-02 -3.7437e-01 +5.0167e-02 -7.3207e-01 -3.4741e-01 +6.5668e-01 +1.2237e-01 -2.3140e-01 -7.2840e-03 +3.7703e-01
545583 +1.542702802e+00 +1.542702802e+00 -1.010072972e+02 -1.010072972e+02 -3.9774e-01 +2.1868e-01 +2.2439e-01 -1.1841e-01 +2.9704e-01 +1.7243e-01 -1.8361e-01 +1.4961e-01 -2.4721e-01 +4.6529e-01 -3.8136e-02 -3.0950e-01 -3.6499e-02 -2.7132e-02 +4.6856e-01 -4.2642e-01 +1.2380e-01 -6.0497e-02 -4.7568e-02 +3.7337e-01
596014 +9.614749915e-01 +9.614749915e-01 -1.015885250e+02 -1.015885250e+02 -3.9652e-01 +2.1868e-01 +2.2195e-01 -1.1833e-01 +2.9704e-01 +1.7243e-01 -1.8361e-01 +1.4961e-01 -2.3767e-01 +4.6530e-01 -2.8370e-02 -3.0950e-01 -3.5889e-02 -7.5245e-03 +4.6856e-01 -4.2154e-01 +1.3356e-01 -6.0497e-02 -4.7568e-02 +3.7337e-01
683550 +6.284708585e-01 +6.284708585e-01 -1.019215291e+02 -1.019215291e+02 -3.9652e-01 +2.1866e-01 +2.1463e-01 -1.1779e-01 +2.9765e-01 +1.5747e-01 -1.8851e-01 +1.4900e-01 -2.3500e-01 +4.6521e-01 -2.3792e-02 -3.0462e-01 -3.6576e-02 -1.2843e-02 +4.6856e-01 -4.2642e-01 +1.1840e-01 -5.9272e-02 -5.7333e-02 +3.7335e-01
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.354409954e+01 +8.354409954e+01 +1.552340995e+02 +1.552340995e+02 +3.8067e+00 +6.6010e-01 -2.4747e+00 -1.6656e+00 -4.3421e+00 -3.9326e+00 -1.9300e+00 +1.6555e+00 -4.6797e+00 +3.1383e+00 +1.5896e+00 -2.8944e+00 -3.0483e+00 -3.0210e+00 -1.5247e+00 +3.3434e-01 -3.4079e+00 +1.2243e+00 +4.1422e+00 +3.6085e+00
2 +4.300911865e+01 +4.300911865e+01 +1.146991186e+02 +1.146991186e+02 +8.7405e-01 +1.6305e-01 -3.9390e+00 -4.4839e+00 +2.3034e+00 -1.7760e+00 +3.8803e+00 -7.5617e-01 -1.5488e+00 +2.8144e+00 +3.7503e+00 +4.1207e+00 +2.9262e+00 -3.4232e+00 -3.9389e-01 +3.9281e+00 +1.1123e+00 +4.8196e+00 +2.6938e-01 +2.6722e+00
15 +3.386934162e+01 +3.386934162e+01 +1.055593416e+02 +1.055593416e+02 +3.4293e+00 +1.2515e+00 -3.5175e+00 +1.0131e+00 +1.9978e+00 -4.5708e+00 -1.2560e+00 -1.3285e+00 -2.1161e-01 +1.5451e+00 +2.3869e+00 -3.9960e-01 -1.3723e+00 -2.8569e-02 +3.3572e+00 +1.6819e+00 +3.3639e+00 -2.8189e+00 -8.9428e-01 +2.7785e+00
44 +2.448372382e+01 +2.448372382e+01 +9.617372382e+01 +9.617372382e+01 +2.8406e-01 -1.2195e+00 +2.5743e+00 -8.5582e-02 -1.9573e+00 +2.3456e+00 +3.5383e+00 -4.6316e+00 -1.2101e+00 +3.9211e+00 +6.7432e-01 -2.3346e+00 +5.4098e-01 +2.3830e+00 +4.1114e+00 -4.8427e+00 -1.3109e+00 +1.0991e+00 -1.7765e+00 +1.4210e+00
3326 +1.546347579e+01 +1.546347579e+01 +8.715347579e+01 +8.715347579e+01 +2.3490e+00 -1.3167e+00 +1.3055e+00 +2.1302e-01 -1.1002e+00 +2.8572e+00 +1.8059e+00 -1.6002e+00 -1.7458e+00 -2.7803e+00 +1.6623e+00 +1.8446e+00 -2.7663e+00 -1.6037e+00 +9.2206e-01 +2.6762e+00 -9.3297e-01 -2.9129e-01 +2.2693e+00 -2.5182e+00
9509 +7.336948910e+00 +7.336948910e+00 +7.902694891e+01 +7.902694891e+01 +2.5212e+00 -1.1570e+00 +4.8549e-02 +5.5733e-01 -2.4237e-01 +1.6793e+00 -4.3274e-01 +8.7077e-01 -8.8202e-01 -3.1596e+00 +8.5257e-01 -3.2010e-01 -1.1761e+00 -4.5703e-01 +7.9433e-01 +3.0449e-01 -3.1492e-01 -1.3114e+00 +1.8067e+00 -1.0030e+00
35265 +6.239020606e+00 +6.239020606e+00 +7.792902061e+01 +7.792902061e+01 -1.1800e+00 -1.3952e+00 +1.2221e+00 +8.6564e-01 +3.1613e-01 +6.7890e-01 +7.2522e-01 +1.0846e+00 +2.0957e+00 -1.1598e-01 +2.5235e+00 -1.6152e+00 +4.0102e-01 -1.3834e+00 +3.2880e+00 +3.8220e-02 -9.3266e-01 -2.9129e-01 -1.7448e+00 +8.7707e-01
100598 +3.792544717e+00 +3.792544717e+00 +7.548254472e+01 +7.548254472e+01 -2.6690e-01 +8.2408e-01 +1.2067e+00 +8.0603e-03 -3.6033e-01 +1.0661e+00 +6.9945e-01 +1.0258e+00 -6.8690e-02 +1.1439e+00 +8.5257e-01 -1.5146e-02 +2.9669e-01 +4.2096e-01 -1.9657e-01 +8.5868e-01 +3.4150e-01 -5.1898e-01 -8.1928e-01 +8.7707e-01
433978 +2.363287175e+00 +2.363287175e+00 +7.405328718e+01 +7.405328718e+01 +2.8886e-02 +1.5413e-01 +4.8749e-02 -3.3770e-01 -2.4245e-01 +6.7509e-01 -4.7054e-01 -4.9650e-01 -3.3813e-01 -1.0450e-01 -2.6117e-01 -1.6215e-02 +3.0653e-01 -2.8866e-01 -4.2757e-01 +1.6205e-01 +3.0410e-03 -2.8122e-01 -1.0369e-01 +2.4941e-01
443250 +1.565441942e+00 +1.565441942e+00 +7.325544194e+01 +7.325544194e+01 +6.7298e-02 +1.5413e-01 +4.8530e-02 -3.3770e-01 -2.3260e-01 +6.7997e-01 -4.7908e-01 -5.0657e-01 -3.3428e-01 -1.0389e-01 -2.6117e-01 -4.4699e-02 +2.9676e-01 -1.3362e-01 -4.1235e-01 +2.8878e-01 -2.4149e-03 -2.7734e-01 -9.8804e-02 +2.7926e-01
450135 +7.948373027e-01 +7.948373027e-01 +7.248483730e+01 +7.248483730e+01 +6.7310e-02 +1.5473e-01 +4.8530e-02 -3.2794e-01 -2.4258e-01 +6.9973e-01 -4.8000e-01 -4.9803e-01 -3.3428e-01 -1.0450e-01 -2.6117e-01 -4.4852e-02 +2.9675e-01 -1.3362e-01 -4.1235e-01 +2.5101e-01 -2.6835e-02 -2.7422e-01 -9.8804e-02 +2.7834e-01
