% f evaluations | g evaluations | best noise-free fitness - Fopt (7.135000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.413761248e+01 +1.454876125e+02 +1.454876125e+02 +2.9652e+00 +4.2713e+00 +4.0681e+00 -2.2125e+00 +4.5454e+00 -3.2043e+00 -4.9650e+00 +3.2830e+00 +4.9249e-01 -3.8961e+00 +3.5763e+00 -4.9993e+00 -4.9906e+00 +2.5701e+00 -2.4220e+00 -2.0395e+00 -1.8918e+00 +1.9149e+00 +1.7070e+00 +2.4797e+00
6 0 +7.235870466e+01 +1.437087047e+02 +1.437087047e+02 +2.0335e+00 +3.4253e+00 +4.7195e+00 -4.4703e+00 +1.4387e+00 +3.2857e-01 -2.4249e+00 +3.5759e+00 +2.8684e+00 -2.4146e+00 -2.6322e+00 +4.6690e+00 +1.8879e+00 +5.9500e-01 +1.1172e+00 +4.2034e+00 +1.9980e+00 +1.0339e-01 +3.6776e-01 +2.4132e+00
10 0 +3.477521574e+01 +1.061252157e+02 +1.061252157e+02 +5.6668e-01 -3.1478e+00 -2.9391e+00 -2.8627e+00 +4.9890e+00 +5.8541e-01 -7.4098e-01 -2.9863e+00 +3.5881e+00 +3.7746e+00 -3.9810e+00 +2.0445e+00 -3.4024e-01 -2.0379e+00 +5.6926e-01 +1.1457e+00 +6.8118e-01 -5.4554e-01 -1.3553e-01 +1.4321e+00
144 0 +2.807241310e+01 +9.942241310e+01 +9.942241310e+01 -2.6024e+00 -3.2347e+00 +1.5397e+00 -4.3694e+00 -4.0706e+00 -2.4758e+00 -2.0797e+00 +3.0336e-01 -3.4104e+00 +2.6415e+00 +2.8081e+00 +1.7420e+00 -6.3398e-02 -4.5175e+00 -3.5503e+00 +8.3673e-01 -1.3563e+00 -2.4938e+00 -1.3413e+00 -3.9702e+00
725 0 +2.099806080e+01 +9.234806080e+01 +9.234806080e+01 -2.6024e+00 -3.2347e+00 +1.5397e+00 -4.3694e+00 -4.0706e+00 -2.4758e+00 -2.0797e+00 +3.0336e-01 -3.4104e+00 +2.6415e+00 +2.8081e+00 +3.5404e+00 -6.3398e-02 -4.5175e+00 -3.5503e+00 +8.3673e-01 -1.3563e+00 -2.4938e+00 -1.3413e+00 -3.9702e+00
848 0 +1.849999278e+01 +8.984999278e+01 +8.984999278e+01 -2.6133e+00 -3.2312e+00 +1.5398e+00 -4.3774e+00 -4.1835e+00 -2.4759e+00 -2.1879e+00 +3.0496e-01 -3.4266e+00 +2.6407e+00 +2.8034e+00 +3.2616e+00 -3.4465e-02 -4.5177e+00 -3.6983e+00 +5.2450e-01 -1.1524e+00 -2.5320e+00 -1.3439e+00 -3.9705e+00
895 0 +1.773808924e+01 +8.908808924e+01 +8.908808924e+01 -2.6124e+00 -3.2316e+00 +1.5399e+00 -4.3774e+00 -4.1497e+00 -2.4759e+00 -2.1810e+00 +3.0497e-01 -3.4265e+00 +2.6407e+00 +2.7958e+00 +3.2081e+00 -3.6339e-02 -4.5177e+00 -3.6860e+00 +5.8577e-01 -1.2258e+00 -2.5353e+00 -1.3446e+00 -3.9705e+00
907 0 +1.717793349e+01 +8.852793349e+01 +8.852793349e+01 -2.6129e+00 -3.2319e+00 +1.5398e+00 -4.3750e+00 -4.1340e+00 -2.4758e+00 -2.1785e+00 +3.0412e-01 -3.4317e+00 +2.6407e+00 +2.7973e+00 +3.1481e+00 -3.8899e-02 -4.5176e+00 -3.6317e+00 +5.8287e-01 -1.2584e+00 -2.5486e+00 -1.3433e+00 -3.9705e+00
940 0 +1.694870540e+01 +8.829870540e+01 +8.829870540e+01 -2.6128e+00 -3.2320e+00 +1.5399e+00 -4.3749e+00 -4.1265e+00 -2.4759e+00 -2.1723e+00 +3.0390e-01 -3.4368e+00 +2.6407e+00 +2.7970e+00 +3.1723e+00 -4.3591e-02 -4.5176e+00 -3.6629e+00 +5.8108e-01 -1.2568e+00 -2.5489e+00 -1.3433e+00 -3.9705e+00
1015 0 +1.465140303e+01 +8.600140303e+01 +8.600140303e+01 -2.6128e+00 -3.2321e+00 +1.5399e+00 -4.3749e+00 -4.1319e+00 -2.4758e+00 -2.1751e+00 -4.1078e-02 -3.4346e+00 +2.6407e+00 +2.7967e+00 +3.1547e+00 +3.0393e-01 -4.5176e+00 -3.6520e+00 +5.8154e-01 -1.2579e+00 -2.5488e+00 -1.3421e+00 -3.9705e+00
