% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5 +3.529683778e+01 +3.529683778e+01 +1.379068378e+02 +1.379068378e+02 -1.7214e+00 +1.0053e+00 -3.9908e+00
59 +2.138160639e+01 +2.138160639e+01 +1.239916064e+02 +1.239916064e+02 +1.7849e+00 -6.5078e-01 -5.3656e-02
88 +1.524456169e+01 +1.524456169e+01 +1.178545617e+02 +1.178545617e+02 -2.0243e+00 +4.7807e+00 -2.3641e+00
3608 +9.754493389e+00 +9.754493389e+00 +1.123644934e+02 +1.123644934e+02 +1.8522e+00 -8.4918e-01 +1.6001e+00
3865 +5.516606994e+00 +5.516606994e+00 +1.081266070e+02 +1.081266070e+02 -2.0747e+00 +2.0686e+00 -3.0676e+00
5333 +3.649296794e+00 +3.649296794e+00 +1.062592968e+02 +1.062592968e+02 +1.6536e+00 -1.8498e+00 +1.0190e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.834535488e+01 +5.834535488e+01 +1.516453549e+02 +1.516453549e+02 -1.9903e+00 +1.3857e+00 -1.2295e+00
13 +3.958059304e+01 +3.958059304e+01 +1.328805930e+02 +1.328805930e+02 +2.4004e+00 +3.9264e+00 -8.8011e-01
51 +2.203544808e+01 +2.203544808e+01 +1.153354481e+02 +1.153354481e+02 +3.4701e+00 +3.4987e+00 -1.4984e+00
125 +1.463044872e+01 +1.463044872e+01 +1.079304487e+02 +1.079304487e+02 +4.7267e-01 +2.9049e+00 -3.4507e+00
197 +9.736254150e+00 +9.736254150e+00 +1.030362542e+02 +1.030362542e+02 +2.0638e+00 +1.4620e+00 -1.1047e+00
6103 +5.545811853e+00 +5.545811853e+00 +9.884581185e+01 +9.884581185e+01 +1.9085e+00 +9.0774e-01 -2.4664e+00
33051 +3.537627915e+00 +3.537627915e+00 +9.683762792e+01 +9.683762792e+01 +2.4613e+00 +1.6461e+00 -2.3522e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.643913499e+01 +7.643913499e+01 +9.007913499e+01 +9.007913499e+01 +2.5337e+00 +1.5180e+00 -1.4866e+00
10 +5.406181113e+01 +5.406181113e+01 +6.770181113e+01 +6.770181113e+01 +2.9112e+00 +3.5230e+00 -6.8794e-01
15 +3.957377611e+01 +3.957377611e+01 +5.321377611e+01 +5.321377611e+01 +2.2242e+00 +1.4135e+00 -9.8463e-01
139 +2.216632717e+01 +2.216632717e+01 +3.580632717e+01 +3.580632717e+01 -3.2875e+00 -4.5577e+00 -2.4801e+00
575 +1.270844695e+01 +1.270844695e+01 +2.634844695e+01 +2.634844695e+01 -3.4752e+00 -1.3040e+00 -2.1254e+00
1229 +9.024132802e+00 +9.024132802e+00 +2.266413280e+01 +2.266413280e+01 -2.5712e+00 -4.1756e+00 -1.4769e+00
1524 +5.845044262e+00 +5.845044262e+00 +1.948504426e+01 +1.948504426e+01 +1.8675e+00 +1.1267e+00 +1.2532e+00
4611 +3.828971508e+00 +3.828971508e+00 +1.746897151e+01 +1.746897151e+01 -1.7698e+00 -2.3114e+00 -2.3203e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.544350345e+01 +9.544350345e+01 +2.902435034e+02 +2.902435034e+02 +3.5953e+00 -4.0140e+00 +1.0811e+00
2 +3.788117597e+01 +3.788117597e+01 +2.326811760e+02 +2.326811760e+02 -2.2286e+00 +4.0117e+00 +5.2790e-02
196 +1.693146779e+01 +1.693146779e+01 +2.117314678e+02 +2.117314678e+02 -4.5570e+00 +3.6212e-01 +3.0795e+00
294 +1.339978175e+01 +1.339978175e+01 +2.081997817e+02 +2.081997817e+02 -4.4580e+00 +8.9280e-01 +1.6697e+00
2580 +9.277033358e+00 +9.277033358e+00 +2.040770334e+02 +2.040770334e+02 -2.8026e+00 +2.5751e+00 +2.6233e+00
9515 +6.052456713e+00 +6.052456713e+00 +2.008524567e+02 +2.008524567e+02 -2.9811e+00 +1.6532e+00 +3.3521e+00
31286 +3.914763246e+00 +3.914763246e+00 +1.987147632e+02 +1.987147632e+02 -2.1057e+00 +2.1824e+00 +2.8717e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.132977588e+01 +7.132977588e+01 -6.226022412e+01 -6.226022412e+01 +4.4140e+00 +1.9584e+00 -3.9639e+00
4 +4.263834276e+01 +4.263834276e+01 -9.095165724e+01 -9.095165724e+01 +1.4606e+00 -2.5778e+00 -3.3072e+00
37 +3.627273545e+01 +3.627273545e+01 -9.731726455e+01 -9.731726455e+01 -2.9668e-02 -1.5920e+00 -1.9679e-01
41 +1.421749012e+01 +1.421749012e+01 -1.193725099e+02 -1.193725099e+02 -2.5474e-01 +5.8578e-01 +1.5464e+00
204 +8.350745690e+00 +8.350745690e+00 -1.252392543e+02 -1.252392543e+02 +2.3553e+00 -8.5257e-01 -3.1301e+00
1423 +5.225690894e+00 +5.225690894e+00 -1.283643091e+02 -1.283643091e+02 +1.9118e+00 -1.8818e+00 -1.7953e+00
16324 +3.592084763e+00 +3.592084763e+00 -1.299979152e+02 -1.299979152e+02 +2.1844e+00 -2.4283e+00 -2.5736e+00
% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.704968835e+01 +4.704968835e+01 +1.496596884e+02 +1.496596884e+02 +2.6216e-01 +4.9377e-02 -4.4389e+00
11 +2.483453551e+01 +2.483453551e+01 +1.274445355e+02 +1.274445355e+02 -2.4401e+00 +1.1910e+00 -2.5878e-02
339 +1.458435170e+01 +1.458435170e+01 +1.171943517e+02 +1.171943517e+02 -1.7850e+00 +4.2393e+00 -3.4873e+00
1230 +9.135123355e+00 +9.135123355e+00 +1.117451234e+02 +1.117451234e+02 +9.7197e-01 -1.1314e+00 +1.2667e+00
4077 +4.453447039e+00 +4.453447039e+00 +1.070634470e+02 +1.070634470e+02 +9.7441e-01 -1.1312e+00 +1.7603e+00
28846 +3.928855674e+00 +3.928855674e+00 +1.065388557e+02 +1.065388557e+02 -2.6359e+00 +2.2624e+00 -2.5227e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.117370171e+01 +7.117370171e+01 +1.644737017e+02 +1.644737017e+02 +4.9566e+00 +4.5005e+00 +5.8453e-01
2 +4.228057701e+01 +4.228057701e+01 +1.355805770e+02 +1.355805770e+02 +4.3364e-01 +3.3571e+00 -2.1895e+00
6 +3.143739676e+01 +3.143739676e+01 +1.247373968e+02 +1.247373968e+02 +9.4101e-01 +2.3355e+00 +5.1777e-02
19 +2.337879644e+01 +2.337879644e+01 +1.166787964e+02 +1.166787964e+02 +7.5298e-02 +2.6449e+00 -2.5685e+00
270 +1.254326374e+01 +1.254326374e+01 +1.058432637e+02 +1.058432637e+02 +1.2867e+00 +2.0576e+00 -4.7823e+00
1741 +5.316591031e+00 +5.316591031e+00 +9.861659103e+01 +9.861659103e+01 +1.7552e+00 +9.9950e-01 -1.7721e+00
31524 +3.823885636e+00 +3.823885636e+00 +9.712388564e+01 +9.712388564e+01 +1.8249e+00 +2.3362e+00 -1.9907e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.736800237e+01 +9.736800237e+01 +1.110080024e+02 +1.110080024e+02 -3.2627e+00 +2.5831e+00 +9.1579e-01
3 +6.062704563e+01 +6.062704563e+01 +7.426704563e+01 +7.426704563e+01 -3.5650e+00 +2.5178e+00 -3.9369e+00
12 +2.429593047e+01 +2.429593047e+01 +3.793593047e+01 +3.793593047e+01 +2.1041e-01 -1.4103e-01 +1.8100e+00
835 +1.114310036e+01 +1.114310036e+01 +2.478310036e+01 +2.478310036e+01 -1.5478e+00 -1.9202e+00 -3.5247e+00
2006 +9.329658842e+00 +9.329658842e+00 +2.296965884e+01 +2.296965884e+01 -1.8574e+00 -1.3969e+00 -1.7230e+00
6382 +5.121984059e+00 +5.121984059e+00 +1.876198406e+01 +1.876198406e+01 -1.9133e+00 -2.1194e+00 -1.3041e+00
23767 +3.883549970e+00 +3.883549970e+00 +1.752354997e+01 +1.752354997e+01 -1.6561e+00 -1.8813e+00 -2.3450e+00
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.734261437e+01 +2.734261437e+01 +2.221426144e+02 +2.221426144e+02 +1.7905e+00 -2.1048e+00 -1.2993e+00
20 +1.630381316e+01 +1.630381316e+01 +2.111038132e+02 +2.111038132e+02 -1.6860e+00 +2.7896e+00 +2.7636e+00
82 +1.440677203e+01 +1.440677203e+01 +2.092067720e+02 +2.092067720e+02 -3.7608e+00 +1.9344e+00 +3.9045e+00
3016 +9.782282554e+00 +9.782282554e+00 +2.045822826e+02 +2.045822826e+02 +1.9220e+00 -2.1323e+00 -1.0297e+00
6835 +5.175508426e+00 +5.175508426e+00 +1.999755084e+02 +1.999755084e+02 +1.7720e+00 -1.7634e+00 -1.7325e+00
16059 +3.885195747e+00 +3.885195747e+00 +1.986851957e+02 +1.986851957e+02 -2.5507e+00 +2.1507e+00 +2.0107e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.418418711e+01 +4.418418711e+01 -8.940581289e+01 -8.940581289e+01 +1.7911e+00 -4.7276e+00 +7.7520e-01
10 +2.547909097e+01 +2.547909097e+01 -1.081109090e+02 -1.081109090e+02 -1.3707e+00 +1.3539e+00 +1.2913e+00
18 +2.163395796e+01 +2.163395796e+01 -1.119560420e+02 -1.119560420e+02 -1.1069e+00 -9.3546e-01 -1.1733e+00
271 +1.100358373e+01 +1.100358373e+01 -1.225864163e+02 -1.225864163e+02 +2.8809e+00 -1.7394e+00 -2.8558e-01
1042 +9.999140038e+00 +9.999140038e+00 -1.235908600e+02 -1.235908600e+02 +1.2604e+00 -2.1645e+00 -1.4614e+00
7542 +6.153690379e+00 +6.153690379e+00 -1.274363096e+02 -1.274363096e+02 +2.2855e+00 -2.2484e+00 -2.9628e+00
24216 +3.880142110e+00 +3.880142110e+00 -1.297098579e+02 -1.297098579e+02 +2.5065e+00 -1.7855e+00 -2.2360e+00
