% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.975620001e+05 +5.975620001e+05 +5.976858301e+05 +1.238300000e+02 +3.5225e+00 -3.4898e+00 +3.2284e+00 -1.2793e+00 -4.2510e+00 +4.2372e+00 -3.1141e+00 -3.9847e+00 +4.5432e+00 -1.6461e+00 -4.0213e+00 -4.7765e+00 -3.4032e+00 +1.2045e-01 +1.1030e+00 +1.5859e-01 +2.5227e+00 +2.1809e+00 -2.9494e+00 -1.4511e+00
393 +4.548577036e+04 +4.548577036e+04 +4.560960036e+04 +1.238300000e+02 -1.0807e+00 +3.3244e+00 -2.4905e+00 +1.0282e+00 -8.3178e-01 +4.0144e-01 +2.9183e+00 -2.9001e+00 -2.9741e+00 -2.8157e+00 -3.2074e+00 +1.1011e+00 -1.5312e+00 -2.6338e+00 +1.5972e+00 -4.4871e+00 -1.6223e+00 -1.3331e+00 +1.3689e+00 +1.3430e+00
591 +2.484032801e+04 +2.484032801e+04 +2.496415801e+04 +1.238300000e+02 -3.2050e-01 +1.4590e+00 +4.6290e-01 +2.9255e+00 +1.8146e+00 +1.2769e+00 -1.8699e+00 +3.4891e-01 -3.3740e+00 -9.6936e-01 -6.6062e-01 -1.1402e+00 +9.3548e-01 -7.2571e-01 -9.7340e-01 -2.2883e+00 -1.2210e+00 +2.7189e+00 -3.5827e-01 -8.0688e-01
789 +1.461808826e+04 +1.461808826e+04 +1.474191826e+04 +1.238300000e+02 -7.9376e-01 +1.1632e+00 +2.1200e-01 -1.2277e+00 -1.2112e+00 -9.8989e-01 -9.4298e-01 +1.4460e+00 -1.1782e+00 -8.2856e-01 -2.4452e+00 -1.8950e+00 +8.5226e-01 +2.9887e+00 +2.2489e+00 -1.7374e+00 +2.3764e-01 -3.8403e-01 +3.0872e-01 +6.9250e-01
984 +9.979034779e+03 +9.979034779e+03 +1.010286478e+04 +1.238300000e+02 -7.9376e-01 +1.1632e+00 +2.1200e-01 -1.2277e+00 -1.2112e+00 -9.8989e-01 -9.4298e-01 +1.4460e+00 -1.1782e+00 -8.2856e-01 -2.4452e+00 -1.1402e+00 +9.3548e-01 +9.3814e-01 +2.2489e+00 -1.7374e+00 +2.3764e-01 -3.8403e-01 +3.0872e-01 +6.9250e-01
1181 +4.490897843e+03 +4.490897843e+03 +4.614727843e+03 +1.238300000e+02 -7.9376e-01 +1.1632e+00 +2.6085e-01 -1.0960e+00 +1.5218e+00 -1.3398e+00 +2.2734e-02 +6.8605e-01 -7.7701e-01 -9.6936e-01 -6.6062e-01 -1.1402e+00 +9.3548e-01 -4.2725e-01 +5.6357e-01 +1.2698e+00 -1.2210e+00 +2.7189e+00 -3.5827e-01 +6.9250e-01
1378 +3.851371751e+03 +3.851371751e+03 +3.975201751e+03 +1.238300000e+02 -3.2050e-01 +1.1632e+00 +2.6085e-01 -1.0960e+00 +1.5218e+00 -1.3398e+00 +2.2734e-02 +6.8605e-01 -7.7701e-01 +4.0386e-01 -6.6062e-01 -1.1402e+00 +9.3548e-01 -4.2725e-01 +5.6357e-01 +1.2698e+00 -1.2210e+00 +2.7189e+00 -3.5827e-01 -8.0688e-01
1774 +1.740541955e+03 +1.740541955e+03 +1.864371955e+03 +1.238300000e+02 -7.9376e-01 +1.1632e+00 +2.6085e-01 +1.2391e+00 -8.2041e-01 -9.8989e-01 +2.2734e-02 +6.8605e-01 -7.7701e-01 -9.6936e-01 -6.6062e-01 -1.1402e+00 -1.4026e+00 +9.3814e-01 +1.7270e+00 -1.7374e+00 +2.3764e-01 -3.8403e-01 +3.0872e-01 +6.9250e-01
1972 +1.556696169e+03 +1.556696169e+03 +1.680526169e+03 +1.238300000e+02 -7.9376e-01 +1.1632e+00 +2.6085e-01 +1.2391e+00 -8.2041e-01 -9.8989e-01 +2.2734e-02 +6.8605e-01 -7.7701e-01 +4.0386e-01 -6.6062e-01 -1.1402e+00 -1.4026e+00 +9.3814e-01 +1.7270e+00 -1.7374e+00 +2.3764e-01 +3.4124e-02 +3.0872e-01 -8.0688e-01
2367 +9.170219076e+02 +9.170219076e+02 +1.040851908e+03 +1.238300000e+02 -3.2050e-01 +1.1632e+00 +2.6085e-01 -1.0960e+00 +6.8486e-01 -6.2899e-02 +2.0898e-01 +6.8605e-01 -6.7883e-01 -9.6936e-01 -6.6062e-01 -1.1402e+00 -1.4026e+00 -4.2725e-01 +5.6357e-01 +1.2698e+00 +2.3764e-01 +3.4124e-02 +3.0872e-01 -8.0688e-01
2965 +5.828556509e+02 +5.828556509e+02 +7.066856509e+02 +1.238300000e+02 -3.2050e-01 +1.1632e+00 +2.6085e-01 -1.0960e+00 +6.8486e-01 -6.2899e-02 +2.0898e-01 +6.8605e-01 -7.7701e-01 -9.6936e-01 -6.6062e-01 -1.1402e+00 -1.4026e+00 -4.2725e-01 +5.6357e-01 +6.6516e-01 +2.3764e-01 +3.4124e-02 -3.5827e-01 -8.0688e-01
